F,G,time
"[-93.11, -2.2, -0.36]","[0.02, -5.61, 0.94]",7.038
"[-93.07, -2.22, -0.37]","[0.02, -5.61, 0.94]",7.038
"[-93.03, -2.19, -0.38]","[0.02, -5.61, 0.94]",7.038
"[-92.51, -2.24, -0.26]","[0.04, -5.58, 0.94]",38.057
"[-92.52, -2.23, -0.26]","[0.04, -5.58, 0.94]",40.015
"[-92.51, -2.26, -0.28]","[0.04, -5.58, 0.94]",42.01
"[-92.57, -2.27, -0.31]","[0.04, -5.58, 0.94]",70.037
"[-93.09, -2.23, -0.37]","[0.02, -5.59, 0.94]",72.068
"[-93.1, -2.23, -0.35]","[0.03, -5.58, 0.94]",74.06
"[-93.16, -2.2, -0.34]","[0.02, -5.59, 0.94]",76.006
"[-93.39, -2.15, -0.05]","[0.03, -5.59, 0.94]",106.00800000000001
"[-93.37, -2.12, -0.05]","[0.03, -5.59, 0.94]",107.012
"[-93.38, -2.16, -0.04]","[0.03, -5.59, 0.94]",109.042
"[-93.35, -2.16, -0.05]","[0.03, -5.59, 0.94]",137.05
"[-92.92, -2.21, -0.38]","[0.03, -5.59, 0.93]",139.00799999999998
"[-92.89, -2.2, -0.39]","[0.03, -5.59, 0.93]",141.047
"[-92.9, -2.22, -0.41]","[0.02, -5.59, 0.93]",143.008
"[-92.72, -2.27, -0.38]","[0.02, -5.58, 0.92]",173.006
"[-92.75, -2.28, -0.36]","[0.02, -5.58, 0.92]",174.049
"[-92.72, -2.25, -0.35]","[0.02, -5.58, 0.92]",176.047
"[-92.84, -2.29, -0.26]","[0.03, -5.57, 0.93]",183.047
"[-93.0, -2.22, -0.19]","[0.02, -5.57, 0.93]",193.047
"[-93.19, -2.21, -0.17]","[0.02, -5.57, 0.93]",203.053
"[-93.33, -2.21, -0.2]","[0.02, -5.58, 0.93]",213.012
"[-93.42, -2.22, -0.2]","[0.01, -5.58, 0.93]",223.015
"[-93.36, -2.2, -0.19]","[0.01, -5.58, 0.93]",233.16799999999998
"[-93.28, -2.2, -0.18]","[0.01, -5.58, 0.93]",243.027
"[-93.15, -2.17, -0.19]","[0.01, -5.58, 0.93]",253.05299999999997
"[-92.94, -2.21, -0.19]","[0.02, -5.58, 0.93]",264.065
"[-92.86, -2.2, -0.26]","[0.02, -5.58, 0.93]",274.06399999999996
"[-92.77, -2.24, -0.32]","[0.02, -5.58, 0.93]",283.051
"[-92.77, -2.23, -0.37]","[0.02, -5.57, 0.93]",294.006
"[-92.82, -2.24, -0.35]","[0.02, -5.57, 0.93]",303.01
"[-92.92, -2.26, -0.29]","[0.02, -5.57, 0.93]",313.056
"[-93.07, -2.22, -0.21]","[0.02, -5.57, 0.93]",323.027
"[-93.21, -2.2, -0.14]","[0.03, -5.57, 0.93]",334.044
"[-93.29, -2.21, -0.09]","[0.02, -5.57, 0.93]",347.025
"[-93.31, -2.17, -0.08]","[0.02, -5.57, 0.93]",354.009
"[-93.25, -2.19, -0.15]","[0.02, -5.58, 0.93]",364.007
"[-93.18, -2.18, -0.23]","[0.01, -5.58, 0.93]",373.14599999999996
"[-93.05, -2.19, -0.3]","[0.02, -5.58, 0.93]",383.043
"[-92.95, -2.19, -0.32]","[0.01, -5.58, 0.93]",394.007
"[-92.85, -2.2, -0.31]","[0.02, -5.57, 0.93]",403.02700000000004
"[-92.79, -2.21, -0.29]","[0.02, -5.57, 0.93]",414.005
"[-92.86, -2.24, -0.28]","[0.02, -5.57, 0.93]",423.026
"[-92.94, -2.23, -0.27]","[0.02, -5.57, 0.93]",433.14799999999997
"[-93.08, -2.25, -0.27]","[0.02, -5.57, 0.93]",444.01
"[-93.18, -2.27, -0.24]","[0.02, -5.57, 0.93]",454.063
"[-93.26, -2.24, -0.2]","[0.02, -5.57, 0.93]",463.024
"[-93.32, -2.23, -0.17]","[0.02, -5.57, 0.93]",473.147
"[-93.23, -2.22, -0.14]","[0.02, -5.57, 0.93]",483.03000000000003
"[-93.18, -2.2, -0.17]","[0.01, -5.57, 0.93]",493.004
"[-93.09, -2.23, -0.22]","[0.01, -5.57, 0.93]",503.00199999999995
"[-93.0, -2.21, -0.28]","[0.01, -5.57, 0.93]",513.028
"[-92.92, -2.21, -0.34]","[0.0, -5.57, 0.93]",523.179
"[-92.9, -2.23, -0.36]","[0.01, -5.58, 0.93]",533.179
"[-92.89, -2.26, -0.34]","[0.01, -5.57, 0.93]",543.179
"[-92.95, -2.24, -0.3]","[0.01, -5.57, 0.93]",553.178
"[-93.02, -2.25, -0.23]","[0.02, -5.57, 0.93]",563.018
"[-93.1, -2.24, -0.21]","[0.01, -5.56, 0.93]",573.175
"[-93.18, -2.25, -0.2]","[0.02, -5.57, 0.93]",583.178
"[-93.25, -2.24, -0.2]","[0.01, -5.57, 0.93]",593.1800000000001
"[-93.22, -2.24, -0.2]","[0.01, -5.57, 0.93]",603.176
"[-93.15, -2.21, -0.21]","[0.01, -5.57, 0.93]",613.0360000000001
"[-93.11, -2.22, -0.22]","[0.01, -5.57, 0.93]",623.0179999999999
"[-93.04, -2.21, -0.24]","[0.01, -5.57, 0.93]",633.171
"[-92.94, -2.21, -0.25]","[0.01, -5.57, 0.93]",645.999
"[-92.93, -2.22, -0.28]","[0.01, -5.57, 0.93]",653.174
"[-92.93, -2.23, -0.29]","[0.01, -5.57, 0.93]",663.015
"[-92.98, -2.23, -0.31]","[0.01, -5.57, 0.93]",673.1669999999999
"[-93.04, -2.23, -0.29]","[0.02, -5.57, 0.93]",683.195
"[-93.1, -2.24, -0.25]","[0.02, -5.56, 0.93]",694.044
"[-93.15, -2.25, -0.21]","[0.02, -5.57, 0.93]",703.005
"[-93.18, -2.25, -0.19]","[0.02, -5.57, 0.93]",713.0
"[-93.2, -2.23, -0.19]","[0.01, -5.57, 0.93]",723.018
"[-93.19, -2.19, -0.18]","[0.02, -5.57, 0.93]",733.186
"[-93.11, -2.2, -0.22]","[0.01, -5.57, 0.93]",744.053
"[-93.07, -2.21, -0.26]","[0.01, -5.57, 0.93]",754.011
"[-93.01, -2.19, -0.27]","[0.01, -5.57, 0.93]",763.002
"[-93.0, -2.2, -0.27]","[0.01, -5.57, 0.93]",774.0169999999999
"[-93.0, -2.24, -0.27]","[0.01, -5.57, 0.93]",792.182
"[-93.02, -2.21, -0.27]","[0.02, -5.57, 0.93]",794.059
"[-93.0, -2.18, -0.27]","[0.02, -5.57, 0.93]",803.0
"[-93.09, -2.23, -0.26]","[0.02, -5.57, 0.93]",813.002
"[-93.13, -2.23, -0.25]","[0.02, -5.57, 0.93]",823.028
"[-93.16, -2.22, -0.24]","[0.02, -5.57, 0.93]",833.173
"[-93.13, -2.22, -0.21]","[0.02, -5.57, 0.93]",843.174
"[-93.12, -2.2, -0.22]","[0.02, -5.57, 0.93]",853.173
"[-93.1, -2.2, -0.23]","[0.02, -5.57, 0.93]",863.0020000000001
"[-93.07, -2.22, -0.25]","[0.01, -5.57, 0.93]",874.047
"[-93.04, -2.26, -0.27]","[0.01, -5.57, 0.93]",883.185
"[-93.01, -2.21, -0.29]","[0.01, -5.57, 0.93]",893.179
"[-93.0, -2.22, -0.31]","[0.01, -5.57, 0.93]",903.174
"[-93.04, -2.22, -0.3]","[0.01, -5.57, 0.93]",913.002
"[-93.02, -2.22, -0.28]","[0.01, -5.57, 0.93]",923.173
"[-93.05, -2.24, -0.25]","[0.01, -5.57, 0.93]",934.002
"[-93.07, -2.24, -0.24]","[0.01, -5.57, 0.93]",947.062
"[-93.1, -2.25, -0.23]","[0.01, -5.57, 0.93]",953.179
"[-93.12, -2.23, -0.23]","[0.01, -5.57, 0.93]",963.0360000000001
"[-93.11, -2.21, -0.23]","[0.01, -5.57, 0.93]",973.193
"[-93.07, -2.22, -0.23]","[0.01, -5.57, 0.93]",983.056
"[-93.04, -2.24, -0.24]","[0.01, -5.57, 0.93]",994.044
"[-93.05, -2.2, -0.24]","[0.0, -5.57, 0.93]",1003.183
"[-93.04, -2.22, -0.24]","[0.01, -5.57, 0.93]",1013.0369999999999
"[-93.04, -2.25, -0.24]","[0.0, -5.57, 0.93]",1023.1870000000001
"[-93.04, -2.23, -0.25]","[0.01, -5.57, 0.93]",1033.175
"[-93.06, -2.23, -0.24]","[0.0, -5.57, 0.93]",1043.04
"[-93.08, -2.26, -0.23]","[0.0, -5.57, 0.93]",1054.003
"[-93.13, -2.23, -0.22]","[0.01, -5.57, 0.93]",1063.0230000000001
"[-93.12, -2.23, -0.21]","[0.0, -5.57, 0.93]",1073.0010000000002
"[-93.12, -2.25, -0.19]","[0.01, -5.57, 0.93]",1083.174
"[-93.12, -2.26, -0.21]","[0.0, -5.57, 0.93]",1093.173
"[-93.09, -2.24, -0.22]","[0.0, -5.57, 0.92]",1103.175
"[-93.06, -2.24, -0.23]","[0.01, -5.57, 0.93]",1113.041
"[-93.07, -2.24, -0.25]","[-0.0, -5.57, 0.92]",1123.0169999999998
"[-93.07, -2.24, -0.25]","[0.0, -5.57, 0.92]",1133.116
"[-93.05, -2.2, -0.25]","[-0.0, -5.57, 0.92]",1143.162
"[-93.05, -2.22, -0.24]","[0.0, -5.57, 0.92]",1153.168
"[-93.08, -2.24, -0.24]","[0.0, -5.57, 0.92]",1163.003
"[-93.11, -2.25, -0.22]","[0.0, -5.56, 0.93]",1174.049
"[-93.12, -2.24, -0.22]","[0.01, -5.56, 0.92]",1184.003
"[-93.12, -2.26, -0.22]","[0.0, -5.57, 0.92]",1194.002
"[-93.13, -2.23, -0.23]","[0.0, -5.57, 0.92]",1203.006
"[-93.1, -2.21, -0.23]","[0.0, -5.57, 0.92]",1213.025
"[-93.1, -2.25, -0.22]","[-0.0, -5.56, 0.92]",1224.051
"[-93.1, -2.28, -0.23]","[0.0, -5.57, 0.92]",1234.015
"[-93.06, -2.22, -0.24]","[0.0, -5.56, 0.92]",1246.033
"[-93.04, -2.23, -0.23]","[0.0, -5.56, 0.92]",1254.0439999999999
"[-93.09, -2.22, -0.24]","[-0.0, -5.56, 0.92]",1264.001
"[-93.11, -2.24, -0.23]","[-0.0, -5.56, 0.92]",1273.002
"[-93.09, -2.21, -0.24]","[0.0, -5.56, 0.92]",1283.036
"[-93.11, -2.21, -0.22]","[-0.0, -5.56, 0.92]",1293.001
"[-93.15, -2.25, -0.22]","[-0.0, -5.56, 0.92]",1303.037
"[-93.13, -2.23, -0.21]","[0.0, -5.56, 0.92]",1313.03
"[-93.13, -2.22, -0.21]","[-0.0, -5.56, 0.92]",1322.999
"[-93.1, -2.23, -0.2]","[0.0, -5.56, 0.92]",1336.035
"[-93.11, -2.24, -0.22]","[-0.0, -5.56, 0.92]",1344.016
"[-93.11, -2.26, -0.22]","[-0.0, -5.56, 0.92]",1353.999
"[-93.09, -2.24, -0.22]","[-0.0, -5.56, 0.92]",1362.999
"[-93.08, -2.3, -0.21]","[-0.0, -5.56, 0.92]",1372.999
"[-93.08, -2.25, -0.22]","[-0.0, -5.56, 0.92]",1383.0
"[-93.12, -2.24, -0.21]","[-0.0, -5.56, 0.92]",1393.004
"[-93.12, -2.24, -0.21]","[-0.0, -5.56, 0.92]",1403.035
"[-93.13, -2.24, -0.21]","[-0.0, -5.56, 0.92]",1414.02
"[-93.11, -2.24, -0.21]","[-0.0, -5.56, 0.92]",1423.035
"[-93.12, -2.25, -0.2]","[-0.0, -5.56, 0.92]",1433.035
"[-93.13, -2.25, -0.2]","[-0.0, -5.56, 0.92]",1443.036
"[-93.1, -2.25, -0.2]","[-0.0, -5.56, 0.92]",1453.0400000000002
"[-93.11, -2.24, -0.22]","[-0.0, -5.56, 0.92]",1463.0
"[-93.09, -2.24, -0.22]","[-0.01, -5.56, 0.92]",1474.002
"[-93.09, -2.25, -0.23]","[-0.0, -5.56, 0.92]",1483.1270000000002
"[-93.07, -2.25, -0.24]","[-0.01, -5.56, 0.92]",1493.1270000000002
"[-93.09, -2.23, -0.24]","[-0.01, -5.56, 0.92]",1503.0159999999998
"[-93.08, -2.21, -0.24]","[-0.01, -5.56, 0.92]",1513.181
"[-93.09, -2.24, -0.23]","[-0.01, -5.56, 0.92]",1524.001
