F,G,time
"[-92.45, -2.03, -0.23]","[-0.25, -5.75, 1.01]",14.003
"[-92.44, -2.02, -0.25]","[-0.25, -5.76, 1.01]",16.003
"[-92.28, -2.07, -0.22]","[-0.26, -5.75, 1.01]",57.06
"[-92.33, -2.17, -0.17]","[-0.25, -5.74, 1.02]",59.06
"[-92.26, -2.16, -0.15]","[-0.24, -5.74, 1.02]",61.065
"[-92.28, -2.15, -0.15]","[-0.24, -5.74, 1.02]",66.01899999999999
"[-92.3, -2.16, -0.14]","[-0.24, -5.74, 1.02]",67.017
"[-92.4, -2.19, -0.1]","[-0.23, -5.74, 1.02]",73.046
"[-92.47, -2.13, -0.1]","[-0.23, -5.73, 1.02]",83.00399999999999
"[-92.51, -2.08, -0.09]","[-0.23, -5.72, 1.02]",93.046
"[-92.6, -2.06, -0.08]","[-0.23, -5.72, 1.02]",103.04599999999999
"[-92.64, -2.0, -0.1]","[-0.23, -5.72, 1.01]",113.047
"[-92.62, -1.98, -0.09]","[-0.24, -5.71, 1.01]",123.06200000000001
"[-92.59, -1.94, -0.11]","[-0.25, -5.71, 1.01]",133.061
"[-92.52, -1.96, -0.14]","[-0.25, -5.72, 1.0]",143.057
"[-92.48, -2.0, -0.18]","[-0.26, -5.72, 1.01]",153.059
"[-92.47, -2.06, -0.17]","[-0.25, -5.73, 1.01]",163.029
"[-92.42, -2.09, -0.16]","[-0.25, -5.72, 1.01]",173.046
"[-92.42, -2.16, -0.14]","[-0.25, -5.73, 1.01]",183.03300000000002
"[-92.42, -2.14, -0.12]","[-0.24, -5.73, 1.01]",193.022
"[-92.47, -2.14, -0.08]","[-0.24, -5.72, 1.02]",206.029
"[-92.5, -2.11, -0.08]","[-0.23, -5.72, 1.02]",213.012
"[-92.52, -2.11, -0.07]","[-0.23, -5.72, 1.01]",223.051
"[-92.57, -2.05, -0.07]","[-0.23, -5.71, 1.01]",234.01
"[-92.61, -1.98, -0.09]","[-0.23, -5.71, 1.01]",243.006
"[-92.6, -2.0, -0.09]","[-0.24, -5.71, 1.01]",254.006
"[-92.59, -1.98, -0.12]","[-0.24, -5.72, 1.0]",263.014
"[-92.54, -1.96, -0.11]","[-0.25, -5.71, 1.0]",273.04699999999997
"[-92.51, -1.96, -0.13]","[-0.25, -5.72, 1.0]",283.048
"[-92.49, -2.01, -0.13]","[-0.24, -5.72, 1.01]",293.04999999999995
"[-92.47, -2.07, -0.11]","[-0.25, -5.72, 1.01]",303.048
"[-92.44, -2.06, -0.1]","[-0.24, -5.72, 1.01]",314.01
"[-92.49, -2.1, -0.09]","[-0.24, -5.72, 1.01]",323.048
"[-92.53, -2.07, -0.12]","[-0.24, -5.72, 1.01]",333.02
"[-92.55, -2.09, -0.07]","[-0.23, -5.72, 1.01]",342.043
"[-92.58, -2.08, -0.06]","[-0.24, -5.71, 1.01]",354.043
"[-92.57, -2.02, -0.07]","[-0.23, -5.71, 1.01]",363.013
"[-92.56, -2.0, -0.07]","[-0.24, -5.71, 1.01]",373.043
"[-92.59, -1.97, -0.09]","[-0.24, -5.71, 1.01]",383.012
"[-92.61, -1.98, -0.1]","[-0.24, -5.71, 1.0]",392.05400000000003
"[-92.58, -1.96, -0.11]","[-0.25, -5.71, 1.0]",402.051
"[-92.53, -1.98, -0.1]","[-0.25, -5.71, 1.0]",413.01300000000003
"[-92.52, -2.01, -0.1]","[-0.25, -5.71, 1.01]",423.047
"[-92.48, -2.03, -0.1]","[-0.25, -5.71, 1.01]",433.047
"[-92.46, -2.05, -0.09]","[-0.25, -5.71, 1.01]",443.053
"[-92.5, -2.06, -0.08]","[-0.25, -5.71, 1.01]",453.048
"[-92.48, -2.08, -0.06]","[-0.24, -5.71, 1.01]",463.01300000000003
"[-92.56, -2.09, -0.03]","[-0.24, -5.71, 1.01]",473.00199999999995
"[-92.56, -2.05, -0.07]","[-0.24, -5.7, 1.01]",486.144
"[-92.59, -2.02, -0.08]","[-0.24, -5.71, 1.01]",493.14799999999997
"[-92.62, -2.02, -0.09]","[-0.24, -5.7, 1.01]",502.14400000000006
"[-92.61, -1.96, -0.11]","[-0.24, -5.7, 1.01]",515.01
"[-92.61, -1.99, -0.09]","[-0.24, -5.7, 1.0]",523.154
"[-92.54, -1.97, -0.11]","[-0.25, -5.7, 1.0]",534.006
"[-92.54, -2.01, -0.08]","[-0.24, -5.71, 1.0]",543.1519999999999
"[-92.53, -2.02, -0.09]","[-0.25, -5.7, 1.01]",553.157
"[-92.51, -2.01, -0.09]","[-0.24, -5.71, 1.01]",563.0070000000001
"[-92.54, -2.06, -0.07]","[-0.24, -5.71, 1.01]",573.16
"[-92.57, -2.09, -0.05]","[-0.24, -5.71, 1.01]",583.152
"[-92.55, -2.05, -0.05]","[-0.24, -5.71, 1.01]",592.154
"[-92.52, -2.08, -0.05]","[-0.24, -5.7, 1.01]",603.155
"[-92.53, -2.01, -0.06]","[-0.24, -5.7, 1.01]",613.0060000000001
"[-92.59, -2.03, -0.05]","[-0.24, -5.7, 1.01]",622.151
"[-92.55, -2.02, -0.05]","[-0.24, -5.7, 1.01]",632.149
"[-92.62, -1.99, -0.07]","[-0.24, -5.7, 1.01]",643.158
"[-92.6, -1.97, -0.07]","[-0.25, -5.7, 1.0]",653.018
"[-92.55, -2.0, -0.07]","[-0.24, -5.7, 1.0]",663.009
"[-92.56, -2.01, -0.07]","[-0.25, -5.7, 1.0]",673.024
"[-92.57, -2.02, -0.07]","[-0.25, -5.7, 1.01]",682.154
"[-92.55, -2.05, -0.06]","[-0.25, -5.7, 1.01]",694.006
"[-92.56, -2.05, -0.06]","[-0.24, -5.7, 1.01]",703.152
"[-92.53, -2.06, -0.04]","[-0.24, -5.7, 1.01]",713.0079999999999
"[-92.53, -2.05, -0.04]","[-0.24, -5.7, 1.01]",722.152
"[-92.57, -2.02, -0.06]","[-0.24, -5.7, 1.01]",733.059
"[-92.57, -2.03, -0.05]","[-0.24, -5.7, 1.01]",742.15
"[-92.57, -2.01, -0.07]","[-0.25, -5.7, 1.01]",752.15
"[-92.58, -2.03, -0.06]","[-0.25, -5.7, 1.01]",765.1419999999999
"[-92.58, -1.99, -0.06]","[-0.25, -5.7, 1.0]",772.1569999999999
"[-92.57, -2.01, -0.08]","[-0.25, -5.7, 1.0]",782.051
"[-92.53, -2.0, -0.06]","[-0.25, -5.7, 1.0]",792.922
"[-92.55, -1.99, -0.06]","[-0.25, -5.7, 1.0]",802.0659999999999
"[-92.52, -2.01, -0.07]","[-0.25, -5.7, 1.0]",811.9380000000001
"[-92.5, -2.05, -0.04]","[-0.25, -5.7, 1.01]",822.074
"[-92.54, -2.02, -0.05]","[-0.25, -5.7, 1.01]",832.921
"[-92.56, -2.01, -0.05]","[-0.24, -5.7, 1.01]",842.066
"[-92.58, -2.04, -0.03]","[-0.24, -5.7, 1.01]",852.911
"[-92.57, -2.02, -0.03]","[-0.24, -5.7, 1.01]",862.073
"[-92.6, -2.02, -0.03]","[-0.24, -5.7, 1.01]",872.103
"[-92.56, -2.01, -0.05]","[-0.24, -5.7, 1.0]",882.085
"[-92.57, -1.99, -0.06]","[-0.24, -5.7, 1.0]",892.079
"[-92.57, -2.0, -0.06]","[-0.25, -5.7, 1.0]",902.083
"[-92.56, -1.99, -0.08]","[-0.25, -5.7, 1.0]",912.907
"[-92.56, -2.02, -0.07]","[-0.25, -5.7, 1.0]",922.086
"[-92.57, -2.02, -0.06]","[-0.25, -5.7, 1.0]",932.082
"[-92.56, -2.03, -0.06]","[-0.25, -5.7, 1.0]",942.0690000000001
"[-92.54, -2.03, -0.08]","[-0.25, -5.7, 1.0]",952.071
"[-92.56, -2.03, -0.07]","[-0.24, -5.7, 1.01]",962.068
"[-92.52, -2.05, -0.05]","[-0.25, -5.7, 1.01]",972.9449999999999
"[-92.54, -2.04, -0.06]","[-0.25, -5.7, 1.01]",982.069
"[-92.52, -2.01, -0.05]","[-0.24, -5.7, 1.01]",992.071
"[-92.55, -2.05, -0.04]","[-0.25, -5.69, 1.01]",1002.0690000000001
