X,Y,Z,A,B,C,time
298.08,541.79,419.57,-1.92,-1.55,0.29,6.002000000000001
298.08,541.79,419.57,-1.92,-1.55,0.29,9.998999999999999
298.08,541.79,419.57,-1.92,-1.55,0.29,20.022000000000002
298.08,541.79,419.57,-1.92,-1.55,0.29,29.028000000000002
298.08,541.79,419.57,-1.92,-1.55,0.29,41.01
298.08,541.79,419.57,-1.92,-1.55,0.29,49.013
298.08,541.79,419.57,-1.92,-1.55,0.29,59.011
298.08,541.79,419.57,-1.92,-1.55,0.29,70.012
298.08,541.79,419.57,-1.92,-1.55,0.29,79.018
298.08,541.79,419.57,-1.92,-1.55,0.29,89.019
298.08,541.79,419.57,-1.92,-1.55,0.29,99.023
298.08,541.79,419.57,-1.92,-1.55,0.29,119.02300000000001
298.08,541.79,419.57,-1.92,-1.55,0.29,121.019
298.08,541.79,419.57,-1.92,-1.55,0.29,129.024
298.08,541.79,419.57,-1.92,-1.55,0.29,150.04799999999997
298.08,541.79,419.57,-1.92,-1.55,0.29,152.047
298.08,541.79,419.57,-1.92,-1.55,0.29,159.012
298.08,541.79,419.57,-1.92,-1.55,0.29,169.015
298.08,541.79,419.57,-1.92,-1.55,0.29,184.013
298.08,541.79,419.57,-1.92,-1.55,0.29,190.006
298.08,541.79,419.57,-1.92,-1.55,0.29,199.146
298.08,541.79,419.57,-1.92,-1.55,0.29,209.12900000000002
298.08,541.79,419.57,-1.92,-1.55,0.29,219.163
298.08,541.79,419.57,-1.92,-1.55,0.29,229.16400000000002
298.08,541.79,419.57,-1.92,-1.55,0.29,239.161
298.08,541.79,419.57,-1.92,-1.55,0.29,249.14600000000002
298.08,541.79,419.57,-1.92,-1.55,0.29,259.164
298.08,541.79,419.57,-1.92,-1.55,0.29,269.16200000000003
298.08,541.79,419.57,-1.92,-1.55,0.29,279.126
298.08,541.79,419.57,-1.92,-1.55,0.29,289.01
298.08,541.79,419.57,-1.92,-1.55,0.29,299.15599999999995
298.08,541.79,419.57,-1.92,-1.55,0.29,310.012
298.08,541.79,419.57,-1.92,-1.55,0.29,321.158
298.08,541.79,419.57,-1.92,-1.55,0.29,329.17999999999995
298.08,541.79,419.57,-1.92,-1.55,0.29,339.137
298.08,541.79,419.57,-1.92,-1.55,0.29,349.105
298.08,541.79,419.57,-1.92,-1.55,0.29,359.012
298.08,541.79,419.57,-1.92,-1.55,0.29,369.00500000000005
298.08,541.79,419.57,-1.92,-1.55,0.29,379.014
298.08,541.79,419.57,-1.91,-1.55,0.29,389.044
298.08,541.79,419.57,-1.91,-1.55,0.29,399.01300000000003
298.08,541.79,419.57,-1.91,-1.55,0.29,409.02500000000003
298.08,541.79,419.57,-1.91,-1.55,0.29,419.006
298.08,541.79,419.57,-1.91,-1.55,0.29,429.06300000000005
298.08,541.79,419.57,-1.91,-1.55,0.29,439.01
298.08,541.79,419.57,-1.91,-1.55,0.29,449.02500000000003
298.08,541.79,419.57,-1.91,-1.55,0.29,459.062
298.08,541.79,419.57,-1.91,-1.55,0.29,469.097
298.08,541.79,419.57,-1.91,-1.55,0.29,479.04600000000005
298.08,541.79,419.57,-1.91,-1.55,0.29,489.007
298.08,541.79,419.57,-1.91,-1.55,0.29,499.01099999999997
298.08,541.79,419.57,-1.91,-1.55,0.29,509.00500000000005
298.08,541.79,419.57,-1.91,-1.55,0.29,520.007
298.08,541.79,419.57,-1.91,-1.55,0.29,529.008
298.08,541.79,419.57,-1.91,-1.55,0.29,539.009
298.08,541.79,419.57,-1.91,-1.55,0.29,549.027
298.08,541.79,419.57,-1.91,-1.55,0.29,559.013
298.08,541.79,419.57,-1.91,-1.55,0.29,569.009
298.08,541.79,419.57,-1.91,-1.55,0.29,579.02
298.08,541.79,419.57,-1.91,-1.55,0.29,589.0079999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,601.005
298.08,541.79,419.57,-1.91,-1.55,0.29,609.023
298.08,541.79,419.57,-1.91,-1.55,0.29,619.01
298.08,541.79,419.57,-1.91,-1.55,0.29,629.005
298.08,541.79,419.57,-1.91,-1.55,0.29,639.005
298.08,541.79,419.57,-1.91,-1.55,0.29,649.0129999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,659.0089999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,669.058
298.08,541.79,419.57,-1.91,-1.55,0.29,679.009
298.08,541.79,419.57,-1.91,-1.55,0.29,689.021
298.08,541.79,419.57,-1.91,-1.55,0.29,699.0070000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,709.021
298.08,541.79,419.57,-1.91,-1.55,0.29,719.015
298.08,541.79,419.57,-1.91,-1.55,0.29,729.008
298.08,541.79,419.57,-1.91,-1.55,0.29,739.005
298.08,541.79,419.57,-1.91,-1.55,0.29,749.042
298.08,541.79,419.57,-1.91,-1.55,0.29,759.0980000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,769.006
298.08,541.79,419.57,-1.91,-1.55,0.29,779.0089999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,789.15
298.08,541.79,419.57,-1.91,-1.55,0.29,799.0070000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,809.037
298.08,541.79,419.57,-1.91,-1.55,0.29,819.003
298.08,541.79,419.57,-1.91,-1.55,0.29,829.003
298.08,541.79,419.57,-1.91,-1.55,0.29,839.005
298.08,541.79,419.57,-1.91,-1.55,0.29,849.0020000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,859.147
298.08,541.79,419.57,-1.91,-1.55,0.29,869.198
298.08,541.79,419.57,-1.91,-1.55,0.29,881.002
298.08,541.79,419.57,-1.91,-1.55,0.29,889.155
298.08,541.79,419.57,-1.91,-1.55,0.29,899.0160000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,909.193
298.08,541.79,419.57,-1.91,-1.55,0.29,919.008
298.08,541.79,419.57,-1.91,-1.55,0.29,929.0169999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,939.016
298.08,541.79,419.57,-1.91,-1.55,0.29,949.064
298.08,541.79,419.57,-1.91,-1.55,0.29,959.005
298.08,541.79,419.57,-1.91,-1.55,0.29,969.0060000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,979.0029999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,989.007
298.08,541.79,419.57,-1.91,-1.55,0.29,999.009
298.08,541.79,419.57,-1.91,-1.55,0.29,1009.0060000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,1019.0109999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,1029.007
298.08,541.79,419.57,-1.91,-1.55,0.29,1039.0040000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,1049.124
298.08,541.79,419.57,-1.91,-1.55,0.29,1059.126
298.08,541.79,419.57,-1.91,-1.55,0.29,1069.138
298.08,541.79,419.57,-1.91,-1.55,0.29,1079.1299999999999
298.08,541.79,419.57,-1.91,-1.55,0.29,1089.125
298.08,541.79,419.57,-1.91,-1.55,0.29,1099.1390000000001
298.08,541.79,419.57,-1.91,-1.55,0.29,1109.127
