F,G,time
"[-93.03, -3.79, -0.92]","[-0.67, -5.56, 0.66]",5.013
"[-92.89, -3.86, -0.88]","[-0.67, -5.57, 0.66]",8.998000000000001
"[-92.72, -3.91, -0.86]","[-0.68, -5.57, 0.66]",13.004
"[-92.58, -3.89, -0.88]","[-0.68, -5.57, 0.65]",23.024
"[-92.47, -3.77, -0.92]","[-0.68, -5.57, 0.65]",33.004
"[-92.47, -3.7, -1.0]","[-0.68, -5.57, 0.65]",43.061
"[-92.47, -3.56, -1.0]","[-0.67, -5.56, 0.65]",55.016000000000005
"[-92.83, -3.48, -0.79]","[-0.65, -5.54, 0.66]",82.04599999999999
"[-92.9, -3.44, -0.76]","[-0.65, -5.53, 0.66]",84.04599999999999
"[-92.91, -3.45, -0.76]","[-0.65, -5.53, 0.66]",86.013
"[-92.95, -3.61, -0.88]","[-0.65, -5.53, 0.66]",125.089
"[-92.95, -3.65, -0.91]","[-0.65, -5.54, 0.66]",127.07499999999999
"[-92.91, -3.66, -0.91]","[-0.65, -5.54, 0.66]",129.09300000000002
"[-92.91, -3.67, -0.92]","[-0.65, -5.54, 0.66]",131.06699999999998
"[-92.88, -3.7, -0.95]","[-0.65, -5.54, 0.66]",133.101
"[-92.58, -3.79, -0.89]","[-0.67, -5.55, 0.66]",158.054
"[-92.57, -3.8, -0.9]","[-0.66, -5.55, 0.66]",160.061
"[-92.56, -3.79, -0.89]","[-0.67, -5.55, 0.66]",163.108
"[-92.56, -3.74, -0.91]","[-0.66, -5.55, 0.66]",173.1
"[-92.8, -3.52, -0.96]","[-0.65, -5.53, 0.66]",202.055
"[-92.79, -3.52, -0.98]","[-0.65, -5.53, 0.66]",204.095
"[-92.82, -3.5, -0.97]","[-0.65, -5.53, 0.66]",206.095
"[-92.96, -3.45, -0.82]","[-0.64, -5.53, 0.67]",235.09
"[-92.95, -3.5, -0.82]","[-0.64, -5.52, 0.67]",237.101
"[-92.97, -3.45, -0.82]","[-0.64, -5.53, 0.67]",239.102
"[-92.95, -3.48, -0.84]","[-0.64, -5.53, 0.67]",243.097
"[-92.8, -3.58, -0.97]","[-0.64, -5.54, 0.67]",268.05600000000004
"[-92.76, -3.6, -0.98]","[-0.64, -5.54, 0.67]",269.058
"[-92.75, -3.62, -0.98]","[-0.64, -5.54, 0.67]",277.063
"[-92.66, -3.67, -0.99]","[-0.65, -5.54, 0.67]",283.09499999999997
"[-92.62, -3.7, -0.96]","[-0.65, -5.54, 0.67]",293.096
"[-92.64, -3.73, -0.94]","[-0.65, -5.54, 0.66]",303.099
"[-92.66, -3.69, -0.94]","[-0.65, -5.54, 0.66]",313.095
"[-92.72, -3.66, -0.93]","[-0.65, -5.53, 0.66]",323.098
"[-92.81, -3.59, -0.94]","[-0.64, -5.53, 0.66]",333.09499999999997
"[-92.92, -3.55, -0.95]","[-0.64, -5.53, 0.67]",343.09499999999997
"[-92.93, -3.5, -0.92]","[-0.64, -5.52, 0.66]",353.093
"[-92.94, -3.48, -0.9]","[-0.64, -5.53, 0.66]",363.091
"[-92.9, -3.49, -0.86]","[-0.63, -5.52, 0.66]",373.095
"[-92.89, -3.52, -0.85]","[-0.63, -5.53, 0.67]",383.09900000000005
"[-92.8, -3.56, -0.86]","[-0.63, -5.53, 0.67]",393.237
"[-92.79, -3.58, -0.89]","[-0.63, -5.53, 0.66]",403.08500000000004
"[-92.76, -3.6, -0.92]","[-0.64, -5.53, 0.67]",413.219
"[-92.72, -3.65, -0.93]","[-0.64, -5.53, 0.66]",423.221
"[-92.73, -3.67, -0.91]","[-0.64, -5.53, 0.66]",433.21700000000004
"[-92.76, -3.64, -0.89]","[-0.64, -5.53, 0.66]",443.218
"[-92.81, -3.65, -0.88]","[-0.64, -5.53, 0.66]",454.058
"[-92.87, -3.67, -0.87]","[-0.64, -5.52, 0.66]",463.20099999999996
"[-92.92, -3.61, -0.88]","[-0.64, -5.52, 0.66]",473.089
"[-92.94, -3.55, -0.9]","[-0.64, -5.52, 0.66]",483.073
"[-92.9, -3.52, -0.9]","[-0.63, -5.52, 0.66]",493.136
"[-92.89, -3.5, -0.88]","[-0.63, -5.52, 0.66]",503.092
"[-92.8, -3.49, -0.85]","[-0.63, -5.52, 0.66]",514.073
"[-92.8, -3.54, -0.84]","[-0.63, -5.52, 0.66]",523.216
"[-92.76, -3.53, -0.84]","[-0.63, -5.52, 0.66]",533.199
"[-92.78, -3.57, -0.89]","[-0.63, -5.52, 0.67]",543.201
