F,G,time
"[-84.1, -13.69, 22.28]","[0.33, 1.36, 3.11]",8.997
"[-84.01, -13.79, 22.45]","[0.34, 1.44, 3.13]",8.997
"[-83.93, -13.88, 22.69]","[0.35, 1.52, 3.15]",19.021
"[-83.87, -13.98, 22.98]","[0.36, 1.59, 3.18]",29.005
"[-83.7, -14.03, 23.37]","[0.37, 1.67, 3.21]",40.004999999999995
"[-83.56, -14.14, 23.76]","[0.37, 1.74, 3.23]",49.037
"[-83.56, -14.26, 24.01]","[0.38, 1.81, 3.24]",59.022
"[-83.48, -14.34, 24.25]","[0.39, 1.88, 3.26]",69.059
"[-83.37, -14.46, 24.48]","[0.4, 1.94, 3.28]",79.059
"[-83.22, -14.56, 24.79]","[0.41, 2.01, 3.3]",90.022
"[-83.08, -14.66, 25.11]","[0.41, 2.07, 3.31]",99.06
"[-82.96, -14.73, 25.43]","[0.42, 2.14, 3.33]",113.012
"[-82.89, -14.77, 25.65]","[0.43, 2.2, 3.34]",119.04599999999999
"[-82.71, -14.92, 26.13]","[0.45, 2.36, 3.39]",146.037
"[-82.71, -14.94, 26.2]","[0.46, 2.37, 3.39]",148.04500000000002
"[-82.68, -14.95, 26.24]","[0.46, 2.38, 3.39]",151.01700000000002
"[-82.53, -15.13, 27.02]","[0.48, 2.56, 3.42]",180.02
"[-82.55, -15.11, 27.05]","[0.48, 2.57, 3.42]",182.038
"[-82.54, -15.12, 27.1]","[0.48, 2.58, 3.43]",184.004
"[-82.52, -15.17, 27.19]","[0.48, 2.62, 3.43]",189.038
"[-82.43, -15.27, 27.97]","[0.49, 2.81, 3.46]",222.00400000000002
"[-82.42, -15.29, 28.01]","[0.5, 2.82, 3.46]",224.005
"[-82.41, -15.25, 28.08]","[0.5, 2.83, 3.46]",226.016
"[-82.43, -15.28, 28.17]","[0.5, 2.86, 3.47]",229.03799999999998
"[-82.33, -15.33, 28.69]","[0.52, 3.01, 3.49]",257.05499999999995
"[-82.34, -15.37, 28.74]","[0.52, 3.02, 3.49]",259.03900000000004
"[-82.33, -15.33, 28.78]","[0.52, 3.03, 3.49]",261.013
"[-82.33, -15.36, 28.95]","[0.52, 3.07, 3.49]",272.041
"[-82.21, -15.43, 29.63]","[0.54, 3.23, 3.51]",300.042
"[-82.2, -15.41, 29.67]","[0.54, 3.24, 3.51]",302.037
"[-82.18, -15.45, 29.71]","[0.54, 3.25, 3.51]",304.041
"[-82.19, -15.41, 29.8]","[0.54, 3.27, 3.52]",332.04200000000003
"[-82.11, -15.47, 30.26]","[0.55, 3.39, 3.53]",335.005
"[-82.14, -15.46, 30.31]","[0.55, 3.4, 3.53]",338.007
"[-82.11, -15.5, 30.36]","[0.55, 3.42, 3.53]",340.006
"[-82.11, -15.54, 30.56]","[0.56, 3.46, 3.53]",350.036
"[-82.05, -15.53, 30.75]","[0.57, 3.51, 3.54]",360.007
"[-82.02, -15.53, 30.9]","[0.56, 3.56, 3.54]",369.039
"[-82.04, -15.56, 31.03]","[0.57, 3.61, 3.55]",379.03999999999996
"[-82.03, -15.56, 31.21]","[0.57, 3.65, 3.55]",389.04
"[-81.99, -15.57, 31.41]","[0.58, 3.69, 3.56]",399.039
"[-81.92, -15.61, 31.63]","[0.58, 3.73, 3.56]",409.039
"[-81.96, -15.61, 31.77]","[0.59, 3.78, 3.57]",419.03499999999997
"[-81.91, -15.61, 31.89]","[0.6, 3.82, 3.57]",429.00100000000003
"[-81.88, -15.64, 32.04]","[0.6, 3.87, 3.58]",441.001
"[-81.96, -15.66, 32.18]","[0.6, 3.9, 3.59]",449.064
"[-82.03, -15.72, 32.43]","[0.62, 3.85, 3.59]",459.062
