F,G,time
"[-91.78, -3.65, -0.8]","[-0.62, -5.78, 0.71]",6.994
"[-91.84, -3.58, -0.81]","[-0.62, -5.78, 0.71]",6.994
"[-91.81, -3.58, -0.8]","[-0.62, -5.78, 0.71]",6.994
"[-92.14, -3.55, -0.44]","[-0.61, -5.76, 0.71]",44.03
"[-92.33, -3.54, -0.34]","[-0.61, -5.74, 0.71]",46.031000000000006
"[-92.4, -3.53, -0.34]","[-0.61, -5.74, 0.71]",48.033
"[-92.39, -3.5, -0.33]","[-0.61, -5.74, 0.71]",49.997
"[-92.43, -3.53, -0.34]","[-0.61, -5.74, 0.71]",52.026999999999994
"[-92.5, -3.51, -0.45]","[-0.6, -5.74, 0.72]",72.0
"[-92.49, -3.53, -0.5]","[-0.6, -5.74, 0.72]",72.0
"[-92.16, -3.67, -0.61]","[-0.6, -5.76, 0.72]",98.04499999999999
"[-92.15, -3.72, -0.59]","[-0.6, -5.76, 0.72]",100.03099999999999
"[-92.11, -3.69, -0.58]","[-0.6, -5.76, 0.72]",102.032
"[-91.99, -3.7, -0.54]","[-0.59, -5.74, 0.72]",117.03
"[-92.08, -3.51, -0.66]","[-0.58, -5.74, 0.73]",151.064
"[-92.11, -3.54, -0.68]","[-0.59, -5.74, 0.73]",153.055
"[-92.13, -3.5, -0.66]","[-0.58, -5.74, 0.73]",155.058
"[-92.16, -3.48, -0.66]","[-0.58, -5.73, 0.73]",157.058
"[-92.2, -3.47, -0.63]","[-0.58, -5.73, 0.73]",162.06300000000002
"[-92.3, -3.47, -0.55]","[-0.58, -5.73, 0.73]",172.06
"[-92.35, -3.47, -0.46]","[-0.58, -5.72, 0.73]",182.06
"[-92.38, -3.47, -0.43]","[-0.58, -5.72, 0.73]",192.052
"[-92.39, -3.44, -0.47]","[-0.58, -5.72, 0.73]",202.04
"[-92.33, -3.47, -0.57]","[-0.57, -5.73, 0.73]",212.034
"[-92.22, -3.48, -0.66]","[-0.57, -5.73, 0.74]",222.03300000000002
"[-92.16, -3.49, -0.7]","[-0.57, -5.73, 0.73]",232.03799999999998
"[-92.1, -3.54, -0.69]","[-0.57, -5.73, 0.73]",242.034
"[-92.02, -3.57, -0.63]","[-0.57, -5.73, 0.73]",252.03799999999998
"[-92.03, -3.61, -0.6]","[-0.57, -5.73, 0.73]",262.041
"[-92.07, -3.61, -0.6]","[-0.58, -5.73, 0.73]",272.038
"[-92.13, -3.6, -0.63]","[-0.58, -5.73, 0.73]",282.039
"[-92.27, -3.54, -0.63]","[-0.58, -5.73, 0.73]",292.039
"[-92.31, -3.5, -0.6]","[-0.58, -5.72, 0.73]",302.03799999999995
"[-92.35, -3.47, -0.57]","[-0.57, -5.72, 0.73]",312.043
"[-92.37, -3.46, -0.52]","[-0.57, -5.72, 0.73]",322.03900000000004
"[-92.32, -3.48, -0.51]","[-0.57, -5.72, 0.73]",333.005
"[-92.32, -3.48, -0.51]","[-0.57, -5.73, 0.73]",345.039
"[-92.26, -3.48, -0.54]","[-0.56, -5.73, 0.73]",352.038
"[-92.21, -3.48, -0.57]","[-0.56, -5.73, 0.73]",362.145
"[-92.16, -3.49, -0.64]","[-0.56, -5.73, 0.73]",372.145
"[-92.13, -3.53, -0.65]","[-0.56, -5.73, 0.73]",381.998
"[-92.13, -3.55, -0.62]","[-0.56, -5.73, 0.73]",392.167
"[-92.18, -3.57, -0.59]","[-0.56, -5.73, 0.73]",402.167
"[-92.24, -3.58, -0.56]","[-0.56, -5.73, 0.73]",412.01300000000003
"[-92.3, -3.55, -0.53]","[-0.57, -5.73, 0.73]",422.162
"[-92.31, -3.54, -0.53]","[-0.57, -5.73, 0.72]",432.01
"[-92.34, -3.51, -0.55]","[-0.57, -5.73, 0.73]",442.171
"[-92.34, -3.49, -0.54]","[-0.57, -5.73, 0.72]",452.171
"[-92.28, -3.48, -0.52]","[-0.56, -5.73, 0.72]",462.17900000000003
"[-92.22, -3.48, -0.52]","[-0.56, -5.73, 0.72]",472.0
"[-92.2, -3.5, -0.53]","[-0.55, -5.73, 0.73]",483.002
"[-92.19, -3.47, -0.55]","[-0.56, -5.73, 0.72]",492.173
"[-92.2, -3.48, -0.58]","[-0.56, -5.73, 0.73]",502.173
"[-92.19, -3.51, -0.6]","[-0.55, -5.73, 0.73]",512.171
"[-92.17, -3.57, -0.61]","[-0.56, -5.73, 0.73]",522.169
"[-92.18, -3.56, -0.59]","[-0.56, -5.73, 0.73]",532.005
"[-92.21, -3.59, -0.57]","[-0.56, -5.73, 0.73]",542.1740000000001
"[-92.25, -3.57, -0.56]","[-0.57, -5.73, 0.73]",552.1740000000001
"[-92.24, -3.57, -0.55]","[-0.56, -5.73, 0.73]",562.168
"[-92.28, -3.53, -0.54]","[-0.56, -5.73, 0.73]",572.0070000000001
"[-92.27, -3.5, -0.54]","[-0.56, -5.73, 0.73]",582.006
"[-92.19, -3.48, -0.55]","[-0.56, -5.73, 0.73]",592.014
"[-92.15, -3.46, -0.55]","[-0.55, -5.73, 0.73]",602.167
"[-92.14, -3.48, -0.56]","[-0.55, -5.73, 0.73]",612.167
"[-92.2, -3.48, -0.56]","[-0.55, -5.73, 0.73]",622.174
"[-92.19, -3.49, -0.55]","[-0.55, -5.73, 0.73]",634.995
"[-92.17, -3.49, -0.56]","[-0.55, -5.72, 0.73]",641.9939999999999
"[-92.23, -3.51, -0.57]","[-0.55, -5.72, 0.73]",652.03
"[-92.26, -3.5, -0.57]","[-0.55, -5.72, 0.73]",662.175
"[-92.29, -3.53, -0.57]","[-0.55, -5.72, 0.73]",672.168
"[-92.29, -3.53, -0.55]","[-0.55, -5.72, 0.73]",682.0
"[-92.24, -3.52, -0.53]","[-0.55, -5.72, 0.73]",692.156
"[-92.27, -3.53, -0.55]","[-0.55, -5.72, 0.73]",702.168
"[-92.24, -3.49, -0.54]","[-0.55, -5.72, 0.73]",712.187
"[-92.25, -3.48, -0.56]","[-0.55, -5.73, 0.73]",722.165
"[-92.2, -3.46, -0.55]","[-0.55, -5.72, 0.73]",733.0
"[-92.22, -3.46, -0.55]","[-0.54, -5.73, 0.73]",742.172
"[-92.24, -3.45, -0.55]","[-0.54, -5.73, 0.73]",752.17
"[-92.24, -3.47, -0.53]","[-0.54, -5.72, 0.73]",761.996
"[-92.23, -3.48, -0.54]","[-0.54, -5.72, 0.73]",772.167
"[-92.27, -3.49, -0.54]","[-0.54, -5.72, 0.73]",782.0
"[-92.32, -3.49, -0.55]","[-0.54, -5.72, 0.73]",792.178
"[-92.26, -3.5, -0.54]","[-0.54, -5.72, 0.73]",801.994
"[-92.26, -3.5, -0.55]","[-0.54, -5.72, 0.73]",811.994
