F,G,time
"[-92.48, -2.62, -0.12]","[-0.1, -5.63, 0.96]",6.9750000000000005
"[-92.57, -2.45, -0.13]","[-0.12, -5.62, 0.95]",9.007
"[-92.77, -2.34, -0.11]","[-0.12, -5.61, 0.95]",19.001
"[-92.97, -2.23, -0.07]","[-0.12, -5.61, 0.95]",29.006
"[-93.19, -2.16, 0.02]","[-0.11, -5.6, 0.96]",40.982
"[-93.36, -2.08, 0.11]","[-0.11, -5.6, 0.96]",49.025
"[-93.42, -2.07, 0.13]","[-0.11, -5.6, 0.96]",58.984
"[-93.39, -2.1, 0.11]","[-0.11, -5.61, 0.96]",69.021
"[-93.35, -2.19, 0.07]","[-0.11, -5.63, 0.96]",79.042
"[-93.12, -2.34, 0.01]","[-0.11, -5.64, 0.96]",90.984
"[-92.96, -2.49, -0.02]","[-0.1, -5.64, 0.96]",99.024
"[-92.75, -2.6, -0.05]","[-0.1, -5.64, 0.96]",109.02199999999999
"[-92.6, -2.66, -0.03]","[-0.1, -5.64, 0.95]",119.029
"[-92.56, -2.64, 0.01]","[-0.11, -5.63, 0.95]",129.03
"[-92.63, -2.59, 0.01]","[-0.11, -5.63, 0.95]",138.991
"[-92.75, -2.53, -0.01]","[-0.11, -5.61, 0.94]",149.018
"[-92.91, -2.43, -0.06]","[-0.11, -5.61, 0.94]",159.069
"[-93.33, -2.22, 0.07]","[-0.13, -5.6, 0.94]",186.018
"[-93.38, -2.2, 0.1]","[-0.13, -5.6, 0.94]",186.976
"[-93.38, -2.16, 0.1]","[-0.13, -5.6, 0.94]",189.016
"[-93.4, -2.18, 0.12]","[-0.14, -5.6, 0.95]",212.02599999999998
"[-93.28, -2.25, 0.1]","[-0.14, -5.61, 0.95]",214.021
"[-93.22, -2.25, 0.08]","[-0.14, -5.61, 0.95]",218.978
"[-93.05, -2.38, 0.03]","[-0.15, -5.61, 0.95]",228.99
"[-92.71, -2.56, -0.09]","[-0.16, -5.62, 0.95]",254.02
"[-92.7, -2.55, -0.1]","[-0.16, -5.62, 0.95]",255.986
"[-92.66, -2.59, -0.07]","[-0.16, -5.62, 0.94]",259.02
"[-92.66, -2.61, -0.03]","[-0.15, -5.62, 0.95]",269.009
"[-92.73, -2.61, 0.03]","[-0.15, -5.61, 0.95]",278.98
"[-92.89, -2.55, 0.04]","[-0.14, -5.6, 0.95]",288.983
"[-93.03, -2.49, 0.04]","[-0.15, -5.59, 0.95]",300.019
"[-93.19, -2.45, 0.05]","[-0.15, -5.58, 0.94]",308.999
"[-93.3, -2.37, 0.05]","[-0.16, -5.58, 0.94]",319.027
"[-93.38, -2.35, 0.07]","[-0.16, -5.58, 0.94]",329.021
"[-93.37, -2.26, 0.06]","[-0.16, -5.59, 0.94]",338.984
"[-93.24, -2.31, 0.07]","[-0.16, -5.59, 0.95]",349.027
"[-93.07, -2.32, 0.06]","[-0.16, -5.6, 0.95]",358.98
"[-92.97, -2.35, 0.02]","[-0.16, -5.61, 0.95]",368.99
"[-92.86, -2.44, -0.01]","[-0.16, -5.61, 0.95]",378.979
"[-92.77, -2.49, -0.08]","[-0.16, -5.61, 0.94]",388.97900000000004
"[-92.74, -2.53, -0.07]","[-0.17, -5.61, 0.94]",399.04699999999997
"[-92.8, -2.56, -0.03]","[-0.16, -5.61, 0.94]",409.114
"[-92.85, -2.59, 0.05]","[-0.16, -5.6, 0.94]",419.116
"[-93.04, -2.52, 0.09]","[-0.16, -5.59, 0.94]",429.047
"[-93.15, -2.45, 0.11]","[-0.15, -5.58, 0.94]",438.97799999999995
"[-93.26, -2.45, 0.11]","[-0.16, -5.58, 0.94]",451.139
"[-93.39, -2.37, 0.07]","[-0.16, -5.58, 0.94]",459.13599999999997
"[-93.34, -2.36, 0.07]","[-0.16, -5.58, 0.94]",469.137
"[-93.29, -2.31, 0.04]","[-0.17, -5.58, 0.94]",479.14
"[-93.21, -2.37, 0.03]","[-0.17, -5.59, 0.94]",488.984
"[-93.07, -2.34, 0.02]","[-0.17, -5.59, 0.94]",499.015
"[-92.97, -2.36, -0.0]","[-0.17, -5.6, 0.94]",509.018
"[-92.86, -2.43, -0.01]","[-0.17, -5.6, 0.95]",519.138
"[-92.83, -2.49, -0.04]","[-0.17, -5.61, 0.95]",529.134
"[-92.83, -2.5, -0.05]","[-0.17, -5.61, 0.94]",538.976
"[-92.88, -2.53, -0.01]","[-0.17, -5.6, 0.95]",549.14
"[-92.98, -2.54, 0.02]","[-0.16, -5.59, 0.95]",559.1429999999999
"[-93.08, -2.53, 0.08]","[-0.16, -5.59, 0.95]",569.151
"[-93.21, -2.48, 0.09]","[-0.16, -5.58, 0.95]",579.1650000000001
"[-93.23, -2.46, 0.1]","[-0.16, -5.58, 0.95]",589.973
"[-93.27, -2.43, 0.08]","[-0.16, -5.57, 0.95]",599.144
"[-93.26, -2.38, 0.08]","[-0.16, -5.58, 0.94]",609.154
"[-93.19, -2.35, 0.03]","[-0.16, -5.58, 0.94]",619.145
"[-93.12, -2.35, -0.02]","[-0.17, -5.59, 0.94]",629.1379999999999
"[-93.04, -2.37, -0.06]","[-0.16, -5.6, 0.95]",638.973
"[-92.95, -2.42, -0.05]","[-0.17, -5.6, 0.94]",649.125
"[-92.88, -2.4, -0.03]","[-0.17, -5.6, 0.94]",659.142
"[-92.81, -2.47, -0.01]","[-0.17, -5.6, 0.94]",669.138
"[-92.93, -2.5, -0.0]","[-0.17, -5.6, 0.94]",679.1460000000001
"[-92.99, -2.53, 0.01]","[-0.16, -5.6, 0.95]",688.975
"[-93.06, -2.52, 0.04]","[-0.16, -5.59, 0.95]",699.144
"[-93.13, -2.52, 0.06]","[-0.16, -5.59, 0.94]",709.14
"[-93.2, -2.49, 0.08]","[-0.16, -5.58, 0.94]",719.143
"[-93.22, -2.47, 0.1]","[-0.16, -5.58, 0.94]",731.1410000000001
"[-93.2, -2.43, 0.08]","[-0.16, -5.58, 0.94]",738.975
"[-93.16, -2.4, 0.06]","[-0.16, -5.58, 0.94]",749.136
"[-93.12, -2.38, 0.01]","[-0.16, -5.59, 0.94]",759.146
"[-93.04, -2.37, -0.02]","[-0.17, -5.59, 0.94]",769.1360000000001
"[-92.98, -2.35, -0.05]","[-0.17, -5.59, 0.94]",779.1479999999999
"[-92.97, -2.39, -0.06]","[-0.17, -5.6, 0.94]",788.9730000000001
"[-92.96, -2.42, -0.05]","[-0.17, -5.6, 0.94]",799.005
"[-92.92, -2.48, -0.02]","[-0.17, -5.6, 0.94]",809.156
"[-92.98, -2.48, -0.01]","[-0.17, -5.6, 0.95]",819.168
"[-93.02, -2.5, 0.03]","[-0.17, -5.59, 0.95]",829.157
"[-93.14, -2.51, 0.04]","[-0.17, -5.59, 0.95]",838.9720000000001
"[-93.16, -2.51, 0.07]","[-0.17, -5.58, 0.95]",849.151
"[-93.13, -2.5, 0.08]","[-0.17, -5.58, 0.94]",859.158
