X,Y,Z,A,B,C,time
-90.02,589.27,418.35,-1.9,-1.55,0.27,10.001
-90.01,589.26,418.33,-1.9,-1.55,0.27,34.001000000000005
-90.0,589.26,418.33,-1.9,-1.55,0.27,36.02
-90.0,589.26,418.33,-1.9,-1.55,0.27,38.004000000000005
-90.0,589.26,418.33,-1.9,-1.55,0.27,39.025999999999996
-90.0,589.26,418.33,-1.9,-1.55,0.27,47.034
-89.98,589.25,418.32,-1.9,-1.55,0.27,77.97999999999999
-89.98,589.25,418.32,-1.9,-1.55,0.27,80.04899999999999
-89.98,589.25,418.32,-1.9,-1.55,0.27,82.05
-89.98,589.25,418.31,-1.9,-1.55,0.27,87.05
-89.98,589.24,418.31,-1.9,-1.55,0.27,97.107
-89.97,589.24,418.3,-1.9,-1.55,0.28,124.279
-89.97,589.24,418.3,-1.9,-1.55,0.28,126.28600000000002
-89.97,589.24,418.3,-1.9,-1.55,0.28,128.299
-89.97,589.23,418.29,-1.9,-1.55,0.28,137.101
-89.96,589.23,418.28,-1.9,-1.55,0.28,168.275
-89.96,589.23,418.28,-1.9,-1.55,0.28,173.103
-89.96,589.23,418.28,-1.9,-1.55,0.28,175.148
-89.96,589.22,418.28,-1.9,-1.55,0.28,203.103
-89.95,589.22,418.27,-1.9,-1.55,0.28,205.16400000000002
-89.95,589.22,418.27,-1.9,-1.55,0.28,207.104
-89.95,589.22,418.26,-1.9,-1.55,0.28,209.106
-89.95,589.22,418.26,-1.9,-1.55,0.28,217.106
-89.94,589.21,418.26,-1.9,-1.55,0.28,227.11999999999998
-89.94,589.21,418.25,-1.91,-1.55,0.28,236.289
-89.94,589.21,418.25,-1.91,-1.55,0.28,246.287
-89.94,589.21,418.25,-1.91,-1.55,0.28,257.10699999999997
-89.94,589.2,418.24,-1.91,-1.55,0.28,266.28400000000005
-89.93,589.2,418.24,-1.91,-1.55,0.28,276.289
-89.93,589.2,418.23,-1.91,-1.55,0.28,288.114
-89.93,589.2,418.23,-1.91,-1.55,0.28,296.137
-89.93,589.19,418.23,-1.91,-1.55,0.28,307.106
-89.93,589.19,418.22,-1.91,-1.55,0.28,317.109
-89.93,589.19,418.22,-1.91,-1.55,0.28,326.277
-89.93,589.19,418.21,-1.91,-1.55,0.28,336.289
-89.93,589.18,418.21,-1.91,-1.55,0.28,347.10400000000004
-89.92,589.18,418.21,-1.91,-1.55,0.28,356.10999999999996
-89.92,589.18,418.2,-1.91,-1.55,0.28,366.286
-89.92,589.18,418.2,-1.91,-1.55,0.28,377.139
-89.92,589.17,418.2,-1.91,-1.55,0.28,387.135
-89.92,589.17,418.19,-1.91,-1.55,0.28,396.158
-89.92,589.17,418.19,-1.91,-1.55,0.28,407.1
-89.92,589.17,418.19,-1.91,-1.55,0.28,416.135
-89.92,589.16,418.18,-1.91,-1.55,0.29,426.133
-89.92,589.16,418.18,-1.91,-1.55,0.29,436.134
-89.92,589.16,418.17,-1.91,-1.55,0.29,450.108
-89.92,589.16,418.17,-1.91,-1.55,0.29,456.13399999999996
-89.92,589.15,418.17,-1.91,-1.55,0.29,467.099
-89.92,589.15,418.16,-1.91,-1.55,0.29,477.10200000000003
-89.92,589.15,418.16,-1.91,-1.55,0.29,487.099
-89.92,589.15,418.16,-1.91,-1.55,0.29,496.096
-89.92,589.15,418.16,-1.91,-1.55,0.29,509.116
-89.92,589.15,418.15,-1.91,-1.55,0.29,516.128
-89.92,589.14,418.15,-1.91,-1.55,0.29,527.1
-89.92,589.14,418.15,-1.91,-1.55,0.29,537.1080000000001
-89.91,589.14,418.15,-1.91,-1.55,0.29,546.138
-89.91,589.14,418.15,-1.91,-1.55,0.29,556.101
-89.91,589.14,418.15,-1.91,-1.55,0.29,567.099
-89.91,589.14,418.15,-1.91,-1.55,0.29,576.132
-89.91,589.14,418.15,-1.91,-1.55,0.29,587.11
-89.91,589.14,418.15,-1.91,-1.55,0.29,596.603
-89.91,589.14,418.15,-1.91,-1.55,0.29,606.599
-89.91,589.14,418.15,-1.91,-1.55,0.29,615.712
-89.91,589.14,418.15,-1.91,-1.55,0.29,626.601
-89.91,589.14,418.14,-1.91,-1.55,0.29,636.6039999999999
-89.91,589.14,418.14,-1.91,-1.55,0.29,646.772
-89.91,589.14,418.14,-1.91,-1.55,0.29,656.597
-89.91,589.14,418.14,-1.91,-1.55,0.29,666.778
-89.91,589.14,418.14,-1.91,-1.55,0.29,676.763
-89.91,589.14,418.14,-1.91,-1.55,0.29,687.6139999999999
-89.91,589.14,418.14,-1.91,-1.55,0.29,696.768
-89.91,589.14,418.14,-1.91,-1.55,0.29,706.598
-89.91,589.14,418.14,-1.91,-1.55,0.29,716.7679999999999
-89.91,589.14,418.14,-1.91,-1.55,0.29,729.771
-89.91,589.14,418.14,-1.91,-1.55,0.29,736.759
