F,G,time
"[-89.1, -0.91, -0.65]","[-0.38, -5.84, 1.47]",7.008
"[-89.18, -0.85, -0.69]","[-0.38, -5.84, 1.47]",8.999
"[-89.24, -0.81, -0.75]","[-0.39, -5.84, 1.46]",18.005
"[-89.22, -0.84, -0.79]","[-0.39, -5.84, 1.47]",28.016
"[-89.23, -0.92, -0.82]","[-0.38, -5.84, 1.47]",39.015
"[-89.19, -0.97, -0.78]","[-0.38, -5.84, 1.47]",48.010999999999996
"[-89.14, -0.99, -0.73]","[-0.38, -5.84, 1.47]",59.013000000000005
"[-89.12, -0.93, -0.75]","[-0.39, -5.84, 1.47]",85.09
"[-89.09, -0.91, -0.74]","[-0.39, -5.84, 1.47]",88.004
"[-89.08, -0.9, -0.76]","[-0.39, -5.84, 1.47]",90.02499999999999
"[-89.11, -0.86, -0.77]","[-0.38, -5.85, 1.47]",98.125
"[-89.18, -0.88, -0.66]","[-0.38, -5.84, 1.47]",126.04799999999999
"[-89.21, -0.92, -0.68]","[-0.39, -5.84, 1.47]",128.008
"[-89.2, -0.93, -0.65]","[-0.38, -5.84, 1.47]",129.19
"[-89.24, -0.96, -0.69]","[-0.38, -5.84, 1.47]",156.057
"[-89.28, -0.95, -0.7]","[-0.38, -5.84, 1.47]",157.183
"[-89.23, -0.95, -0.71]","[-0.38, -5.84, 1.47]",159.195
"[-89.26, -0.98, -0.76]","[-0.37, -5.84, 1.47]",168.16400000000002
"[-89.25, -0.99, -0.73]","[-0.38, -5.83, 1.47]",179.041
"[-89.19, -1.0, -0.74]","[-0.37, -5.83, 1.47]",189.09
"[-89.19, -1.02, -0.75]","[-0.37, -5.83, 1.47]",199.067
"[-89.2, -0.98, -0.73]","[-0.37, -5.83, 1.47]",208.176
"[-89.18, -0.97, -0.73]","[-0.36, -5.82, 1.47]",222.165
"[-89.2, -0.96, -0.75]","[-0.37, -5.83, 1.47]",228.166
"[-89.19, -0.92, -0.74]","[-0.36, -5.83, 1.48]",239.044
"[-89.21, -0.9, -0.71]","[-0.37, -5.83, 1.47]",248.171
"[-89.22, -0.84, -0.68]","[-0.37, -5.83, 1.47]",258.169
"[-89.22, -0.88, -0.68]","[-0.36, -5.83, 1.47]",268.173
"[-89.23, -0.87, -0.67]","[-0.37, -5.83, 1.48]",278.171
"[-89.23, -0.89, -0.69]","[-0.36, -5.83, 1.48]",289.007
"[-89.19, -0.88, -0.68]","[-0.36, -5.83, 1.48]",299.03999999999996
"[-89.2, -0.87, -0.72]","[-0.36, -5.82, 1.47]",308.165
"[-89.2, -0.91, -0.74]","[-0.35, -5.82, 1.47]",318.17699999999996
"[-89.22, -0.92, -0.74]","[-0.36, -5.82, 1.47]",328.167
"[-89.2, -0.96, -0.74]","[-0.35, -5.82, 1.47]",338.007
"[-89.2, -0.98, -0.75]","[-0.35, -5.82, 1.47]",349.012
"[-89.2, -0.93, -0.74]","[-0.36, -5.82, 1.47]",359.02299999999997
"[-89.23, -0.91, -0.75]","[-0.36, -5.82, 1.47]",368.17499999999995
"[-89.23, -0.87, -0.72]","[-0.36, -5.82, 1.47]",379.129
"[-89.22, -0.86, -0.71]","[-0.36, -5.82, 1.47]",388.168
"[-89.24, -0.87, -0.69]","[-0.36, -5.82, 1.47]",398.177
"[-89.23, -0.85, -0.69]","[-0.36, -5.82, 1.47]",408.149
"[-89.24, -0.86, -0.69]","[-0.35, -5.82, 1.47]",419.01500000000004
"[-89.26, -0.89, -0.71]","[-0.36, -5.82, 1.47]",428.00500000000005
"[-89.26, -0.88, -0.72]","[-0.35, -5.82, 1.47]",438.167
"[-89.21, -0.93, -0.73]","[-0.36, -5.82, 1.47]",448.161
"[-89.25, -0.93, -0.73]","[-0.35, -5.82, 1.47]",458.16499999999996
"[-89.23, -0.97, -0.75]","[-0.35, -5.82, 1.47]",468.16600000000005
"[-89.22, -0.94, -0.71]","[-0.35, -5.82, 1.46]",479.04400000000004
"[-89.24, -0.93, -0.72]","[-0.35, -5.82, 1.46]",488.077
"[-89.24, -0.9, -0.72]","[-0.35, -5.82, 1.47]",498.017
"[-89.23, -0.9, -0.72]","[-0.35, -5.82, 1.46]",511.003
"[-89.28, -0.94, -0.73]","[-0.35, -5.82, 1.46]",518.165
"[-89.25, -0.93, -0.71]","[-0.35, -5.82, 1.46]",528.1510000000001
"[-89.22, -0.91, -0.7]","[-0.35, -5.82, 1.46]",539.0160000000001
"[-89.25, -0.92, -0.7]","[-0.36, -5.82, 1.46]",548.164
"[-89.23, -0.91, -0.7]","[-0.36, -5.82, 1.46]",558.1700000000001
"[-89.2, -0.91, -0.7]","[-0.36, -5.82, 1.46]",568.006
"[-89.24, -0.92, -0.73]","[-0.36, -5.82, 1.46]",578.176
"[-89.23, -0.94, -0.72]","[-0.35, -5.82, 1.47]",588.003
"[-89.2, -0.91, -0.7]","[-0.35, -5.82, 1.47]",598.9250000000001
"[-89.21, -0.94, -0.72]","[-0.35, -5.82, 1.47]",607.7470000000001
"[-89.24, -0.97, -0.73]","[-0.35, -5.82, 1.47]",617.783
"[-89.26, -0.96, -0.72]","[-0.35, -5.82, 1.47]",627.7479999999999
"[-89.26, -0.9, -0.71]","[-0.35, -5.82, 1.46]",637.7629999999999
"[-89.26, -0.91, -0.72]","[-0.35, -5.82, 1.47]",648.751
"[-89.28, -0.93, -0.72]","[-0.35, -5.82, 1.46]",658.75
"[-89.25, -0.92, -0.7]","[-0.35, -5.81, 1.46]",667.7729999999999
"[-89.28, -0.91, -0.67]","[-0.36, -5.81, 1.46]",677.749
"[-89.31, -0.92, -0.69]","[-0.36, -5.81, 1.47]",687.747
"[-89.28, -0.92, -0.68]","[-0.35, -5.81, 1.47]",698.78
"[-89.28, -0.91, -0.7]","[-0.35, -5.81, 1.47]",708.779
"[-89.31, -0.91, -0.7]","[-0.35, -5.81, 1.47]",718.779
"[-89.28, -0.96, -0.71]","[-0.35, -5.81, 1.47]",727.7900000000001
"[-89.3, -0.93, -0.7]","[-0.35, -5.81, 1.47]",737.746
"[-89.3, -0.95, -0.69]","[-0.35, -5.81, 1.47]",747.7470000000001
"[-89.33, -0.98, -0.71]","[-0.35, -5.81, 1.47]",757.744
"[-89.31, -0.97, -0.69]","[-0.35, -5.8, 1.46]",768.7779999999999
"[-89.31, -0.94, -0.7]","[-0.35, -5.81, 1.46]",778.78
"[-89.34, -0.91, -0.67]","[-0.35, -5.81, 1.46]",791.7769999999999
"[-89.32, -0.97, -0.7]","[-0.35, -5.81, 1.46]",798.7800000000001
"[-89.3, -0.94, -0.68]","[-0.35, -5.81, 1.46]",807.825
"[-89.3, -0.94, -0.68]","[-0.35, -5.81, 1.46]",817.79
"[-89.28, -0.97, -0.68]","[-0.35, -5.81, 1.46]",827.7900000000001
"[-89.32, -0.95, -0.67]","[-0.35, -5.8, 1.46]",838.846
"[-89.28, -0.93, -0.67]","[-0.35, -5.81, 1.46]",847.796
"[-89.27, -0.93, -0.68]","[-0.35, -5.8, 1.46]",858.847
"[-89.3, -0.96, -0.69]","[-0.35, -5.8, 1.46]",867.79
"[-89.28, -0.94, -0.67]","[-0.35, -5.8, 1.46]",877.79
"[-89.3, -0.96, -0.69]","[-0.35, -5.81, 1.46]",887.828
"[-89.31, -0.96, -0.68]","[-0.35, -5.81, 1.46]",905.845
"[-89.35, -0.95, -0.68]","[-0.35, -5.81, 1.46]",907.79
"[-89.32, -0.93, -0.69]","[-0.35, -5.81, 1.46]",917.79
"[-89.3, -0.93, -0.69]","[-0.35, -5.81, 1.46]",927.806
"[-89.28, -0.95, -0.7]","[-0.35, -5.8, 1.46]",937.789
"[-89.29, -0.93, -0.68]","[-0.35, -5.81, 1.46]",947.8050000000001
"[-89.31, -0.96, -0.7]","[-0.35, -5.81, 1.46]",958.8489999999999
"[-89.35, -0.96, -0.68]","[-0.35, -5.8, 1.46]",967.804
"[-89.3, -0.95, -0.69]","[-0.35, -5.8, 1.46]",977.7900000000001
"[-89.33, -0.94, -0.71]","[-0.35, -5.81, 1.46]",987.788
"[-89.32, -0.95, -0.7]","[-0.34, -5.81, 1.46]",997.79
"[-89.33, -0.96, -0.71]","[-0.34, -5.81, 1.46]",1007.8000000000001
"[-89.31, -0.94, -0.68]","[-0.34, -5.8, 1.46]",1018.848
"[-89.32, -0.92, -0.67]","[-0.35, -5.8, 1.46]",1028.8319999999999
"[-89.34, -0.94, -0.68]","[-0.35, -5.8, 1.46]",1037.791
"[-89.37, -0.94, -0.68]","[-0.35, -5.8, 1.46]",1047.791
"[-89.33, -0.9, -0.67]","[-0.35, -5.8, 1.46]",1057.791
"[-89.31, -0.95, -0.68]","[-0.34, -5.8, 1.46]",1068.841
"[-89.34, -0.93, -0.69]","[-0.35, -5.8, 1.46]",1081.839
"[-89.33, -0.97, -0.71]","[-0.34, -5.8, 1.46]",1088.8439999999998
"[-89.33, -0.97, -0.69]","[-0.35, -5.8, 1.46]",1097.79
"[-89.33, -0.97, -0.7]","[-0.35, -5.8, 1.46]",1107.791
"[-89.33, -0.98, -0.7]","[-0.34, -5.8, 1.46]",1117.804
"[-89.34, -0.92, -0.68]","[-0.35, -5.8, 1.46]",1127.806
"[-89.33, -0.94, -0.67]","[-0.34, -5.79, 1.46]",1138.846
"[-89.33, -0.94, -0.69]","[-0.35, -5.8, 1.46]",1147.7900000000002
"[-89.36, -0.93, -0.69]","[-0.34, -5.8, 1.46]",1157.7900000000002
"[-89.34, -0.95, -0.7]","[-0.34, -5.79, 1.46]",1167.7949999999998
"[-89.34, -0.95, -0.7]","[-0.34, -5.8, 1.46]",1177.79
"[-89.32, -0.94, -0.7]","[-0.34, -5.79, 1.46]",1188.839
"[-89.32, -0.96, -0.72]","[-0.34, -5.8, 1.46]",1198.8410000000001
"[-89.35, -0.95, -0.7]","[-0.34, -5.8, 1.46]",1207.79
"[-89.32, -0.93, -0.71]","[-0.34, -5.79, 1.46]",1217.806
"[-89.32, -0.93, -0.71]","[-0.34, -5.79, 1.46]",1227.79
"[-89.35, -0.95, -0.71]","[-0.34, -5.8, 1.46]",1237.8020000000001
"[-89.38, -0.96, -0.71]","[-0.34, -5.79, 1.46]",1247.7959999999998
"[-89.36, -0.94, -0.71]","[-0.34, -5.79, 1.46]",1258.844
"[-89.35, -0.95, -0.72]","[-0.34, -5.79, 1.46]",1267.79
"[-89.35, -0.96, -0.72]","[-0.34, -5.79, 1.46]",1277.902
"[-89.37, -0.91, -0.7]","[-0.34, -5.79, 1.46]",1287.898
"[-89.39, -0.95, -0.72]","[-0.34, -5.79, 1.46]",1297.914
"[-89.38, -0.92, -0.7]","[-0.34, -5.79, 1.46]",1307.8719999999998
"[-89.4, -0.95, -0.72]","[-0.34, -5.79, 1.46]",1318.904
"[-89.34, -0.95, -0.72]","[-0.34, -5.79, 1.46]",1327.8700000000001
"[-89.38, -0.93, -0.71]","[-0.34, -5.79, 1.46]",1338.894
"[-89.37, -0.93, -0.71]","[-0.34, -5.79, 1.46]",1347.892
"[-89.42, -0.93, -0.69]","[-0.34, -5.79, 1.47]",1360.892
"[-89.4, -0.94, -0.72]","[-0.34, -5.78, 1.47]",1367.897
"[-89.35, -0.95, -0.73]","[-0.34, -5.78, 1.47]",1378.9
"[-89.38, -0.94, -0.71]","[-0.34, -5.78, 1.46]",1388.892
"[-89.36, -0.92, -0.72]","[-0.34, -5.78, 1.47]",1397.857
"[-89.4, -0.95, -0.73]","[-0.34, -5.78, 1.47]",1407.8919999999998
"[-89.38, -0.95, -0.7]","[-0.34, -5.78, 1.47]",1417.8919999999998
"[-89.36, -0.9, -0.72]","[-0.34, -5.78, 1.47]",1427.857
"[-89.39, -0.9, -0.71]","[-0.34, -5.78, 1.47]",1438.892
"[-89.38, -0.93, -0.72]","[-0.34, -5.78, 1.47]",1447.859
"[-89.38, -0.92, -0.72]","[-0.34, -5.78, 1.47]",1457.903
"[-89.39, -0.92, -0.72]","[-0.34, -5.78, 1.47]",1467.8700000000001
"[-89.41, -0.95, -0.73]","[-0.34, -5.78, 1.47]",1477.9009999999998
"[-89.43, -0.92, -0.72]","[-0.34, -5.78, 1.47]",1488.875
"[-89.41, -0.94, -0.72]","[-0.34, -5.78, 1.47]",1498.6660000000002
"[-89.38, -0.93, -0.72]","[-0.34, -5.77, 1.47]",1507.6290000000001
"[-89.39, -0.93, -0.73]","[-0.33, -5.77, 1.47]",1517.634
"[-89.4, -0.94, -0.72]","[-0.34, -5.77, 1.47]",1527.6309999999999
"[-89.43, -0.96, -0.74]","[-0.33, -5.77, 1.47]",1537.6309999999999
"[-89.45, -0.93, -0.73]","[-0.34, -5.78, 1.47]",1547.624
"[-89.39, -0.94, -0.71]","[-0.34, -5.77, 1.47]",1558.631
"[-89.43, -0.94, -0.73]","[-0.34, -5.77, 1.47]",1567.6589999999999
"[-89.45, -0.95, -0.73]","[-0.33, -5.77, 1.47]",1578.6290000000001
"[-89.46, -0.95, -0.73]","[-0.33, -5.77, 1.47]",1590.771
"[-89.43, -0.94, -0.73]","[-0.33, -5.77, 1.47]",1598.6309999999999
"[-89.44, -0.94, -0.73]","[-0.33, -5.77, 1.47]",1607.671
"[-89.45, -0.94, -0.73]","[-0.33, -5.77, 1.47]",1618.624
"[-89.45, -0.93, -0.72]","[-0.34, -5.77, 1.47]",1628.625
"[-89.42, -0.94, -0.72]","[-0.34, -5.77, 1.47]",1638.625
"[-89.44, -0.92, -0.72]","[-0.34, -5.77, 1.47]",1651.625
"[-89.47, -0.94, -0.71]","[-0.34, -5.77, 1.47]",1657.624
"[-89.44, -0.92, -0.71]","[-0.34, -5.77, 1.47]",1668.876
"[-89.41, -0.96, -0.73]","[-0.33, -5.77, 1.47]",1678.832
"[-89.42, -0.94, -0.71]","[-0.33, -5.76, 1.47]",1687.894
"[-89.44, -0.97, -0.72]","[-0.34, -5.76, 1.47]",1697.836
"[-89.47, -0.94, -0.73]","[-0.33, -5.76, 1.47]",1707.83
"[-89.41, -0.93, -0.72]","[-0.34, -5.76, 1.47]",1717.9450000000002
"[-89.45, -0.95, -0.71]","[-0.33, -5.77, 1.47]",1727.829
"[-89.42, -0.93, -0.71]","[-0.34, -5.76, 1.47]",1738.908
"[-89.44, -0.93, -0.71]","[-0.34, -5.76, 1.47]",1747.845
"[-89.46, -0.94, -0.71]","[-0.34, -5.76, 1.47]",1757.83
"[-89.45, -0.92, -0.7]","[-0.33, -5.76, 1.47]",1767.858
"[-89.44, -0.93, -0.7]","[-0.33, -5.76, 1.47]",1778.836
"[-89.44, -0.94, -0.72]","[-0.33, -5.76, 1.47]",1788.901
"[-89.45, -0.93, -0.7]","[-0.33, -5.76, 1.47]",1798.903
"[-89.43, -0.94, -0.71]","[-0.33, -5.76, 1.47]",1807.9
"[-89.43, -0.94, -0.71]","[-0.33, -5.76, 1.47]",1818.901
"[-89.46, -0.93, -0.7]","[-0.33, -5.76, 1.47]",1827.8419999999999
"[-89.46, -0.97, -0.72]","[-0.33, -5.76, 1.47]",1837.834
"[-89.47, -0.92, -0.71]","[-0.33, -5.77, 1.47]",1847.845
"[-89.46, -0.9, -0.68]","[-0.33, -5.76, 1.47]",1858.996
"[-89.48, -0.94, -0.69]","[-0.33, -5.76, 1.47]",1867.837
"[-89.46, -0.94, -0.7]","[-0.33, -5.76, 1.47]",1877.844
"[-89.49, -0.93, -0.71]","[-0.33, -5.76, 1.47]",1887.8429999999998
"[-89.47, -0.96, -0.7]","[-0.33, -5.76, 1.47]",1897.853
"[-89.47, -0.96, -0.71]","[-0.33, -5.76, 1.47]",1907.835
"[-89.45, -0.95, -0.7]","[-0.33, -5.76, 1.47]",1918.9950000000001
"[-89.45, -0.92, -0.68]","[-0.33, -5.76, 1.47]",1930.9989999999998
"[-89.45, -0.97, -0.71]","[-0.33, -5.76, 1.47]",1938.997
"[-89.46, -0.95, -0.7]","[-0.33, -5.76, 1.47]",1947.842
"[-89.46, -0.97, -0.72]","[-0.33, -5.76, 1.47]",1957.875
"[-89.44, -0.95, -0.7]","[-0.33, -5.76, 1.47]",1967.834
"[-89.46, -0.93, -0.7]","[-0.33, -5.76, 1.47]",1978.991
"[-89.45, -0.92, -0.7]","[-0.33, -5.76, 1.47]",1988.991
"[-89.44, -0.95, -0.7]","[-0.34, -5.76, 1.47]",1998.9920000000002
"[-89.45, -0.95, -0.7]","[-0.33, -5.76, 1.47]",2007.871
"[-89.44, -0.93, -0.71]","[-0.33, -5.76, 1.47]",2017.849
"[-89.46, -0.95, -0.71]","[-0.33, -5.76, 1.47]",2027.8330000000003
"[-89.47, -0.97, -0.72]","[-0.33, -5.76, 1.47]",2038.985
"[-89.46, -0.92, -0.7]","[-0.33, -5.76, 1.47]",2047.873
"[-89.46, -0.95, -0.71]","[-0.33, -5.76, 1.47]",2058.83
"[-89.49, -0.98, -0.73]","[-0.33, -5.76, 1.47]",2067.8489999999997
"[-89.47, -0.91, -0.7]","[-0.34, -5.75, 1.48]",2077.869
"[-89.47, -0.94, -0.73]","[-0.32, -5.75, 1.49]",2088.99
"[-89.37, -0.9, -0.73]","[-0.32, -5.75, 1.49]",2098.987
"[-89.37, -0.9, -0.74]","[-0.31, -5.73, 1.49]",2107.842
"[-89.37, -0.88, -0.75]","[-0.31, -5.73, 1.49]",2117.835
"[-89.37, -0.85, -0.75]","[-0.31, -5.73, 1.48]",2127.833
"[-89.44, -0.85, -0.74]","[-0.31, -5.72, 1.48]",2138.993
"[-89.52, -0.84, -0.73]","[-0.31, -5.72, 1.48]",2147.872
"[-89.51, -0.84, -0.71]","[-0.31, -5.71, 1.48]",2158.871
"[-89.56, -0.83, -0.68]","[-0.31, -5.71, 1.48]",2167.8419999999996
"[-89.63, -0.88, -0.68]","[-0.31, -5.71, 1.48]",2178.9930000000004
"[-89.68, -0.87, -0.67]","[-0.31, -5.71, 1.48]",2187.849
"[-89.61, -0.87, -0.69]","[-0.31, -5.71, 1.48]",2197.846
