F,G,time
"[-92.63, -2.54, -0.31]","[-0.22, -5.65, 0.94]",787.0310000000001
"[-92.58, -2.55, -0.3]","[-0.22, -5.65, 0.94]",797.041
"[-92.63, -2.53, -0.3]","[-0.22, -5.65, 0.94]",807.022
"[-92.64, -2.53, -0.28]","[-0.22, -5.65, 0.94]",817.003
"[-92.64, -2.56, -0.29]","[-0.22, -5.65, 0.94]",828.061
"[-92.62, -2.54, -0.3]","[-0.21, -5.65, 0.94]",837.056
"[-92.63, -2.53, -0.31]","[-0.22, -5.65, 0.94]",847.048
"[-92.61, -2.57, -0.3]","[-0.22, -5.65, 0.94]",857.059
"[-92.64, -2.5, -0.3]","[-0.22, -5.65, 0.94]",867.004
"[-92.66, -2.57, -0.31]","[-0.22, -5.64, 0.94]",877.058
"[-92.58, -2.51, -0.32]","[-0.22, -5.65, 0.94]",887.058
"[-92.61, -2.5, -0.31]","[-0.22, -5.65, 0.94]",897.058
"[-92.64, -2.5, -0.29]","[-0.22, -5.65, 0.94]",907.059
"[-92.64, -2.53, -0.29]","[-0.22, -5.64, 0.94]",919.059
"[-92.64, -2.53, -0.29]","[-0.22, -5.64, 0.94]",928.074
"[-92.64, -2.54, -0.31]","[-0.22, -5.65, 0.94]",937.041
"[-92.64, -2.56, -0.28]","[-0.22, -5.64, 0.94]",947.047
"[-92.62, -2.53, -0.29]","[-0.22, -5.64, 0.94]",957.018
"[-92.62, -2.5, -0.32]","[-0.22, -5.64, 0.94]",967.0060000000001
"[-92.63, -2.52, -0.33]","[-0.22, -5.64, 0.94]",977.0640000000001
"[-92.61, -2.52, -0.33]","[-0.22, -5.64, 0.94]",987.053
"[-92.63, -2.52, -0.32]","[-0.22, -5.64, 0.94]",997.0550000000001
"[-92.61, -2.51, -0.32]","[-0.22, -5.64, 0.94]",1007.039
"[-92.65, -2.52, -0.3]","[-0.22, -5.64, 0.94]",1017.0060000000001
"[-92.62, -2.52, -0.29]","[-0.22, -5.64, 0.94]",1028.033
"[-92.64, -2.51, -0.3]","[-0.21, -5.64, 0.94]",1037.0490000000002
"[-92.66, -2.56, -0.3]","[-0.21, -5.64, 0.94]",1047.04
"[-92.66, -2.55, -0.28]","[-0.21, -5.64, 0.94]",1057.039
"[-92.64, -2.5, -0.31]","[-0.21, -5.64, 0.94]",1067.007
"[-92.64, -2.53, -0.3]","[-0.21, -5.64, 0.94]",1077.04
"[-92.63, -2.56, -0.29]","[-0.21, -5.64, 0.94]",1087.039
"[-92.63, -2.53, -0.31]","[-0.21, -5.64, 0.94]",1097.0549999999998
"[-92.68, -2.49, -0.33]","[-0.21, -5.64, 0.94]",1107.049
"[-92.64, -2.51, -0.31]","[-0.21, -5.63, 0.94]",1117.007
"[-92.69, -2.52, -0.31]","[-0.21, -5.63, 0.94]",1128.0049999999999
"[-92.66, -2.5, -0.29]","[-0.21, -5.63, 0.94]",1137.039
"[-92.64, -2.52, -0.29]","[-0.22, -5.63, 0.94]",1147.057
"[-92.67, -2.52, -0.29]","[-0.22, -5.63, 0.94]",1157.134
"[-92.68, -2.53, -0.29]","[-0.22, -5.63, 0.93]",1167.127
"[-92.69, -2.53, -0.31]","[-0.22, -5.63, 0.94]",1177.1229999999998
"[-92.69, -2.54, -0.29]","[-0.21, -5.63, 0.94]",1187.126
"[-92.69, -2.53, -0.29]","[-0.22, -5.63, 0.94]",1199.159
"[-92.67, -2.53, -0.3]","[-0.21, -5.63, 0.94]",1207.171
"[-92.68, -2.51, -0.31]","[-0.21, -5.63, 0.94]",1217.125
"[-92.68, -2.53, -0.31]","[-0.22, -5.62, 0.94]",1227.16
"[-92.7, -2.53, -0.32]","[-0.21, -5.63, 0.93]",1237.163
"[-92.69, -2.53, -0.32]","[-0.22, -5.63, 0.93]",1247.173
"[-92.69, -2.53, -0.3]","[-0.22, -5.62, 0.93]",1257.131
"[-92.68, -2.51, -0.3]","[-0.21, -5.62, 0.93]",1267.209
"[-92.67, -2.5, -0.29]","[-0.21, -5.62, 0.93]",1277.217
"[-92.67, -2.48, -0.29]","[-0.21, -5.62, 0.93]",1287.2060000000001
"[-92.7, -2.51, -0.31]","[-0.21, -5.62, 0.94]",1296.2450000000001
"[-92.7, -2.53, -0.31]","[-0.21, -5.62, 0.94]",1306.267
"[-92.72, -2.52, -0.3]","[-0.21, -5.62, 0.93]",1316.246
"[-92.64, -2.54, -0.3]","[-0.21, -5.62, 0.93]",1328.212
"[-92.69, -2.52, -0.31]","[-0.21, -5.62, 0.93]",1336.242
