F,G,time
"[-91.87, -3.38, -0.82]","[-0.59, -5.77, 0.73]",1.0150000000000001
"[-91.8, -3.37, -0.94]","[-0.58, -5.77, 0.74]",9.001
"[-91.77, -3.37, -1.0]","[-0.59, -5.76, 0.73]",19.026
"[-91.91, -3.44, -0.94]","[-0.6, -5.76, 0.73]",32.008
"[-92.04, -3.5, -0.76]","[-0.59, -5.75, 0.73]",39.003
"[-92.13, -3.59, -0.63]","[-0.59, -5.76, 0.74]",49.009
"[-92.31, -3.59, -0.6]","[-0.59, -5.76, 0.74]",59.004
"[-92.45, -3.6, -0.68]","[-0.6, -5.76, 0.73]",69.006
"[-92.5, -3.56, -0.72]","[-0.6, -5.76, 0.73]",79.054
"[-92.48, -3.53, -0.77]","[-0.59, -5.76, 0.73]",90.015
"[-92.4, -3.47, -0.76]","[-0.59, -5.77, 0.73]",99.01899999999999
"[-92.22, -3.47, -0.76]","[-0.58, -5.76, 0.73]",109.048
"[-92.11, -3.45, -0.73]","[-0.58, -5.75, 0.73]",119.01100000000001
"[-92.05, -3.46, -0.75]","[-0.58, -5.75, 0.73]",129.047
"[-91.98, -3.45, -0.78]","[-0.58, -5.74, 0.73]",139.047
"[-91.95, -3.47, -0.84]","[-0.58, -5.75, 0.73]",149.04700000000003
"[-92.21, -3.55, -0.77]","[-0.59, -5.75, 0.73]",177.048
"[-92.24, -3.5, -0.74]","[-0.59, -5.75, 0.73]",180.008
"[-92.25, -3.55, -0.74]","[-0.59, -5.75, 0.73]",182.01500000000001
"[-92.42, -3.6, -0.58]","[-0.6, -5.75, 0.73]",220.008
"[-92.43, -3.57, -0.66]","[-0.6, -5.76, 0.73]",222.047
"[-92.36, -3.54, -0.65]","[-0.6, -5.76, 0.73]",224.011
"[-92.35, -3.54, -0.68]","[-0.6, -5.76, 0.73]",225.04
"[-92.34, -3.51, -0.69]","[-0.59, -5.76, 0.73]",229.055
"[-92.27, -3.47, -0.78]","[-0.59, -5.76, 0.73]",239.048
"[-92.0, -3.44, -0.78]","[-0.58, -5.75, 0.73]",269.04699999999997
"[-92.03, -3.43, -0.76]","[-0.58, -5.75, 0.73]",271.04699999999997
"[-92.01, -3.44, -0.78]","[-0.58, -5.75, 0.73]",274.008
"[-92.17, -3.46, -0.8]","[-0.58, -5.75, 0.73]",301.047
"[-92.17, -3.45, -0.8]","[-0.58, -5.75, 0.73]",303.047
"[-92.16, -3.45, -0.79]","[-0.58, -5.75, 0.73]",305.03799999999995
"[-92.25, -3.46, -0.8]","[-0.58, -5.75, 0.73]",309.048
"[-92.37, -3.51, -0.69]","[-0.58, -5.75, 0.73]",337.175
"[-92.36, -3.53, -0.69]","[-0.58, -5.75, 0.73]",339.168
"[-92.39, -3.53, -0.69]","[-0.58, -5.75, 0.73]",341.178
"[-92.35, -3.53, -0.68]","[-0.58, -5.75, 0.73]",349.168
"[-92.31, -3.51, -0.74]","[-0.58, -5.75, 0.73]",359.168
"[-92.23, -3.46, -0.8]","[-0.58, -5.75, 0.73]",369.17
"[-92.2, -3.43, -0.84]","[-0.58, -5.75, 0.73]",379.012
"[-92.1, -3.43, -0.87]","[-0.57, -5.74, 0.73]",390.003
"[-92.1, -3.43, -0.86]","[-0.57, -5.74, 0.73]",399.167
"[-92.08, -3.44, -0.84]","[-0.57, -5.74, 0.73]",409.163
"[-92.15, -3.42, -0.79]","[-0.58, -5.74, 0.73]",419.161
"[-92.22, -3.42, -0.75]","[-0.58, -5.74, 0.73]",429.008
"[-92.26, -3.46, -0.75]","[-0.58, -5.74, 0.73]",439.17
"[-92.28, -3.52, -0.74]","[-0.58, -5.75, 0.74]",450.003
"[-92.3, -3.48, -0.72]","[-0.58, -5.75, 0.74]",459.163
"[-92.35, -3.48, -0.72]","[-0.59, -5.75, 0.74]",469.16400000000004
"[-92.35, -3.51, -0.71]","[-0.58, -5.75, 0.73]",479.007
"[-92.26, -3.49, -0.7]","[-0.57, -5.74, 0.73]",489.164
"[-92.23, -3.48, -0.73]","[-0.58, -5.74, 0.73]",499.162
"[-92.17, -3.46, -0.76]","[-0.57, -5.74, 0.73]",510.003
"[-92.19, -3.47, -0.78]","[-0.57, -5.74, 0.73]",520.004
"[-92.17, -3.44, -0.8]","[-0.57, -5.74, 0.73]",529.006
"[-92.18, -3.43, -0.79]","[-0.57, -5.74, 0.73]",539.005
"[-92.19, -3.47, -0.75]","[-0.57, -5.74, 0.73]",549.163
"[-92.23, -3.45, -0.71]","[-0.58, -5.74, 0.73]",559.006
"[-92.23, -3.5, -0.71]","[-0.58, -5.74, 0.73]",570.012
"[-92.27, -3.52, -0.71]","[-0.58, -5.74, 0.73]",579.006
"[-92.34, -3.48, -0.7]","[-0.58, -5.74, 0.73]",589.1650000000001
"[-92.33, -3.51, -0.72]","[-0.58, -5.74, 0.74]",602.172
"[-92.28, -3.48, -0.72]","[-0.57, -5.74, 0.73]",609.176
"[-92.24, -3.5, -0.73]","[-0.57, -5.74, 0.73]",619.544
"[-92.22, -3.46, -0.74]","[-0.57, -5.74, 0.73]",629.36
"[-92.19, -3.45, -0.75]","[-0.57, -5.74, 0.73]",639.518
"[-92.17, -3.49, -0.76]","[-0.57, -5.74, 0.73]",649.433
"[-92.17, -3.45, -0.75]","[-0.57, -5.74, 0.73]",659.522
"[-92.21, -3.46, -0.76]","[-0.57, -5.75, 0.74]",669.526
