F,G,time
"[-92.72, -1.39, 0.14]","[0.0, -5.71, 1.07]",0.0
"[-92.62, -1.38, 0.1]","[-0.0, -5.71, 1.07]",8.998000000000001
"[-92.51, -1.47, 0.01]","[-0.0, -5.72, 1.06]",8.998000000000001
"[-92.42, -1.46, -0.04]","[-0.02, -5.71, 1.06]",18.005
"[-92.49, -1.3, 0.13]","[-0.01, -5.7, 1.05]",35.007000000000005
"[-92.5, -1.27, 0.17]","[-0.01, -5.69, 1.05]",37.012
"[-92.72, -1.19, 0.23]","[-0.01, -5.69, 1.05]",46.003
"[-92.91, -1.17, 0.21]","[-0.0, -5.68, 1.05]",56.062
"[-93.14, -1.2, 0.18]","[-0.0, -5.68, 1.06]",66.099
"[-93.25, -1.24, 0.19]","[0.0, -5.69, 1.06]",76.101
"[-93.36, -1.22, 0.22]","[0.0, -5.69, 1.06]",87.005
"[-93.33, -1.25, 0.24]","[0.0, -5.69, 1.06]",96.102
"[-93.18, -1.24, 0.27]","[0.01, -5.69, 1.07]",106.173
"[-92.98, -1.26, 0.29]","[0.0, -5.69, 1.07]",116.19
"[-92.8, -1.31, 0.29]","[0.0, -5.69, 1.07]",126.14800000000001
"[-92.62, -1.32, 0.22]","[-0.01, -5.69, 1.07]",136.00699999999998
"[-92.53, -1.33, 0.12]","[-0.02, -5.7, 1.06]",146.006
"[-92.52, -1.37, 0.04]","[-0.03, -5.69, 1.06]",156.007
"[-92.59, -1.35, -0.0]","[-0.04, -5.69, 1.06]",166.17000000000002
"[-92.66, -1.33, 0.05]","[-0.02, -5.69, 1.06]",176.177
"[-92.78, -1.26, 0.11]","[-0.02, -5.67, 1.06]",186.01000000000002
"[-92.95, -1.23, 0.21]","[-0.01, -5.67, 1.06]",196.162
"[-93.12, -1.18, 0.28]","[0.0, -5.66, 1.06]",206.172
"[-93.17, -1.18, 0.32]","[0.0, -5.66, 1.06]",216.17600000000002
"[-93.2, -1.19, 0.3]","[0.01, -5.67, 1.06]",226.166
"[-93.19, -1.26, 0.24]","[0.0, -5.67, 1.07]",236.078
"[-93.12, -1.29, 0.16]","[0.0, -5.68, 1.07]",246.171
"[-92.92, -1.31, 0.15]","[-0.01, -5.68, 1.06]",256.00600000000003
"[-92.8, -1.31, 0.18]","[-0.02, -5.68, 1.06]",266.167
"[-92.68, -1.29, 0.18]","[-0.02, -5.69, 1.06]",276.177
"[-92.6, -1.31, 0.16]","[-0.03, -5.69, 1.06]",286.145
"[-92.59, -1.31, 0.1]","[-0.02, -5.69, 1.06]",298.006
"[-92.66, -1.32, 0.1]","[-0.02, -5.68, 1.06]",306.16900000000004
"[-92.76, -1.31, 0.1]","[-0.02, -5.68, 1.06]",316.17699999999996
"[-92.93, -1.28, 0.12]","[-0.01, -5.68, 1.06]",326.169
"[-93.02, -1.25, 0.16]","[-0.01, -5.67, 1.06]",336.15099999999995
"[-93.13, -1.25, 0.25]","[0.0, -5.67, 1.06]",346.161
"[-93.18, -1.22, 0.28]","[0.01, -5.66, 1.06]",356.006
"[-93.18, -1.25, 0.29]","[0.01, -5.66, 1.06]",366.17100000000005
"[-93.13, -1.24, 0.27]","[0.0, -5.67, 1.06]",376.17
"[-93.07, -1.27, 0.22]","[-0.01, -5.67, 1.06]",386.14
"[-92.92, -1.29, 0.15]","[-0.02, -5.68, 1.06]",396.02700000000004
"[-92.79, -1.32, 0.12]","[-0.02, -5.68, 1.06]",406.022
"[-92.7, -1.31, 0.12]","[-0.03, -5.68, 1.06]",416.02
"[-92.65, -1.32, 0.11]","[-0.03, -5.68, 1.06]",426.166
"[-92.7, -1.32, 0.12]","[-0.03, -5.68, 1.06]",436.153
"[-92.75, -1.34, 0.16]","[-0.02, -5.68, 1.06]",446.173
"[-92.82, -1.29, 0.17]","[-0.02, -5.67, 1.06]",456.005
