X,Y,Z,A,B,C,time
223.09,597.96,419.98,-1.93,-1.55,0.3,6.032
223.09,597.96,419.98,-1.93,-1.55,0.3,12.028
223.09,597.96,419.98,-1.93,-1.55,0.3,22.017
223.09,597.96,419.98,-1.93,-1.55,0.3,42.038
223.09,597.96,419.98,-1.93,-1.55,0.3,44.040000000000006
223.09,597.96,419.98,-1.93,-1.55,0.3,66.98400000000001
223.09,597.96,419.98,-1.93,-1.55,0.3,68.036
223.09,597.96,419.98,-1.93,-1.55,0.3,72.032
223.09,597.96,419.98,-1.93,-1.55,0.3,82.035
223.09,597.96,419.98,-1.93,-1.55,0.3,91.977
223.09,597.96,419.98,-1.93,-1.55,0.3,101.987
223.09,597.96,419.98,-1.93,-1.55,0.3,112.024
223.09,597.96,419.98,-1.93,-1.55,0.3,122.02399999999999
223.09,597.96,419.98,-1.93,-1.55,0.3,136.991
223.09,597.96,419.98,-1.93,-1.55,0.3,142.02300000000002
223.09,597.96,419.98,-1.93,-1.55,0.3,152.027
223.09,597.96,419.98,-1.93,-1.55,0.3,162.024
223.09,597.96,419.98,-1.93,-1.55,0.3,172.02
223.09,597.96,419.97,-1.93,-1.55,0.3,182.02599999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,192.024
223.09,597.96,419.97,-1.93,-1.55,0.3,202.02
223.09,597.96,419.97,-1.93,-1.55,0.3,214.136
223.09,597.96,419.97,-1.93,-1.55,0.3,222.019
223.09,597.96,419.97,-1.93,-1.55,0.3,232.044
223.09,597.96,419.97,-1.93,-1.55,0.3,242.024
223.09,597.96,419.97,-1.93,-1.55,0.3,252.019
223.09,597.96,419.97,-1.93,-1.55,0.3,262.038
223.09,597.96,419.97,-1.93,-1.55,0.3,272.019
223.09,597.96,419.97,-1.93,-1.55,0.3,281.98699999999997
223.09,597.96,419.97,-1.93,-1.55,0.3,292.027
223.09,597.96,419.97,-1.93,-1.55,0.3,302.025
223.09,597.96,419.97,-1.93,-1.55,0.3,312.027
223.09,597.96,419.97,-1.93,-1.55,0.3,322.019
223.09,597.96,419.97,-1.93,-1.55,0.3,332.02700000000004
223.09,597.96,419.97,-1.93,-1.55,0.3,342.026
223.09,597.96,419.97,-1.93,-1.55,0.3,352.025
223.09,597.96,419.97,-1.93,-1.55,0.3,362.02
223.09,597.96,419.97,-1.93,-1.55,0.3,372.02000000000004
223.09,597.96,419.97,-1.93,-1.55,0.3,382.019
223.09,597.96,419.97,-1.93,-1.55,0.3,392.019
223.09,597.96,419.97,-1.93,-1.55,0.3,402.018
223.09,597.96,419.97,-1.93,-1.55,0.3,412.019
223.09,597.96,419.97,-1.93,-1.55,0.3,422.02099999999996
223.09,597.96,419.97,-1.93,-1.55,0.3,432.019
223.09,597.96,419.97,-1.93,-1.55,0.3,442.019
223.09,597.96,419.97,-1.93,-1.55,0.3,452.021
223.09,597.96,419.97,-1.93,-1.55,0.3,462.019
223.09,597.96,419.97,-1.93,-1.55,0.3,472.02
223.09,597.96,419.97,-1.93,-1.55,0.3,482.01899999999995
223.09,597.96,419.97,-1.93,-1.55,0.3,495.027
223.09,597.96,419.97,-1.93,-1.55,0.3,502.0210000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,512.018
223.09,597.96,419.97,-1.93,-1.55,0.3,522.015
223.09,597.96,419.97,-1.93,-1.55,0.3,532.021
223.09,597.96,419.97,-1.93,-1.55,0.3,542.02
223.09,597.96,419.97,-1.93,-1.55,0.3,552.019
223.09,597.96,419.97,-1.93,-1.55,0.3,562.019
223.09,597.96,419.97,-1.93,-1.55,0.3,572.0150000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,582.021
223.09,597.96,419.97,-1.93,-1.55,0.3,592.019
223.09,597.96,419.97,-1.93,-1.55,0.3,602.02
223.09,597.96,419.97,-1.93,-1.55,0.3,612.0210000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,622.014
223.09,597.96,419.97,-1.93,-1.55,0.3,632.02
223.09,597.96,419.97,-1.93,-1.55,0.3,642.019
223.09,597.96,419.97,-1.93,-1.55,0.3,652.019
223.09,597.96,419.97,-1.93,-1.55,0.3,662.021
223.09,597.96,419.97,-1.93,-1.55,0.3,672.0129999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,682.019
223.09,597.96,419.97,-1.93,-1.55,0.3,692.02
223.09,597.96,419.97,-1.93,-1.55,0.3,701.9720000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,712.013
223.09,597.96,419.97,-1.93,-1.55,0.3,722.013
223.09,597.96,419.97,-1.93,-1.55,0.3,732.019
223.09,597.96,419.97,-1.93,-1.55,0.3,742.0219999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,752.019
223.09,597.96,419.97,-1.93,-1.55,0.3,762.019
223.09,597.96,419.97,-1.93,-1.55,0.3,773.995
223.09,597.96,419.97,-1.93,-1.55,0.3,782.021
223.09,597.96,419.97,-1.93,-1.55,0.3,792.019
223.09,597.96,419.97,-1.93,-1.55,0.3,802.019
223.09,597.96,419.97,-1.93,-1.55,0.3,812.03
223.09,597.96,419.97,-1.93,-1.55,0.3,822.013
223.09,597.96,419.97,-1.93,-1.55,0.3,832.012
223.09,597.96,419.97,-1.93,-1.55,0.3,842.013
223.09,597.96,419.97,-1.93,-1.55,0.3,852.014
223.09,597.96,419.97,-1.93,-1.55,0.3,862.012
223.09,597.96,419.97,-1.93,-1.55,0.3,872.015
223.09,597.96,419.97,-1.93,-1.55,0.3,882.0120000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,892.014
223.09,597.96,419.97,-1.93,-1.55,0.3,902.011
223.09,597.96,419.97,-1.93,-1.55,0.3,912.015
223.09,597.96,419.97,-1.93,-1.55,0.3,922.0129999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,932.015
223.09,597.96,419.97,-1.93,-1.55,0.3,942.013
223.09,597.96,419.97,-1.93,-1.55,0.3,952.016
223.09,597.96,419.97,-1.93,-1.55,0.3,962.013
223.09,597.96,419.97,-1.93,-1.55,0.3,972.013
223.09,597.96,419.97,-1.93,-1.55,0.3,982.011
223.09,597.96,419.97,-1.93,-1.55,0.3,992.013
223.09,597.96,419.97,-1.93,-1.55,0.3,1002.013
223.09,597.96,419.97,-1.93,-1.55,0.3,1012.0150000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1022.013
223.09,597.96,419.97,-1.93,-1.55,0.3,1032.0149999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,1042.0130000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1052.0179999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1064.159
223.09,597.96,419.97,-1.93,-1.55,0.3,1072.0140000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1082.0330000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1092.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1102.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1112.025
223.09,597.96,419.97,-1.93,-1.55,0.3,1122.029
223.09,597.96,419.97,-1.93,-1.55,0.3,1132.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1142.0140000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1152.0159999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1162.0159999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1172.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1182.0159999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1192.019
223.09,597.96,419.97,-1.93,-1.55,0.3,1202.0169999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1212.0230000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1222.013
223.09,597.96,419.97,-1.93,-1.55,0.3,1232.016
223.09,597.96,419.97,-1.93,-1.55,0.3,1242.0169999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1252.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1262.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1272.019
223.09,597.96,419.97,-1.93,-1.55,0.3,1282.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1292.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1302.014
223.09,597.96,419.97,-1.93,-1.55,0.3,1312.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1321.972
223.09,597.96,419.97,-1.93,-1.55,0.3,1332.021
223.09,597.96,419.97,-1.93,-1.55,0.3,1344.1499999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,1352.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1362.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1372.0159999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1382.0140000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1392.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1402.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1412.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1422.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1432.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1442.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1452.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1462.014
223.09,597.96,419.97,-1.93,-1.55,0.3,1472.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1482.016
223.09,597.96,419.97,-1.93,-1.55,0.3,1492.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1502.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1512.019
223.09,597.96,419.97,-1.93,-1.55,0.3,1522.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1532.02
223.09,597.96,419.97,-1.93,-1.55,0.3,1542.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1552.016
223.09,597.96,419.97,-1.93,-1.55,0.3,1562.02
223.09,597.96,419.97,-1.93,-1.55,0.3,1572.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1582.0149999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,1592.0140000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1602.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1615.9730000000002
223.09,597.96,419.97,-1.93,-1.55,0.3,1623.969
223.09,597.96,419.97,-1.93,-1.55,0.3,1634.007
223.09,597.96,419.97,-1.93,-1.55,0.3,1641.972
223.09,597.96,419.97,-1.93,-1.55,0.3,1651.973
223.09,597.96,419.97,-1.93,-1.55,0.3,1661.97
223.09,597.96,419.97,-1.93,-1.55,0.3,1671.992
223.09,597.96,419.97,-1.93,-1.55,0.3,1681.99
223.09,597.96,419.97,-1.93,-1.55,0.3,1693.02
223.09,597.96,419.97,-1.93,-1.55,0.3,1701.97
223.09,597.96,419.97,-1.93,-1.55,0.3,1712.0249999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,1722.029
223.09,597.96,419.97,-1.93,-1.55,0.3,1732.035
223.09,597.96,419.97,-1.93,-1.55,0.3,1742.029
223.09,597.96,419.97,-1.93,-1.55,0.3,1751.972
223.09,597.96,419.97,-1.93,-1.55,0.3,1761.987
223.09,597.96,419.97,-1.93,-1.55,0.3,1772.029
223.09,597.96,419.97,-1.93,-1.55,0.3,1782.026
223.09,597.96,419.97,-1.93,-1.55,0.3,1792.012
223.09,597.96,419.97,-1.93,-1.55,0.3,1801.972
223.09,597.96,419.97,-1.93,-1.55,0.3,1818.973
223.09,597.96,419.97,-1.93,-1.55,0.3,1822.0140000000001
223.09,597.96,419.97,-1.93,-1.55,0.3,1832.0149999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,1842.013
223.09,597.96,419.97,-1.93,-1.55,0.3,1851.9730000000002
223.09,597.96,419.97,-1.93,-1.55,0.3,1862.01
223.09,597.96,419.97,-1.93,-1.55,0.3,1872.0149999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,1882.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1892.019
223.09,597.96,419.97,-1.93,-1.55,0.3,1904.021
223.09,597.96,419.97,-1.93,-1.55,0.3,1912.021
223.09,597.96,419.97,-1.93,-1.55,0.3,1922.017
223.09,597.96,419.97,-1.93,-1.55,0.3,1932.027
223.09,597.96,419.97,-1.93,-1.55,0.3,1942.015
223.09,597.96,419.97,-1.93,-1.55,0.3,1951.9759999999999
223.09,597.96,419.97,-1.93,-1.55,0.3,1962.018
223.09,597.96,419.97,-1.93,-1.55,0.3,1972.038
223.09,597.96,419.97,-1.93,-1.55,0.3,1982.0359999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,1992.021
223.09,597.96,419.97,-1.93,-1.55,0.3,2002.02
223.09,597.96,419.97,-1.93,-1.55,0.3,2012.0179999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,2022.02
223.09,597.96,419.97,-1.93,-1.55,0.3,2032.0179999999998
223.09,597.96,419.97,-1.93,-1.55,0.3,2042.027
223.09,597.96,419.97,-1.93,-1.55,0.3,2052.018
223.09,597.96,419.97,-1.93,-1.55,0.3,2062.017
223.09,597.96,419.97,-1.93,-1.55,0.3,2072.0190000000002
223.09,597.96,419.97,-1.93,-1.55,0.3,2082.018
223.09,597.96,419.97,-1.93,-1.55,0.3,2092.017
223.09,597.96,419.97,-1.93,-1.55,0.3,2101.9770000000003
223.09,597.96,419.97,-1.93,-1.55,0.3,2112.0139999999997
223.09,597.96,419.97,-1.93,-1.55,0.3,2122.019
223.09,597.96,419.97,-1.93,-1.55,0.3,2132.0190000000002
223.09,597.96,419.97,-1.93,-1.55,0.3,2142.018
223.09,597.96,419.97,-1.93,-1.55,0.3,2151.977
223.1,597.96,419.97,-1.93,-1.55,0.3,2163.019
223.1,597.96,419.97,-1.93,-1.55,0.3,2174.15
223.1,597.96,419.97,-1.93,-1.55,0.3,2182.026
223.1,597.96,419.97,-1.93,-1.55,0.3,2192.022
223.1,597.96,419.97,-1.93,-1.55,0.3,2202.0119999999997
223.1,597.96,419.97,-1.93,-1.55,0.3,2212.02
223.1,597.96,419.97,-1.93,-1.55,0.3,2222.018
223.1,597.96,419.97,-1.93,-1.55,0.3,2232.021
223.1,597.96,419.97,-1.93,-1.55,0.3,2242.018
223.1,597.96,419.97,-1.93,-1.55,0.3,2252.0150000000003
223.1,597.96,419.97,-1.93,-1.55,0.3,2262.016
223.1,597.96,419.97,-1.93,-1.55,0.3,2272.019
223.1,597.96,419.97,-1.93,-1.55,0.3,2282.018
223.1,597.96,419.97,-1.93,-1.55,0.3,2292.02
223.1,597.96,419.97,-1.93,-1.55,0.3,2302.0190000000002
223.1,597.96,419.97,-1.93,-1.55,0.3,2312.021
223.09,597.96,419.97,-1.93,-1.55,0.3,2322.018
223.09,597.96,419.97,-1.93,-1.55,0.3,2332.018
