F,G,time
"[-92.74, -3.71, -1.07]","[-0.69, -5.53, 0.64]",5.999
"[-92.91, -3.71, -1.01]","[-0.69, -5.52, 0.64]",11.010000000000002
"[-92.99, -3.71, -0.98]","[-0.69, -5.52, 0.64]",20.011000000000003
"[-93.03, -3.72, -1.0]","[-0.69, -5.53, 0.64]",31.009999999999998
"[-93.02, -3.7, -1.0]","[-0.69, -5.53, 0.64]",40.010999999999996
"[-92.9, -3.74, -1.02]","[-0.68, -5.54, 0.64]",51.009
"[-92.78, -3.74, -1.05]","[-0.68, -5.54, 0.64]",62.021
"[-92.66, -3.76, -1.06]","[-0.68, -5.53, 0.64]",71.04100000000001
"[-92.57, -3.7, -1.08]","[-0.68, -5.53, 0.64]",81.006
"[-92.57, -3.69, -1.12]","[-0.67, -5.53, 0.64]",94.00699999999999
"[-92.6, -3.68, -1.12]","[-0.67, -5.53, 0.65]",101.01899999999999
"[-92.71, -3.71, -1.1]","[-0.67, -5.52, 0.65]",110.003
"[-92.82, -3.65, -1.07]","[-0.67, -5.51, 0.65]",121.01
"[-92.88, -3.63, -1.04]","[-0.67, -5.51, 0.65]",131.01
"[-92.91, -3.65, -1.05]","[-0.67, -5.51, 0.65]",141.004
"[-92.98, -3.66, -1.04]","[-0.67, -5.51, 0.65]",151.01000000000002
"[-92.79, -3.66, -1.09]","[-0.66, -5.52, 0.65]",179.15800000000002
"[-92.74, -3.66, -1.09]","[-0.66, -5.52, 0.65]",184.028
"[-92.73, -3.63, -1.1]","[-0.66, -5.52, 0.65]",186.16
"[-92.59, -3.67, -1.14]","[-0.66, -5.52, 0.65]",211.171
"[-92.64, -3.67, -1.12]","[-0.66, -5.52, 0.65]",213.16299999999998
"[-92.66, -3.65, -1.13]","[-0.66, -5.52, 0.65]",215.031
"[-92.71, -3.65, -1.11]","[-0.66, -5.52, 0.65]",229.013
"[-92.76, -3.63, -1.1]","[-0.66, -5.52, 0.65]",231.019
"[-92.82, -3.66, -1.06]","[-0.66, -5.51, 0.65]",247.076
"[-92.89, -3.64, -1.07]","[-0.67, -5.51, 0.65]",272.181
"[-92.92, -3.65, -1.06]","[-0.66, -5.51, 0.65]",274.181
"[-92.9, -3.64, -1.05]","[-0.66, -5.51, 0.65]",277.174
"[-92.72, -3.63, -1.06]","[-0.66, -5.52, 0.65]",311.179
"[-92.72, -3.64, -1.08]","[-0.66, -5.52, 0.65]",313.166
"[-92.72, -3.63, -1.07]","[-0.66, -5.52, 0.65]",315.207
"[-92.76, -3.65, -1.08]","[-0.66, -5.52, 0.65]",317.17699999999996
"[-92.73, -3.64, -1.08]","[-0.66, -5.52, 0.65]",321.02599999999995
"[-92.72, -3.66, -1.08]","[-0.66, -5.52, 0.65]",330.18199999999996
"[-92.75, -3.66, -1.08]","[-0.66, -5.52, 0.65]",353.058
"[-92.8, -3.65, -1.04]","[-0.66, -5.52, 0.65]",354.186
"[-92.84, -3.66, -1.03]","[-0.67, -5.52, 0.65]",361.056
"[-92.87, -3.65, -1.01]","[-0.66, -5.52, 0.65]",374.181
"[-92.88, -3.65, -1.01]","[-0.67, -5.52, 0.65]",381.003
"[-92.86, -3.66, -1.01]","[-0.67, -5.52, 0.65]",391.009
"[-92.82, -3.66, -1.01]","[-0.67, -5.52, 0.65]",401.178
"[-92.82, -3.64, -1.02]","[-0.67, -5.52, 0.65]",411.008
"[-92.77, -3.66, -1.03]","[-0.66, -5.52, 0.65]",421.048
"[-92.76, -3.64, -1.02]","[-0.67, -5.52, 0.65]",431.00899999999996
"[-92.78, -3.65, -1.03]","[-0.66, -5.52, 0.65]",441.00899999999996
"[-92.8, -3.67, -1.04]","[-0.66, -5.52, 0.65]",451.01099999999997
"[-92.82, -3.68, -1.04]","[-0.66, -5.52, 0.65]",461.177
"[-92.86, -3.65, -1.03]","[-0.66, -5.52, 0.65]",471.027
"[-92.89, -3.64, -1.03]","[-0.67, -5.52, 0.65]",481.053
"[-92.87, -3.66, -1.03]","[-0.67, -5.52, 0.65]",491.00899999999996
