F,G,time
"[-93.26, -0.22, 0.17]","[0.57, -5.68, 1.18]",0.0
"[-92.99, -0.34, 0.11]","[0.58, -5.67, 1.18]",6.044
"[-92.71, -0.45, 0.08]","[0.58, -5.67, 1.17]",15.065
"[-92.54, -0.55, 0.04]","[0.59, -5.67, 1.17]",25.063
"[-92.5, -0.39, 0.07]","[0.57, -5.65, 1.16]",51.018
"[-92.52, -0.37, 0.09]","[0.57, -5.65, 1.16]",53.067
"[-92.6, -0.32, 0.09]","[0.57, -5.65, 1.16]",55.017
"[-92.89, -0.19, 0.13]","[0.56, -5.65, 1.16]",67.012
"[-93.25, -0.06, 0.15]","[0.55, -5.65, 1.16]",78.061
"[-93.4, 0.0, 0.18]","[0.55, -5.66, 1.16]",86.013
"[-93.57, 0.06, 0.29]","[0.55, -5.65, 1.16]",95.064
"[-93.65, 0.05, 0.36]","[0.55, -5.66, 1.16]",105.056
"[-93.54, 0.03, 0.36]","[0.56, -5.66, 1.17]",116.021
"[-93.4, -0.03, 0.32]","[0.57, -5.67, 1.17]",125.04799999999999
"[-93.22, -0.14, 0.25]","[0.57, -5.67, 1.17]",136.05100000000002
"[-92.97, -0.27, 0.15]","[0.57, -5.67, 1.17]",145.05599999999998
"[-92.76, -0.35, -0.01]","[0.56, -5.67, 1.16]",155.047
"[-92.54, -0.42, -0.09]","[0.57, -5.66, 1.17]",172.00799999999998
"[-92.56, -0.39, 0.0]","[0.57, -5.65, 1.16]",183.047
"[-92.63, -0.39, 0.03]","[0.57, -5.65, 1.16]",186.097
"[-92.77, -0.34, 0.12]","[0.57, -5.65, 1.16]",195.133
"[-92.98, -0.27, 0.22]","[0.56, -5.64, 1.16]",205.13500000000002
"[-93.23, -0.14, 0.3]","[0.56, -5.64, 1.16]",215.096
"[-93.47, -0.11, 0.31]","[0.55, -5.64, 1.16]",225.13400000000001
"[-93.56, -0.04, 0.28]","[0.54, -5.65, 1.16]",237.131
"[-93.56, -0.01, 0.25]","[0.54, -5.65, 1.16]",245.131
"[-93.44, -0.06, 0.25]","[0.54, -5.66, 1.16]",255.131
"[-93.23, -0.12, 0.23]","[0.55, -5.66, 1.16]",266.096
"[-93.05, -0.12, 0.18]","[0.56, -5.65, 1.17]",275.233
"[-92.79, -0.27, 0.13]","[0.56, -5.65, 1.17]",285.109
"[-92.67, -0.29, 0.04]","[0.57, -5.65, 1.17]",295.231
"[-92.58, -0.32, -0.0]","[0.57, -5.65, 1.17]",305.24
"[-92.63, -0.34, -0.01]","[0.57, -5.65, 1.16]",315.257
"[-92.74, -0.32, 0.03]","[0.57, -5.64, 1.16]",325.089
"[-92.93, -0.31, 0.12]","[0.57, -5.64, 1.16]",335.1
"[-93.1, -0.25, 0.27]","[0.57, -5.64, 1.16]",345.251
"[-93.3, -0.19, 0.36]","[0.56, -5.64, 1.16]",355.237
"[-93.47, -0.08, 0.38]","[0.56, -5.64, 1.16]",365.24
"[-93.51, -0.08, 0.37]","[0.55, -5.64, 1.16]",375.253
"[-93.43, -0.11, 0.31]","[0.55, -5.65, 1.16]",385.093
"[-93.35, -0.12, 0.24]","[0.55, -5.65, 1.16]",395.24199999999996
"[-93.17, -0.1, 0.18]","[0.55, -5.66, 1.16]",405.123
"[-92.97, -0.15, 0.11]","[0.56, -5.66, 1.16]",415.12399999999997
"[-92.81, -0.23, 0.09]","[0.56, -5.65, 1.16]",425.24899999999997
"[-92.69, -0.25, 0.06]","[0.56, -5.65, 1.16]",435.091
"[-92.69, -0.29, 0.07]","[0.57, -5.65, 1.16]",445.248
"[-92.76, -0.26, 0.09]","[0.57, -5.64, 1.16]",455.23999999999995
"[-92.92, -0.29, 0.14]","[0.57, -5.64, 1.16]",465.245
"[-93.09, -0.26, 0.2]","[0.56, -5.64, 1.16]",475.23199999999997
"[-93.23, -0.24, 0.27]","[0.56, -5.64, 1.16]",485.09799999999996
"[-93.35, -0.16, 0.33]","[0.56, -5.64, 1.16]",495.238
"[-93.43, -0.14, 0.35]","[0.55, -5.64, 1.16]",505.24899999999997
"[-93.4, -0.12, 0.34]","[0.55, -5.64, 1.16]",515.088
"[-93.33, -0.1, 0.29]","[0.55, -5.64, 1.16]",525.261
"[-93.22, -0.14, 0.21]","[0.54, -5.65, 1.16]",535.091
"[-93.04, -0.18, 0.15]","[0.54, -5.65, 1.16]",545.2439999999999
"[-92.85, -0.21, 0.08]","[0.55, -5.65, 1.16]",555.239
"[-92.77, -0.24, 0.02]","[0.55, -5.65, 1.16]",565.2570000000001
"[-92.77, -0.27, 0.03]","[0.55, -5.65, 1.16]",575.233
"[-92.76, -0.3, 0.07]","[0.56, -5.65, 1.16]",585.1039999999999
"[-92.84, -0.29, 0.13]","[0.56, -5.64, 1.17]",595.234
"[-93.0, -0.27, 0.21]","[0.57, -5.64, 1.17]",605.2429999999999
"[-93.16, -0.23, 0.26]","[0.57, -5.64, 1.16]",615.2429999999999
"[-93.3, -0.18, 0.29]","[0.57, -5.63, 1.17]",625.251
"[-93.37, -0.17, 0.3]","[0.57, -5.64, 1.16]",635.089
"[-93.36, -0.14, 0.31]","[0.56, -5.64, 1.16]",645.233
"[-93.35, -0.15, 0.28]","[0.55, -5.64, 1.16]",655.243
"[-93.24, -0.16, 0.22]","[0.55, -5.65, 1.16]",665.249
"[-93.12, -0.13, 0.17]","[0.55, -5.65, 1.16]",675.236
"[-92.97, -0.14, 0.13]","[0.55, -5.65, 1.16]",685.093
"[-92.87, -0.18, 0.08]","[0.55, -5.65, 1.16]",695.244
"[-92.84, -0.22, 0.08]","[0.56, -5.65, 1.16]",705.2460000000001
"[-92.82, -0.27, 0.09]","[0.56, -5.65, 1.16]",715.236
"[-92.91, -0.23, 0.12]","[0.56, -5.64, 1.16]",725.238
"[-93.01, -0.22, 0.18]","[0.57, -5.64, 1.16]",735.091
"[-93.12, -0.23, 0.25]","[0.57, -5.64, 1.16]",745.253
"[-93.21, -0.22, 0.29]","[0.57, -5.64, 1.16]",755.235
"[-93.28, -0.16, 0.32]","[0.57, -5.64, 1.16]",765.254
"[-93.36, -0.16, 0.29]","[0.56, -5.64, 1.16]",775.2320000000001
"[-93.29, -0.14, 0.26]","[0.56, -5.64, 1.16]",785.091
"[-93.23, -0.15, 0.22]","[0.55, -5.64, 1.16]",795.242
"[-93.11, -0.16, 0.14]","[0.55, -5.65, 1.16]",807.245
"[-93.05, -0.2, 0.11]","[0.55, -5.65, 1.16]",815.12
"[-92.95, -0.17, 0.07]","[0.55, -5.65, 1.16]",825.253
"[-92.85, -0.17, 0.07]","[0.55, -5.65, 1.16]",835.086
"[-92.86, -0.22, 0.07]","[0.55, -5.65, 1.16]",845.263
"[-92.89, -0.23, 0.11]","[0.56, -5.65, 1.16]",855.253
"[-92.95, -0.24, 0.15]","[0.56, -5.64, 1.16]",865.261
"[-93.08, -0.22, 0.2]","[0.57, -5.64, 1.17]",875.2529999999999
"[-93.19, -0.21, 0.23]","[0.57, -5.64, 1.16]",885.087
