X,Y,Z,A,B,C,time
-117.24,564.58,417.59,-1.93,-1.55,0.31,5.033
-117.24,564.58,417.59,-1.93,-1.55,0.31,11.001999999999999
-117.24,564.58,417.59,-1.93,-1.55,0.31,22.006999999999998
-117.24,564.58,417.58,-1.93,-1.55,0.31,30.048
-117.24,564.58,417.58,-1.93,-1.55,0.31,41.014
-117.24,564.58,417.58,-1.93,-1.55,0.31,51.013999999999996
-117.24,564.58,417.58,-1.93,-1.55,0.31,61.015
-117.24,564.58,417.58,-1.93,-1.55,0.31,72.062
-117.24,564.58,417.58,-1.93,-1.55,0.31,81.012
-117.24,564.58,417.58,-1.93,-1.55,0.31,91.018
-117.24,564.58,417.58,-1.93,-1.55,0.31,101.049
-117.24,564.58,417.58,-1.93,-1.55,0.31,111.006
-117.24,564.58,417.58,-1.93,-1.55,0.31,121.002
-117.24,564.58,417.58,-1.93,-1.55,0.31,147.00199999999998
-117.24,564.58,417.58,-1.93,-1.55,0.31,149.04
-117.24,564.58,417.58,-1.93,-1.55,0.31,152.038
-117.24,564.58,417.58,-1.93,-1.55,0.31,161.03500000000003
-117.24,564.58,417.58,-1.93,-1.55,0.31,199.006
-117.24,564.58,417.58,-1.93,-1.55,0.31,201.05100000000002
-117.24,564.58,417.58,-1.93,-1.55,0.31,203.009
-117.24,564.58,417.58,-1.93,-1.55,0.31,205.011
-117.24,564.58,417.58,-1.93,-1.55,0.31,211.006
-117.24,564.58,417.58,-1.93,-1.55,0.31,221.008
-117.24,564.58,417.58,-1.93,-1.55,0.31,239.004
-117.24,564.58,417.58,-1.93,-1.55,0.31,241.053
-117.24,564.58,417.58,-1.93,-1.55,0.31,251.05499999999998
-117.24,564.58,417.58,-1.93,-1.55,0.31,261.04
-117.24,564.58,417.58,-1.93,-1.55,0.31,270.04699999999997
-117.24,564.58,417.58,-1.93,-1.55,0.31,281.03000000000003
-117.24,564.58,417.58,-1.93,-1.55,0.31,291.016
-117.24,564.58,417.58,-1.93,-1.55,0.31,301.046
-117.24,564.58,417.58,-1.93,-1.55,0.31,311.002
-117.24,564.58,417.58,-1.93,-1.55,0.31,321.009
-117.24,564.58,417.58,-1.93,-1.55,0.31,331.001
-117.24,564.58,417.58,-1.93,-1.55,0.31,342.003
-117.24,564.58,417.58,-1.93,-1.55,0.31,351.007
-117.24,564.58,417.58,-1.93,-1.55,0.31,361.115
-117.24,564.58,417.58,-1.93,-1.55,0.31,371.418
-117.24,564.58,417.58,-1.93,-1.55,0.31,381.253
-117.24,564.58,417.58,-1.93,-1.55,0.31,390.255
-117.24,564.58,417.58,-1.93,-1.55,0.31,401.42
-117.24,564.58,417.58,-1.93,-1.55,0.31,410.254
-117.24,564.58,417.58,-1.93,-1.55,0.31,420.255
-117.24,564.58,417.58,-1.93,-1.55,0.31,431.254
-117.24,564.58,417.58,-1.93,-1.55,0.31,440.25399999999996
-117.24,564.58,417.58,-1.93,-1.55,0.31,451.43699999999995
-117.24,564.58,417.58,-1.93,-1.55,0.31,461.256
-117.24,564.58,417.58,-1.93,-1.55,0.31,470.254
-117.24,564.58,417.58,-1.93,-1.55,0.31,480.254
-117.24,564.58,417.58,-1.93,-1.55,0.31,490.255
-117.24,564.58,417.58,-1.93,-1.55,0.31,500.251
-117.24,564.58,417.58,-1.93,-1.55,0.31,512.433
-117.24,564.58,417.58,-1.93,-1.55,0.31,521.254
-117.24,564.58,417.58,-1.93,-1.55,0.31,531.442
-117.24,564.58,417.58,-1.93,-1.55,0.31,541.423
-117.24,564.58,417.58,-1.93,-1.55,0.31,550.255
-117.24,564.58,417.58,-1.93,-1.55,0.31,560.294
-117.24,564.58,417.58,-1.93,-1.55,0.31,571.254
-117.24,564.58,417.58,-1.93,-1.55,0.31,581.469
-117.24,564.58,417.58,-1.93,-1.55,0.31,590.2539999999999
-117.24,564.58,417.58,-1.93,-1.55,0.31,601.4540000000001
-117.24,564.58,417.58,-1.93,-1.55,0.31,611.254
-117.24,564.58,417.58,-1.93,-1.55,0.31,620.257
-117.24,564.58,417.58,-1.93,-1.55,0.31,630.2529999999999
-117.24,564.58,417.58,-1.93,-1.55,0.31,641.298
-117.24,564.58,417.58,-1.93,-1.55,0.31,651.304
-117.24,564.58,417.58,-1.93,-1.55,0.31,661.146
-117.24,564.58,417.58,-1.93,-1.55,0.31,670.139
-117.24,564.58,417.58,-1.93,-1.55,0.31,681.183
-117.24,564.58,417.58,-1.93,-1.55,0.31,691.307
-117.24,564.58,417.58,-1.93,-1.55,0.31,701.142
-117.24,564.58,417.58,-1.93,-1.55,0.31,711.201
-117.24,564.58,417.58,-1.93,-1.55,0.31,720.153
-117.24,564.58,417.58,-1.93,-1.55,0.31,731.139
-117.24,564.58,417.58,-1.93,-1.55,0.31,741.205
-117.24,564.58,417.58,-1.93,-1.55,0.31,751.327
-117.24,564.58,417.58,-1.93,-1.55,0.31,761.1419999999999
