F,G,time
"[-92.69, -2.02, -0.16]","[-0.08, -5.74, 1.03]",806.173
"[-92.69, -2.02, -0.15]","[-0.08, -5.74, 1.03]",816.1859999999999
"[-92.69, -2.04, -0.14]","[-0.08, -5.74, 1.03]",827.191
"[-92.7, -2.05, -0.14]","[-0.08, -5.74, 1.03]",836.005
"[-92.7, -2.02, -0.15]","[-0.08, -5.74, 1.03]",846.19
"[-92.7, -2.04, -0.13]","[-0.08, -5.74, 1.03]",856.185
"[-92.7, -2.06, -0.14]","[-0.08, -5.74, 1.03]",866.1750000000001
"[-92.7, -2.04, -0.15]","[-0.08, -5.74, 1.03]",876.177
"[-92.71, -2.04, -0.16]","[-0.08, -5.74, 1.03]",888.17
"[-92.7, -2.03, -0.16]","[-0.08, -5.74, 1.03]",896.1750000000001
"[-92.7, -2.02, -0.15]","[-0.08, -5.74, 1.03]",907.004
"[-92.71, -2.04, -0.15]","[-0.08, -5.74, 1.03]",916.188
"[-92.7, -2.04, -0.15]","[-0.08, -5.74, 1.03]",926.173
"[-92.72, -2.04, -0.15]","[-0.08, -5.74, 1.03]",936.002
"[-92.71, -2.03, -0.14]","[-0.08, -5.74, 1.03]",946.022
"[-92.67, -2.02, -0.14]","[-0.08, -5.74, 1.03]",956.038
"[-92.69, -2.03, -0.14]","[-0.08, -5.74, 1.03]",966.0360000000001
"[-92.69, -2.02, -0.16]","[-0.08, -5.74, 1.03]",976.035
"[-92.68, -2.04, -0.13]","[-0.08, -5.74, 1.03]",986.0179999999999
"[-92.7, -2.04, -0.15]","[-0.08, -5.73, 1.03]",996.0360000000001
"[-92.68, -2.04, -0.15]","[-0.08, -5.74, 1.03]",1006.036
"[-92.7, -2.04, -0.16]","[-0.08, -5.74, 1.03]",1016.0
"[-92.69, -2.02, -0.16]","[-0.08, -5.74, 1.03]",1036.019
"[-92.68, -2.02, -0.15]","[-0.08, -5.74, 1.03]",1036.019
"[-92.69, -2.02, -0.16]","[-0.08, -5.74, 1.03]",1051.0049999999999
"[-92.73, -2.03, -0.16]","[-0.08, -5.74, 1.03]",1060.004
"[-92.68, -2.03, -0.14]","[-0.08, -5.73, 1.03]",1067.003
"[-92.72, -2.05, -0.15]","[-0.08, -5.74, 1.03]",1076.036
"[-92.71, -2.01, -0.15]","[-0.08, -5.73, 1.03]",1086.0030000000002
"[-92.71, -2.03, -0.14]","[-0.08, -5.73, 1.03]",1096.036
"[-92.71, -2.06, -0.14]","[-0.08, -5.73, 1.03]",1106.035
"[-92.71, -2.06, -0.16]","[-0.09, -5.73, 1.03]",1116.035
"[-92.72, -2.05, -0.15]","[-0.08, -5.73, 1.03]",1126.02
"[-92.71, -2.01, -0.16]","[-0.08, -5.73, 1.03]",1136.0049999999999
"[-92.73, -2.03, -0.16]","[-0.08, -5.73, 1.03]",1146.185
"[-92.7, -2.03, -0.15]","[-0.08, -5.73, 1.03]",1156.186
"[-92.73, -2.03, -0.14]","[-0.08, -5.73, 1.03]",1169.004
"[-92.71, -2.02, -0.15]","[-0.08, -5.73, 1.03]",1176.1109999999999
"[-92.73, -2.03, -0.14]","[-0.08, -5.73, 1.03]",1186.022
"[-92.72, -2.02, -0.15]","[-0.08, -5.73, 1.03]",1196.191
"[-92.72, -2.03, -0.15]","[-0.08, -5.73, 1.03]",1207.0030000000002
"[-92.72, -2.05, -0.15]","[-0.08, -5.73, 1.03]",1216.174
"[-92.69, -2.02, -0.14]","[-0.08, -5.73, 1.02]",1226.169
"[-92.73, -2.02, -0.14]","[-0.08, -5.73, 1.02]",1236.001
"[-92.71, -2.02, -0.16]","[-0.09, -5.73, 1.02]",1246.175
"[-92.73, -2.02, -0.16]","[-0.08, -5.73, 1.02]",1257.0030000000002
"[-92.72, -2.03, -0.15]","[-0.09, -5.72, 1.03]",1267.0030000000002
"[-92.71, -2.04, -0.15]","[-0.08, -5.72, 1.02]",1276.178
"[-92.73, -2.03, -0.15]","[-0.08, -5.72, 1.02]",1286.001
"[-92.75, -2.04, -0.15]","[-0.09, -5.72, 1.02]",1296.185
"[-92.74, -2.05, -0.15]","[-0.08, -5.72, 1.02]",1306.036
"[-92.72, -2.02, -0.15]","[-0.08, -5.72, 1.02]",1316.185
"[-92.75, -2.04, -0.16]","[-0.08, -5.73, 1.02]",1327.183
"[-92.75, -2.05, -0.14]","[-0.08, -5.72, 1.02]",1336.109
"[-92.74, -2.07, -0.16]","[-0.08, -5.72, 1.02]",1346.171
"[-92.73, -2.04, -0.16]","[-0.08, -5.72, 1.02]",1356.174
"[-92.75, -2.04, -0.18]","[-0.09, -5.72, 1.02]",1366.027
"[-92.75, -2.05, -0.16]","[-0.09, -5.72, 1.02]",1376.179
"[-92.73, -2.03, -0.17]","[-0.09, -5.72, 1.02]",1386.004
"[-92.75, -2.07, -0.16]","[-0.09, -5.72, 1.02]",1396.174
"[-92.76, -2.06, -0.16]","[-0.09, -5.72, 1.02]",1406.172
"[-92.76, -2.05, -0.16]","[-0.09, -5.72, 1.02]",1417.004
"[-92.75, -2.04, -0.16]","[-0.09, -5.72, 1.02]",1426.175
"[-92.76, -2.05, -0.16]","[-0.08, -5.72, 1.02]",1436.183
"[-92.78, -2.06, -0.16]","[-0.09, -5.72, 1.02]",1449.008
"[-92.77, -2.04, -0.16]","[-0.08, -5.72, 1.02]",1457.0030000000002
"[-92.75, -2.05, -0.16]","[-0.09, -5.71, 1.02]",1466.1960000000001
"[-92.75, -2.05, -0.17]","[-0.09, -5.72, 1.02]",1476.193
"[-92.77, -2.07, -0.18]","[-0.09, -5.72, 1.02]",1486.189
"[-92.76, -2.06, -0.18]","[-0.09, -5.72, 1.02]",1496.186
