X,Y,Z,A,B,C,time
194.28,547.47,419.03,-1.92,-1.55,0.29,1.0
194.28,547.47,419.03,-1.92,-1.55,0.29,8.998000000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,17.005
194.28,547.47,419.03,-1.92,-1.55,0.29,28.009
194.28,547.47,419.03,-1.92,-1.55,0.29,37.006
194.28,547.47,419.03,-1.92,-1.55,0.29,50.0
194.28,547.47,419.03,-1.92,-1.55,0.29,57.015
194.28,547.47,419.03,-1.92,-1.55,0.29,67.008
194.28,547.47,419.03,-1.92,-1.55,0.29,80.00699999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,92.011
194.28,547.47,419.03,-1.92,-1.55,0.29,97.043
194.28,547.47,419.03,-1.92,-1.55,0.29,116.055
194.28,547.47,419.03,-1.92,-1.55,0.29,118.005
194.28,547.47,419.03,-1.92,-1.55,0.29,128.054
194.28,547.47,419.03,-1.92,-1.55,0.29,146.05499999999998
194.28,547.47,419.03,-1.92,-1.55,0.29,148.012
194.28,547.47,419.03,-1.92,-1.55,0.29,157.004
194.28,547.47,419.03,-1.92,-1.55,0.29,167.032
194.28,547.47,419.03,-1.92,-1.55,0.29,177.019
194.28,547.47,419.03,-1.92,-1.55,0.29,187.03300000000002
194.28,547.47,419.03,-1.92,-1.55,0.29,197.053
194.28,547.47,419.03,-1.92,-1.55,0.29,207.041
194.28,547.47,419.03,-1.92,-1.55,0.29,217.014
194.28,547.47,419.03,-1.92,-1.55,0.29,228.009
194.28,547.47,419.03,-1.92,-1.55,0.29,237.058
194.28,547.47,419.03,-1.92,-1.55,0.29,250.021
194.28,547.47,419.03,-1.92,-1.55,0.29,257.044
194.28,547.47,419.03,-1.92,-1.55,0.29,267.023
194.28,547.47,419.03,-1.92,-1.55,0.29,277.04400000000004
194.28,547.47,419.03,-1.92,-1.55,0.29,287.03000000000003
194.28,547.47,419.03,-1.92,-1.55,0.29,297.06100000000004
194.28,547.47,419.03,-1.92,-1.55,0.29,307.031
194.28,547.47,419.03,-1.92,-1.55,0.29,317.061
194.28,547.47,419.03,-1.92,-1.55,0.29,328.022
194.28,547.47,419.03,-1.92,-1.55,0.29,337.03499999999997
194.28,547.47,419.03,-1.92,-1.55,0.29,347.034
194.28,547.47,419.03,-1.92,-1.55,0.29,359.06100000000004
194.28,547.47,419.03,-1.92,-1.55,0.29,367.06
194.28,547.47,419.03,-1.92,-1.55,0.29,377.012
194.28,547.47,419.03,-1.92,-1.55,0.29,387.044
194.28,547.47,419.03,-1.92,-1.55,0.29,397.065
194.28,547.47,419.03,-1.92,-1.55,0.29,407.053
194.28,547.47,419.03,-1.92,-1.55,0.29,417.067
194.28,547.47,419.03,-1.92,-1.55,0.29,428.062
194.28,547.47,419.03,-1.92,-1.55,0.29,437.061
194.28,547.47,419.03,-1.92,-1.55,0.29,447.021
194.28,547.47,419.03,-1.92,-1.55,0.29,457.022
194.28,547.47,419.03,-1.92,-1.55,0.29,467.038
194.28,547.47,419.03,-1.92,-1.55,0.29,477.059
194.28,547.47,419.03,-1.92,-1.55,0.29,487.056
194.28,547.47,419.03,-1.92,-1.55,0.29,497.003
194.28,547.47,419.03,-1.92,-1.55,0.29,507.022
194.28,547.47,419.03,-1.92,-1.55,0.29,517.023
194.28,547.47,419.03,-1.92,-1.55,0.29,528.007
194.28,547.47,419.03,-1.92,-1.55,0.29,537.046
194.28,547.47,419.03,-1.92,-1.55,0.29,547.0540000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,557.0619999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,567.006
194.28,547.47,419.03,-1.92,-1.55,0.29,577.061
194.28,547.47,419.03,-1.92,-1.55,0.29,587.0600000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,597.01
194.28,547.47,419.03,-1.92,-1.55,0.29,607.051
194.28,547.47,419.03,-1.92,-1.55,0.29,617.007
194.28,547.47,419.03,-1.92,-1.55,0.29,628.0179999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,639.06
194.28,547.47,419.03,-1.92,-1.55,0.29,647.065
194.28,547.47,419.03,-1.92,-1.55,0.29,657.0200000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,667.0070000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,677.062
194.28,547.47,419.03,-1.92,-1.55,0.29,687.021
194.28,547.47,419.03,-1.92,-1.55,0.29,697.0260000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,707.0340000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,717.009
194.28,547.47,419.03,-1.92,-1.55,0.29,728.0459999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,737.044
194.28,547.47,419.03,-1.92,-1.55,0.29,747.0290000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,757.029
194.28,547.47,419.03,-1.92,-1.55,0.29,767.002
194.28,547.47,419.03,-1.92,-1.55,0.29,777.061
194.28,547.47,419.03,-1.92,-1.55,0.29,787.0310000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,797.041
194.28,547.47,419.03,-1.92,-1.55,0.29,807.022
194.28,547.47,419.03,-1.92,-1.55,0.29,817.003
194.28,547.47,419.03,-1.92,-1.55,0.29,828.061
194.28,547.47,419.03,-1.92,-1.55,0.29,837.056
194.28,547.47,419.03,-1.92,-1.55,0.29,847.048
194.28,547.47,419.03,-1.92,-1.55,0.29,857.059
194.28,547.47,419.03,-1.92,-1.55,0.29,867.004
194.28,547.47,419.03,-1.92,-1.55,0.29,877.058
194.28,547.47,419.03,-1.92,-1.55,0.29,887.058
194.28,547.47,419.03,-1.92,-1.55,0.29,897.058
194.28,547.47,419.03,-1.92,-1.55,0.29,907.059
194.28,547.47,419.03,-1.92,-1.55,0.29,919.059
194.28,547.47,419.03,-1.92,-1.55,0.29,928.074
194.28,547.47,419.03,-1.92,-1.55,0.29,937.041
194.28,547.47,419.03,-1.92,-1.55,0.29,947.047
194.28,547.47,419.03,-1.92,-1.55,0.29,957.018
194.28,547.47,419.03,-1.92,-1.55,0.29,967.0060000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,977.0640000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,987.053
194.28,547.47,419.03,-1.92,-1.55,0.29,997.0550000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,1007.039
194.28,547.47,419.03,-1.92,-1.55,0.29,1017.0060000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,1028.033
194.28,547.47,419.03,-1.92,-1.55,0.29,1037.0490000000002
194.28,547.47,419.03,-1.92,-1.55,0.29,1047.04
194.28,547.47,419.03,-1.92,-1.55,0.29,1057.039
194.28,547.47,419.03,-1.92,-1.55,0.29,1067.007
194.28,547.47,419.03,-1.92,-1.55,0.29,1077.04
194.28,547.47,419.03,-1.92,-1.55,0.29,1087.039
194.28,547.47,419.03,-1.92,-1.55,0.29,1097.0549999999998
194.28,547.47,419.03,-1.92,-1.55,0.29,1107.049
194.28,547.47,419.03,-1.92,-1.55,0.29,1117.007
194.28,547.47,419.03,-1.92,-1.55,0.29,1128.0049999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,1137.039
194.28,547.47,419.03,-1.92,-1.55,0.29,1147.057
194.28,547.47,419.03,-1.92,-1.55,0.29,1157.134
194.28,547.47,419.03,-1.92,-1.55,0.29,1167.127
194.28,547.47,419.03,-1.92,-1.55,0.29,1177.1229999999998
194.28,547.47,419.03,-1.92,-1.55,0.29,1187.126
194.28,547.47,419.03,-1.92,-1.55,0.29,1199.159
194.28,547.47,419.03,-1.92,-1.55,0.29,1207.171
194.28,547.47,419.03,-1.92,-1.55,0.29,1217.125
194.28,547.47,419.03,-1.92,-1.55,0.29,1227.16
194.28,547.47,419.03,-1.92,-1.55,0.29,1237.163
194.28,547.47,419.03,-1.92,-1.55,0.29,1247.173
194.28,547.47,419.03,-1.92,-1.55,0.29,1257.131
194.28,547.47,419.03,-1.92,-1.55,0.29,1267.209
194.28,547.47,419.03,-1.92,-1.55,0.29,1277.217
194.28,547.47,419.03,-1.92,-1.55,0.29,1287.2060000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,1296.2450000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,1306.267
194.28,547.47,419.03,-1.92,-1.55,0.29,1316.246
194.28,547.47,419.03,-1.92,-1.55,0.29,1328.212
194.28,547.47,419.03,-1.92,-1.55,0.29,1336.242
194.28,547.47,419.03,-1.92,-1.55,0.29,1346.2430000000002
194.28,547.47,419.03,-1.92,-1.55,0.29,1356.2479999999998
194.28,547.47,419.03,-1.92,-1.55,0.29,1367.212
194.28,547.47,419.03,-1.92,-1.55,0.29,1377.207
194.28,547.47,419.03,-1.92,-1.55,0.29,1387.213
194.28,547.47,419.03,-1.92,-1.55,0.29,1397.208
194.28,547.47,419.03,-1.92,-1.55,0.29,1406.246
194.28,547.47,419.03,-1.92,-1.55,0.29,1416.243
194.28,547.47,419.03,-1.92,-1.55,0.29,1428.034
194.28,547.47,419.03,-1.92,-1.55,0.29,1437.06
194.28,547.47,419.03,-1.92,-1.55,0.29,1447.0590000000002
194.28,547.47,419.03,-1.92,-1.55,0.29,1457.0669999999998
194.28,547.47,419.03,-1.92,-1.55,0.29,1467.068
194.28,547.47,419.03,-1.92,-1.55,0.29,1479.1490000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,1487.179
194.28,547.47,419.03,-1.92,-1.55,0.29,1497.1760000000002
194.28,547.47,419.03,-1.92,-1.55,0.29,1507.1889999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,1517.05
194.28,547.47,419.03,-1.92,-1.55,0.29,1528.125
194.28,547.47,419.03,-1.92,-1.55,0.29,1537.173
194.28,547.47,419.03,-1.92,-1.55,0.29,1547.188
194.28,547.47,419.03,-1.92,-1.55,0.29,1557.0649999999998
194.28,547.47,419.03,-1.92,-1.55,0.29,1567.165
194.28,547.47,419.03,-1.92,-1.55,0.29,1577.172
194.28,547.47,419.03,-1.92,-1.55,0.29,1587.045
194.28,547.47,419.03,-1.92,-1.55,0.29,1597.1599999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,1607.191
194.28,547.47,419.03,-1.92,-1.55,0.29,1617.027
194.28,547.47,419.03,-1.92,-1.55,0.29,1628.201
194.28,547.47,419.03,-1.92,-1.55,0.29,1637.181
194.28,547.47,419.03,-1.92,-1.55,0.29,1647.023
194.28,547.47,419.03,-1.92,-1.55,0.29,1657.171
194.28,547.47,419.03,-1.92,-1.55,0.29,1667.0259999999998
194.28,547.47,419.03,-1.92,-1.55,0.29,1677.176
194.28,547.47,419.03,-1.92,-1.55,0.29,1687.179
194.28,547.47,419.03,-1.92,-1.55,0.29,1697.1860000000001
194.28,547.47,419.03,-1.92,-1.55,0.29,1707.134
194.28,547.47,419.03,-1.92,-1.55,0.29,1717.155
194.28,547.47,419.03,-1.92,-1.55,0.29,1728.189
194.28,547.47,419.03,-1.92,-1.55,0.29,1737.177
194.28,547.47,419.03,-1.92,-1.55,0.29,1747.175
194.28,547.47,419.03,-1.92,-1.55,0.29,1757.1779999999999
194.28,547.47,419.03,-1.92,-1.55,0.29,1769.029
194.28,547.47,419.03,-1.92,-1.55,0.29,1777.1650000000002
194.28,547.47,419.03,-1.92,-1.55,0.29,1794.177
194.28,547.47,419.03,-1.92,-1.55,0.29,1797.188
194.28,547.47,419.03,-1.92,-1.55,0.29,1807.181
194.28,547.47,419.03,-1.92,-1.55,0.29,1817.179
194.28,547.47,419.03,-1.92,-1.55,0.29,1828.157
194.28,547.47,419.03,-1.92,-1.55,0.29,1837.174
194.28,547.47,419.03,-1.92,-1.55,0.29,1847.173
194.28,547.47,419.03,-1.92,-1.55,0.29,1857.181
194.28,547.47,419.03,-1.92,-1.55,0.29,1867.194
194.28,547.47,419.03,-1.92,-1.55,0.29,1877.176
194.28,547.47,419.03,-1.92,-1.55,0.29,1887.162
194.28,547.47,419.03,-1.92,-1.55,0.29,1897.165
194.28,547.47,419.03,-1.92,-1.55,0.29,1907.177
194.28,547.47,419.03,-1.92,-1.55,0.29,1917.181
194.28,547.47,419.03,-1.92,-1.55,0.29,1928.185
194.28,547.47,419.03,-1.92,-1.55,0.29,1937.1750000000002
194.28,547.47,419.03,-1.92,-1.55,0.29,1947.159
194.28,547.47,419.03,-1.92,-1.55,0.29,1957.1750000000002
