X,Y,Z,A,B,C,time
-346.58,655.32,417.67,-1.92,-1.55,0.3,5.002999999999999
-346.58,655.32,417.66,-1.92,-1.55,0.3,10.0
-346.58,655.32,417.65,-1.92,-1.55,0.3,21.008
-346.58,655.31,417.65,-1.92,-1.55,0.3,30.011
-346.59,655.31,417.64,-1.92,-1.55,0.3,40.006
-346.59,655.31,417.64,-1.92,-1.55,0.3,50.009
-346.59,655.31,417.64,-1.92,-1.55,0.3,60.009
-346.59,655.31,417.64,-1.92,-1.55,0.3,71.013
-346.59,655.31,417.64,-1.92,-1.55,0.3,80.013
-346.6,655.3,417.64,-1.92,-1.55,0.3,108.017
-346.6,655.3,417.64,-1.92,-1.55,0.3,110.00699999999999
-346.6,655.3,417.64,-1.92,-1.55,0.3,115.039
-346.61,655.3,417.64,-1.92,-1.55,0.3,127.03900000000002
-346.61,655.3,417.64,-1.92,-1.55,0.3,154.027
-346.61,655.3,417.64,-1.92,-1.55,0.3,156.017
-346.61,655.3,417.64,-1.92,-1.55,0.3,158.019
-346.61,655.3,417.64,-1.92,-1.55,0.3,160.005
-346.62,655.29,417.64,-1.92,-1.55,0.3,186.023
-346.62,655.29,417.64,-1.92,-1.55,0.3,188.015
-346.62,655.29,417.64,-1.92,-1.55,0.3,190.041
-346.62,655.29,417.64,-1.92,-1.55,0.3,221.046
-346.62,655.29,417.64,-1.92,-1.55,0.3,223.04299999999998
-346.62,655.29,417.64,-1.92,-1.55,0.3,225.043
-346.62,655.29,417.64,-1.92,-1.55,0.3,230.033
-346.62,655.29,417.64,-1.92,-1.55,0.3,263.167
-346.62,655.29,417.64,-1.92,-1.55,0.3,265.16
-346.62,655.29,417.64,-1.92,-1.55,0.3,267.16
-346.62,655.29,417.64,-1.92,-1.55,0.3,270.163
-346.62,655.29,417.64,-1.92,-1.55,0.3,280.204
-346.62,655.29,417.64,-1.92,-1.55,0.3,290.173
-346.62,655.29,417.64,-1.92,-1.55,0.3,300.203
-346.62,655.29,417.63,-1.92,-1.55,0.3,310.16700000000003
-346.62,655.29,417.63,-1.92,-1.55,0.3,320.211
-346.62,655.29,417.63,-1.92,-1.55,0.3,330.169
-346.62,655.29,417.63,-1.92,-1.55,0.3,341.208
-346.61,655.29,417.63,-1.92,-1.55,0.3,350.169
-346.61,655.3,417.63,-1.92,-1.55,0.3,360.20799999999997
-346.61,655.3,417.63,-1.92,-1.55,0.3,370.209
