X,Y,Z,A,B,C,time
13.99,583.4,418.64,-1.92,-1.55,0.3,17.008
13.99,583.4,418.64,-1.92,-1.55,0.3,19.008
13.99,583.4,418.64,-1.92,-1.55,0.3,22.009999999999998
13.99,583.4,418.64,-1.92,-1.55,0.3,29.008
13.99,583.4,418.64,-1.92,-1.55,0.3,61.008
13.99,583.4,418.64,-1.92,-1.55,0.3,63.0
13.99,583.4,418.64,-1.92,-1.55,0.3,68.006
13.99,583.4,418.64,-1.92,-1.55,0.3,69.99900000000001
13.99,583.4,418.64,-1.92,-1.55,0.3,79.06
13.99,583.4,418.64,-1.92,-1.55,0.3,103.188
13.99,583.4,418.64,-1.92,-1.55,0.3,105.127
13.99,583.4,418.64,-1.92,-1.55,0.3,110.274
13.99,583.4,418.64,-1.92,-1.55,0.3,137.274
13.99,583.4,418.64,-1.92,-1.55,0.3,140.215
13.99,583.4,418.64,-1.92,-1.55,0.3,142.21800000000002
13.99,583.4,418.64,-1.92,-1.55,0.3,149.21599999999998
13.99,583.4,418.64,-1.92,-1.55,0.3,159.216
13.99,583.4,418.64,-1.92,-1.55,0.3,185.255
13.99,583.4,418.64,-1.92,-1.55,0.3,187.254
13.99,583.4,418.64,-1.92,-1.55,0.3,189.257
13.99,583.4,418.64,-1.92,-1.55,0.3,199.22400000000002
13.99,583.4,418.64,-1.92,-1.55,0.3,230.22500000000002
13.99,583.4,418.64,-1.92,-1.55,0.3,231.254
13.99,583.4,418.64,-1.92,-1.55,0.3,233.253
13.99,583.4,418.64,-1.92,-1.55,0.3,239.231
13.99,583.4,418.64,-1.92,-1.55,0.3,249.224
13.99,583.4,418.64,-1.92,-1.55,0.3,259.227
13.99,583.4,418.63,-1.92,-1.55,0.3,269.258
13.99,583.4,418.63,-1.92,-1.55,0.3,279.22400000000005
13.99,583.4,418.63,-1.92,-1.55,0.3,289.262
13.99,583.4,418.63,-1.92,-1.55,0.3,299.226
13.99,583.4,418.63,-1.92,-1.55,0.3,310.223
13.99,583.4,418.63,-1.92,-1.55,0.3,319.224
13.99,583.4,418.63,-1.92,-1.55,0.3,329.221
13.99,583.4,418.63,-1.92,-1.55,0.3,339.22400000000005
13.99,583.4,418.63,-1.92,-1.55,0.3,349.257
13.99,583.4,418.63,-1.92,-1.55,0.3,362.22700000000003
13.99,583.4,418.63,-1.92,-1.55,0.3,369.379
13.99,583.4,418.63,-1.92,-1.55,0.3,379.379
13.99,583.4,418.63,-1.92,-1.55,0.3,389.27299999999997
13.99,583.4,418.63,-1.92,-1.55,0.3,399.218
13.99,583.4,418.63,-1.92,-1.55,0.3,410.36699999999996
13.99,583.4,418.63,-1.92,-1.55,0.3,419.332
13.99,583.4,418.63,-1.92,-1.55,0.3,429.36800000000005
13.99,583.4,418.63,-1.92,-1.55,0.3,439.38
13.99,583.4,418.63,-1.92,-1.55,0.3,449.26300000000003
13.99,583.4,418.63,-1.92,-1.55,0.3,459.228
13.99,583.4,418.63,-1.92,-1.55,0.3,469.383
13.99,583.4,418.63,-1.92,-1.55,0.3,479.27500000000003
13.99,583.4,418.63,-1.92,-1.55,0.3,489.319
13.99,583.4,418.63,-1.92,-1.55,0.3,499.22499999999997
13.99,583.4,418.63,-1.92,-1.55,0.3,510.228
13.99,583.4,418.63,-1.92,-1.55,0.3,519.261
13.99,583.4,418.63,-1.92,-1.55,0.3,529.3820000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,539.224
13.99,583.4,418.63,-1.92,-1.55,0.3,549.327
13.99,583.4,418.63,-1.92,-1.55,0.3,559.38
13.99,583.4,418.63,-1.92,-1.55,0.3,569.2700000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,579.268
13.99,583.4,418.63,-1.92,-1.55,0.3,589.2230000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,599.3380000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,610.3629999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,619.321
13.99,583.4,418.63,-1.92,-1.55,0.3,629.2280000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,639.224
13.99,583.4,418.63,-1.92,-1.55,0.3,649.273
13.99,583.4,418.63,-1.92,-1.55,0.3,662.322
13.99,583.4,418.63,-1.92,-1.55,0.3,669.3820000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,679.315
13.99,583.4,418.63,-1.92,-1.55,0.3,689.222
13.99,583.4,418.63,-1.92,-1.55,0.3,699.253
13.99,583.4,418.63,-1.92,-1.55,0.3,710.395
13.99,583.4,418.63,-1.92,-1.55,0.3,728.37
13.99,583.4,418.63,-1.92,-1.55,0.3,730.364
13.99,583.4,418.63,-1.92,-1.55,0.3,739.223
13.99,583.4,418.63,-1.92,-1.55,0.3,749.338
13.99,583.4,418.63,-1.92,-1.55,0.3,759.2959999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,769.368
13.99,583.4,418.63,-1.92,-1.55,0.3,779.224
13.99,583.4,418.63,-1.92,-1.55,0.3,789.218
13.99,583.4,418.63,-1.92,-1.55,0.3,799.354
13.99,583.4,418.63,-1.92,-1.55,0.3,810.28
13.99,583.4,418.63,-1.92,-1.55,0.3,819.299
13.99,583.4,418.63,-1.92,-1.55,0.3,829.407
13.99,583.4,418.63,-1.92,-1.55,0.3,839.2180000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,849.398
13.99,583.4,418.63,-1.92,-1.55,0.3,859.2180000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,869.228
13.99,583.4,418.63,-1.92,-1.55,0.3,878.25
13.99,583.4,418.63,-1.92,-1.55,0.3,889.2189999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,899.236
13.99,583.4,418.63,-1.92,-1.55,0.3,909.2529999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,919.2249999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,928.25
13.99,583.4,418.63,-1.92,-1.55,0.3,939.217
13.99,583.4,418.63,-1.92,-1.55,0.3,950.2199999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,975.2180000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,975.2180000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,982.22
13.99,583.4,418.63,-1.92,-1.55,0.3,989.2180000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,999.216
13.99,583.4,418.63,-1.92,-1.55,0.3,1010.216
13.99,583.4,418.63,-1.92,-1.55,0.3,1019.217
13.99,583.4,418.63,-1.92,-1.55,0.3,1029.249
13.99,583.4,418.63,-1.92,-1.55,0.3,1039.2259999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,1049.217
13.99,583.4,418.63,-1.92,-1.55,0.3,1059.2220000000002
13.99,583.4,418.63,-1.92,-1.55,0.3,1069.407
13.99,583.4,418.63,-1.92,-1.55,0.3,1079.3010000000002
13.99,583.4,418.63,-1.92,-1.55,0.3,1089.229
13.99,583.4,418.63,-1.92,-1.55,0.3,1099.285
13.99,583.4,418.63,-1.92,-1.55,0.3,1110.2350000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,1119.2150000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,1129.404
13.99,583.4,418.63,-1.92,-1.55,0.3,1139.222
13.99,583.4,418.63,-1.92,-1.55,0.3,1149.348
13.99,583.4,418.63,-1.92,-1.55,0.3,1159.3400000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,1169.2959999999998
13.99,583.4,418.63,-1.92,-1.55,0.3,1179.2540000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,1189.2169999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,1199.3480000000002
13.99,583.4,418.63,-1.92,-1.55,0.3,1210.372
13.99,583.4,418.63,-1.92,-1.55,0.3,1219.3639999999998
13.99,583.4,418.63,-1.92,-1.55,0.3,1229.402
13.99,583.4,418.63,-1.92,-1.55,0.3,1239.222
13.99,583.4,418.63,-1.92,-1.55,0.3,1249.4019999999998
13.99,583.4,418.63,-1.92,-1.55,0.3,1262.3899999999999
13.99,583.4,418.63,-1.92,-1.55,0.3,1269.2179999999998
13.99,583.4,418.63,-1.92,-1.55,0.3,1279.301
13.99,583.4,418.63,-1.92,-1.55,0.3,1289.217
13.99,583.4,418.63,-1.92,-1.55,0.3,1299.289
13.99,583.4,418.63,-1.92,-1.55,0.3,1310.3890000000001
13.99,583.4,418.63,-1.92,-1.55,0.3,1319.2710000000002
13.99,583.4,418.63,-1.92,-1.55,0.3,1329.34
13.99,583.4,418.63,-1.92,-1.55,0.3,1339.296
13.99,583.4,418.63,-1.92,-1.55,0.3,1349.23
13.99,583.4,418.63,-1.92,-1.55,0.3,1359.292
13.99,583.4,418.63,-1.92,-1.55,0.3,1369.403
13.99,583.4,418.63,-1.92,-1.55,0.3,1379.29
13.99,583.4,418.63,-1.92,-1.55,0.3,1389.389
13.99,583.4,418.63,-1.92,-1.55,0.3,1399.348
13.99,583.4,418.63,-1.92,-1.55,0.3,1410.251
13.98,583.4,418.63,-1.92,-1.55,0.3,1419.299
