F,G,time
"[-92.78, -3.42, -0.96]","[-0.55, -5.61, 0.71]",6.998
"[-92.52, -3.46, -0.88]","[-0.53, -5.61, 0.71]",35.007999999999996
"[-92.56, -3.48, -0.93]","[-0.53, -5.61, 0.71]",37.008
"[-92.59, -3.47, -0.95]","[-0.54, -5.61, 0.71]",42.006
"[-92.63, -3.4, -0.98]","[-0.53, -5.61, 0.71]",43.009
"[-92.84, -3.39, -1.02]","[-0.53, -5.6, 0.71]",66.008
"[-92.91, -3.41, -1.01]","[-0.53, -5.6, 0.71]",68.032
"[-92.98, -3.44, -0.96]","[-0.53, -5.59, 0.71]",73.102
"[-92.98, -3.42, -0.84]","[-0.53, -5.59, 0.71]",109.02499999999999
"[-93.01, -3.4, -0.85]","[-0.53, -5.59, 0.71]",114.00699999999999
"[-92.97, -3.38, -0.9]","[-0.53, -5.6, 0.71]",116.01
"[-92.96, -3.37, -0.91]","[-0.53, -5.6, 0.71]",118.02
"[-92.9, -3.37, -0.96]","[-0.52, -5.61, 0.71]",124.009
"[-92.79, -3.34, -1.0]","[-0.52, -5.61, 0.71]",133.009
"[-92.7, -3.36, -0.98]","[-0.52, -5.61, 0.71]",143.151
"[-92.61, -3.38, -0.93]","[-0.52, -5.61, 0.71]",153.15699999999998
"[-92.65, -3.4, -0.87]","[-0.53, -5.61, 0.71]",163.153
"[-92.71, -3.42, -0.89]","[-0.53, -5.61, 0.71]",173.019
"[-92.81, -3.4, -0.91]","[-0.53, -5.6, 0.71]",183.151
"[-92.89, -3.39, -0.95]","[-0.53, -5.6, 0.71]",193.156
"[-93.01, -3.37, -0.99]","[-0.53, -5.59, 0.71]",203.156
"[-92.99, -3.37, -0.98]","[-0.53, -5.59, 0.71]",213.147
"[-92.92, -3.39, -0.9]","[-0.53, -5.59, 0.71]",223.15699999999998
"[-92.89, -3.4, -0.86]","[-0.53, -5.59, 0.71]",233.019
"[-92.8, -3.4, -0.85]","[-0.52, -5.6, 0.7]",244.01600000000002
"[-92.79, -3.38, -0.89]","[-0.52, -5.6, 0.71]",253.04100000000003
"[-92.72, -3.39, -0.93]","[-0.52, -5.6, 0.71]",263.013
"[-92.7, -3.4, -0.97]","[-0.52, -5.61, 0.7]",273.152
"[-92.72, -3.37, -0.96]","[-0.52, -5.61, 0.71]",283.02500000000003
"[-92.71, -3.4, -0.93]","[-0.52, -5.61, 0.71]",293.094
"[-92.76, -3.43, -0.87]","[-0.51, -5.6, 0.71]",304.026
"[-92.78, -3.43, -0.83]","[-0.52, -5.6, 0.71]",313.149
"[-92.89, -3.42, -0.87]","[-0.52, -5.6, 0.7]",323.09
"[-92.91, -3.38, -0.9]","[-0.52, -5.59, 0.71]",333.02500000000003
"[-92.93, -3.37, -0.94]","[-0.52, -5.6, 0.7]",343.02500000000003
"[-92.91, -3.36, -0.92]","[-0.52, -5.59, 0.7]",352.153
"[-92.85, -3.37, -0.9]","[-0.52, -5.6, 0.7]",364.019
"[-92.79, -3.4, -0.88]","[-0.51, -5.6, 0.7]",376.15700000000004
"[-92.77, -3.41, -0.86]","[-0.52, -5.6, 0.7]",384.01099999999997
"[-92.76, -3.39, -0.87]","[-0.51, -5.6, 0.7]",394.01000000000005
"[-92.8, -3.43, -0.91]","[-0.52, -5.6, 0.7]",403.03499999999997
"[-92.82, -3.38, -0.91]","[-0.52, -5.6, 0.7]",413.01
"[-92.83, -3.41, -0.88]","[-0.51, -5.6, 0.7]",424.015
"[-92.88, -3.41, -0.85]","[-0.52, -5.59, 0.7]",433.026
"[-92.89, -3.42, -0.85]","[-0.52, -5.59, 0.7]",443.014
"[-92.89, -3.41, -0.83]","[-0.52, -5.6, 0.7]",453.15
"[-92.9, -3.42, -0.84]","[-0.52, -5.6, 0.7]",463.02500000000003
"[-92.89, -3.37, -0.83]","[-0.52, -5.6, 0.7]",472.157
"[-92.85, -3.39, -0.86]","[-0.51, -5.6, 0.7]",484.019
"[-92.83, -3.37, -0.88]","[-0.51, -5.6, 0.7]",499.01
"[-92.84, -3.38, -0.9]","[-0.51, -5.6, 0.7]",503.00500000000005
"[-92.82, -3.4, -0.88]","[-0.51, -5.6, 0.7]",513.014
"[-92.84, -3.37, -0.85]","[-0.51, -5.6, 0.7]",523.181
"[-92.88, -3.38, -0.84]","[-0.51, -5.6, 0.7]",532.1709999999999
"[-92.84, -3.38, -0.86]","[-0.51, -5.6, 0.7]",543.184
"[-92.88, -3.4, -0.88]","[-0.51, -5.6, 0.7]",553.176
"[-92.89, -3.4, -0.88]","[-0.51, -5.6, 0.7]",563.013
"[-92.89, -3.38, -0.88]","[-0.51, -5.6, 0.7]",573.191
"[-92.82, -3.39, -0.85]","[-0.51, -5.6, 0.7]",583.005
"[-92.86, -3.38, -0.85]","[-0.5, -5.6, 0.7]",592.159
"[-92.85, -3.36, -0.85]","[-0.5, -5.6, 0.7]",603.019
"[-92.78, -3.37, -0.86]","[-0.51, -5.6, 0.7]",612.0
"[-92.76, -3.38, -0.87]","[-0.51, -5.6, 0.7]",623.038
"[-92.79, -3.36, -0.86]","[-0.51, -5.6, 0.7]",633.167
"[-92.86, -3.4, -0.87]","[-0.51, -5.6, 0.7]",644.003
"[-92.82, -3.37, -0.86]","[-0.5, -5.6, 0.7]",652.172
"[-92.86, -3.38, -0.85]","[-0.51, -5.6, 0.7]",666.159
"[-92.85, -3.4, -0.84]","[-0.5, -5.6, 0.7]",673.1740000000001
"[-92.86, -3.39, -0.86]","[-0.51, -5.6, 0.7]",683.159
"[-92.85, -3.39, -0.85]","[-0.5, -5.6, 0.71]",693.005
"[-92.85, -3.39, -0.85]","[-0.5, -5.6, 0.71]",703.017
"[-92.83, -3.36, -0.86]","[-0.5, -5.6, 0.71]",712.0360000000001
"[-92.83, -3.34, -0.87]","[-0.5, -5.6, 0.71]",723.165
"[-92.78, -3.37, -0.86]","[-0.5, -5.6, 0.71]",733.1560000000001
"[-92.81, -3.33, -0.85]","[-0.5, -5.6, 0.71]",743.0369999999999
"[-92.81, -3.36, -0.87]","[-0.49, -5.59, 0.71]",753.186
"[-92.85, -3.34, -0.86]","[-0.5, -5.59, 0.71]",763.004
"[-92.9, -3.36, -0.85]","[-0.49, -5.59, 0.71]",773.0089999999999
"[-92.9, -3.37, -0.86]","[-0.49, -5.59, 0.71]",783.038
"[-92.92, -3.38, -0.87]","[-0.49, -5.59, 0.71]",793.159
"[-92.89, -3.37, -0.86]","[-0.49, -5.59, 0.71]",803.1850000000001
"[-92.89, -3.37, -0.86]","[-0.49, -5.59, 0.71]",813.002
"[-92.85, -3.37, -0.85]","[-0.49, -5.59, 0.71]",823.1840000000001
"[-92.87, -3.35, -0.87]","[-0.49, -5.6, 0.71]",833.009
"[-92.85, -3.36, -0.86]","[-0.49, -5.6, 0.71]",843.191
"[-92.82, -3.36, -0.86]","[-0.49, -5.6, 0.71]",853.165
"[-92.84, -3.35, -0.86]","[-0.49, -5.6, 0.71]",863.015
"[-92.87, -3.32, -0.83]","[-0.49, -5.59, 0.71]",873.186
"[-92.83, -3.34, -0.82]","[-0.49, -5.59, 0.71]",883.188
"[-92.87, -3.35, -0.84]","[-0.49, -5.6, 0.71]",893.0120000000001
"[-92.9, -3.34, -0.85]","[-0.49, -5.6, 0.71]",903.0160000000001
"[-92.9, -3.35, -0.86]","[-0.49, -5.6, 0.71]",913.154
"[-92.85, -3.36, -0.85]","[-0.49, -5.59, 0.71]",923.015
"[-92.86, -3.37, -0.84]","[-0.49, -5.6, 0.71]",933.174
"[-92.84, -3.35, -0.84]","[-0.49, -5.6, 0.71]",943.1850000000001
"[-92.85, -3.34, -0.85]","[-0.49, -5.6, 0.71]",955.0070000000001
"[-92.82, -3.36, -0.85]","[-0.49, -5.6, 0.71]",964.013
"[-92.83, -3.32, -0.84]","[-0.49, -5.59, 0.71]",973.1659999999999
"[-92.85, -3.32, -0.85]","[-0.49, -5.6, 0.71]",983.176
"[-92.83, -3.36, -0.86]","[-0.49, -5.59, 0.71]",993.1640000000001
"[-92.85, -3.31, -0.84]","[-0.48, -5.59, 0.71]",1003.0190000000001
"[-92.87, -3.37, -0.83]","[-0.49, -5.59, 0.71]",1012.0020000000001
"[-92.88, -3.36, -0.85]","[-0.48, -5.59, 0.71]",1032.008
"[-92.87, -3.32, -0.85]","[-0.49, -5.59, 0.71]",1034.0020000000002
"[-92.87, -3.33, -0.87]","[-0.48, -5.6, 0.71]",1044.008
"[-92.86, -3.32, -0.86]","[-0.48, -5.59, 0.71]",1053.164
