F,G,time
"[-92.65, -2.05, -0.37]","[0.02, -5.53, 0.94]",0.0
"[-92.71, -2.15, -0.34]","[0.01, -5.52, 0.94]",37.998999999999995
"[-93.14, -2.25, -0.15]","[0.0, -5.5, 0.94]",41.0
"[-93.16, -2.26, -0.14]","[0.0, -5.5, 0.94]",41.997
"[-93.21, -2.29, -0.14]","[0.0, -5.5, 0.94]",43.997
"[-93.29, -2.26, -0.14]","[0.0, -5.5, 0.94]",47.997
"[-93.42, -2.3, -0.14]","[-0.01, -5.5, 0.94]",57.997
"[-93.48, -2.26, -0.14]","[-0.01, -5.5, 0.94]",69.001
"[-93.45, -2.25, -0.14]","[-0.02, -5.51, 0.94]",78.097
"[-93.3, -2.25, -0.09]","[-0.02, -5.51, 0.94]",88.051
"[-93.16, -2.18, -0.09]","[-0.02, -5.52, 0.94]",99.333
"[-92.99, -2.19, -0.13]","[-0.03, -5.51, 0.94]",109.25999999999999
"[-92.88, -2.17, -0.21]","[-0.03, -5.52, 0.94]",118.225
"[-92.81, -2.2, -0.28]","[-0.03, -5.51, 0.94]",128.331
"[-92.77, -2.23, -0.3]","[-0.03, -5.51, 0.94]",139.247
"[-92.86, -2.24, -0.3]","[-0.03, -5.51, 0.94]",149.21
"[-93.0, -2.27, -0.24]","[-0.03, -5.5, 0.94]",161.359
"[-93.12, -2.23, -0.17]","[-0.03, -5.49, 0.94]",169.209
"[-93.25, -2.29, -0.1]","[-0.03, -5.49, 0.94]",179.208
"[-93.32, -2.28, -0.12]","[-0.03, -5.48, 0.95]",189.222
"[-93.37, -2.31, -0.14]","[-0.03, -5.49, 0.94]",199.335
"[-93.34, -2.28, -0.15]","[-0.04, -5.49, 0.94]",209.209
"[-93.28, -2.28, -0.16]","[-0.04, -5.49, 0.94]",219.273
"[-93.14, -2.26, -0.19]","[-0.04, -5.5, 0.94]",229.22799999999998
"[-93.02, -2.24, -0.21]","[-0.05, -5.5, 0.94]",238.375
"[-92.93, -2.24, -0.2]","[-0.04, -5.5, 0.94]",248.379
"[-92.9, -2.22, -0.23]","[-0.05, -5.5, 0.94]",259.213
"[-92.94, -2.25, -0.27]","[-0.05, -5.5, 0.94]",269.209
"[-92.96, -2.27, -0.27]","[-0.05, -5.5, 0.94]",279.209
"[-93.06, -2.31, -0.26]","[-0.05, -5.49, 0.94]",289.209
"[-93.16, -2.33, -0.23]","[-0.04, -5.49, 0.94]",299.367
"[-93.25, -2.3, -0.21]","[-0.04, -5.49, 0.95]",309.21
"[-93.32, -2.28, -0.17]","[-0.04, -5.49, 0.94]",319.209
"[-93.32, -2.31, -0.14]","[-0.04, -5.48, 0.94]",329.20899999999995
"[-93.29, -2.3, -0.15]","[-0.04, -5.48, 0.94]",339.214
"[-93.2, -2.29, -0.17]","[-0.05, -5.49, 0.94]",349.209
"[-93.16, -2.28, -0.2]","[-0.05, -5.49, 0.94]",358.54999999999995
"[-93.04, -2.24, -0.23]","[-0.05, -5.49, 0.94]",368.36400000000003
"[-93.0, -2.3, -0.23]","[-0.05, -5.49, 0.94]",378.517
"[-93.0, -2.27, -0.23]","[-0.05, -5.5, 0.94]",388.53900000000004
"[-92.99, -2.26, -0.22]","[-0.05, -5.5, 0.94]",399.363
"[-93.03, -2.27, -0.17]","[-0.05, -5.49, 0.94]",408.541
"[-93.11, -2.29, -0.18]","[-0.05, -5.49, 0.94]",418.94
"[-93.16, -2.3, -0.21]","[-0.05, -5.49, 0.94]",429.51099999999997
"[-93.23, -2.27, -0.21]","[-0.05, -5.49, 0.94]",440.53700000000003
"[-93.23, -2.29, -0.2]","[-0.05, -5.49, 0.94]",448.359
"[-93.2, -2.33, -0.16]","[-0.05, -5.48, 0.94]",458.543
"[-93.19, -2.31, -0.15]","[-0.05, -5.48, 0.94]",468.364
"[-93.14, -2.24, -0.16]","[-0.05, -5.49, 0.94]",478.539
"[-93.1, -2.27, -0.18]","[-0.06, -5.49, 0.94]",488.365
"[-93.1, -2.27, -0.2]","[-0.06, -5.49, 0.94]",499.363
"[-93.06, -2.25, -0.21]","[-0.06, -5.49, 0.94]",508.36499999999995
"[-93.06, -2.23, -0.2]","[-0.06, -5.49, 0.94]",520.361
"[-93.1, -2.3, -0.18]","[-0.06, -5.49, 0.94]",528.38
"[-93.12, -2.29, -0.16]","[-0.06, -5.49, 0.94]",538.5640000000001
"[-93.15, -2.28, -0.15]","[-0.05, -5.49, 0.94]",548.378
"[-93.19, -2.31, -0.16]","[-0.05, -5.48, 0.94]",558.5400000000001
"[-93.23, -2.29, -0.18]","[-0.05, -5.48, 0.94]",568.399
"[-93.19, -2.29, -0.17]","[-0.06, -5.48, 0.94]",578.542
"[-93.19, -2.29, -0.18]","[-0.06, -5.48, 0.94]",588.554
"[-93.15, -2.27, -0.17]","[-0.06, -5.49, 0.94]",599.361
"[-93.11, -2.29, -0.18]","[-0.06, -5.48, 0.94]",608.555
"[-93.1, -2.29, -0.2]","[-0.06, -5.49, 0.94]",618.396
"[-93.09, -2.29, -0.2]","[-0.06, -5.49, 0.94]",628.555
"[-93.09, -2.26, -0.21]","[-0.06, -5.49, 0.94]",638.3720000000001
"[-93.09, -2.28, -0.2]","[-0.06, -5.49, 0.94]",648.553
"[-93.16, -2.26, -0.21]","[-0.06, -5.49, 0.94]",658.5530000000001
"[-93.17, -2.28, -0.2]","[-0.06, -5.48, 0.94]",668.3860000000001
"[-93.18, -2.3, -0.18]","[-0.06, -5.48, 0.94]",678.5600000000001
"[-93.19, -2.3, -0.18]","[-0.06, -5.48, 0.95]",688.376
"[-93.17, -2.31, -0.18]","[-0.05, -5.48, 0.95]",699.5310000000001
"[-93.16, -2.3, -0.17]","[-0.06, -5.48, 0.94]",708.384
"[-93.15, -2.3, -0.2]","[-0.06, -5.48, 0.94]",718.3580000000001
"[-93.09, -2.31, -0.19]","[-0.07, -5.48, 0.94]",730.364
"[-93.08, -2.28, -0.2]","[-0.07, -5.48, 0.94]",739.3720000000001
"[-93.08, -2.28, -0.2]","[-0.07, -5.49, 0.94]",748.364
"[-93.11, -2.29, -0.2]","[-0.07, -5.48, 0.94]",758.561
"[-93.1, -2.25, -0.19]","[-0.06, -5.48, 0.94]",768.363
"[-93.14, -2.28, -0.21]","[-0.07, -5.48, 0.94]",779.362
"[-93.18, -2.28, -0.21]","[-0.07, -5.48, 0.94]",788.366
"[-93.16, -2.31, -0.2]","[-0.06, -5.48, 0.94]",799.394
"[-93.19, -2.32, -0.19]","[-0.06, -5.48, 0.94]",818.3629999999999
"[-93.18, -2.31, -0.17]","[-0.06, -5.48, 0.94]",820.557
