F,G,time
"[-93.53, -3.88, -0.78]","[-0.74, -5.44, 0.64]",9.001999999999999
"[-93.61, -3.91, -0.65]","[-0.74, -5.44, 0.64]",18.023
"[-93.61, -3.9, -0.58]","[-0.74, -5.44, 0.64]",26.018
"[-93.53, -3.91, -0.62]","[-0.74, -5.44, 0.64]",35.006
"[-93.41, -3.88, -0.74]","[-0.74, -5.44, 0.64]",45.0
"[-93.3, -3.85, -0.85]","[-0.74, -5.44, 0.64]",55.059
"[-93.2, -3.87, -0.89]","[-0.73, -5.44, 0.64]",66.06099999999999
"[-93.15, -3.9, -0.86]","[-0.74, -5.44, 0.64]",75.02300000000001
"[-93.21, -3.89, -0.78]","[-0.74, -5.43, 0.64]",85.06400000000001
"[-93.24, -3.95, -0.71]","[-0.74, -5.43, 0.64]",96.006
"[-93.38, -3.93, -0.69]","[-0.73, -5.43, 0.64]",105.061
"[-93.49, -3.9, -0.72]","[-0.73, -5.43, 0.64]",116.02600000000001
"[-93.57, -3.88, -0.77]","[-0.73, -5.43, 0.64]",126.04799999999999
"[-93.59, -3.84, -0.77]","[-0.73, -5.44, 0.64]",135.00300000000001
"[-93.41, -3.83, -0.69]","[-0.72, -5.43, 0.64]",164.069
"[-93.38, -3.84, -0.69]","[-0.72, -5.43, 0.64]",166.06799999999998
"[-93.36, -3.84, -0.7]","[-0.72, -5.43, 0.64]",168.066
"[-93.22, -3.83, -0.8]","[-0.72, -5.43, 0.64]",205.042
"[-93.3, -3.82, -0.81]","[-0.72, -5.43, 0.64]",207.048
"[-93.26, -3.85, -0.79]","[-0.72, -5.43, 0.64]",209.041
"[-93.29, -3.83, -0.79]","[-0.72, -5.43, 0.64]",211.041
"[-93.33, -3.84, -0.78]","[-0.72, -5.43, 0.64]",215.038
"[-93.44, -3.85, -0.72]","[-0.72, -5.42, 0.65]",226.03599999999997
"[-93.52, -3.84, -0.66]","[-0.72, -5.42, 0.65]",258.17
"[-93.52, -3.84, -0.66]","[-0.72, -5.42, 0.65]",260.12
"[-93.51, -3.83, -0.68]","[-0.72, -5.43, 0.65]",261.161
"[-93.52, -3.82, -0.68]","[-0.72, -5.43, 0.65]",301.161
"[-93.25, -3.81, -0.8]","[-0.71, -5.43, 0.65]",303.159
"[-93.26, -3.8, -0.8]","[-0.71, -5.43, 0.65]",305.15799999999996
"[-93.29, -3.81, -0.8]","[-0.71, -5.43, 0.64]",307.151
"[-93.27, -3.78, -0.78]","[-0.71, -5.43, 0.65]",312.156
"[-93.29, -3.83, -0.79]","[-0.71, -5.43, 0.65]",315.16499999999996
"[-93.32, -3.86, -0.76]","[-0.71, -5.42, 0.65]",325.161
"[-93.44, -3.88, -0.76]","[-0.71, -5.43, 0.65]",343.161
"[-93.45, -3.82, -0.75]","[-0.71, -5.42, 0.65]",345.161
"[-93.48, -3.83, -0.75]","[-0.71, -5.43, 0.65]",357.145
"[-93.51, -3.84, -0.74]","[-0.71, -5.43, 0.65]",366.12
"[-93.51, -3.82, -0.71]","[-0.71, -5.42, 0.65]",375.161
"[-93.45, -3.81, -0.68]","[-0.71, -5.42, 0.64]",385.159
"[-93.41, -3.79, -0.7]","[-0.71, -5.42, 0.65]",395.161
"[-93.39, -3.81, -0.75]","[-0.7, -5.43, 0.65]",405.157
"[-93.37, -3.82, -0.8]","[-0.7, -5.43, 0.65]",415.163
"[-93.34, -3.8, -0.78]","[-0.7, -5.43, 0.65]",426.162
"[-93.36, -3.8, -0.76]","[-0.7, -5.43, 0.65]",435.272
"[-93.36, -3.8, -0.72]","[-0.71, -5.42, 0.65]",445.272
"[-93.44, -3.81, -0.71]","[-0.7, -5.42, 0.65]",455.258
"[-93.46, -3.82, -0.69]","[-0.7, -5.42, 0.65]",465.275
"[-93.46, -3.83, -0.71]","[-0.7, -5.42, 0.65]",475.255
"[-93.48, -3.82, -0.73]","[-0.7, -5.42, 0.65]",486.18699999999995
"[-93.5, -3.8, -0.74]","[-0.7, -5.43, 0.65]",495.274
"[-93.47, -3.81, -0.7]","[-0.7, -5.42, 0.65]",505.157
"[-93.4, -3.76, -0.7]","[-0.7, -5.42, 0.65]",516.123
"[-93.36, -3.8, -0.72]","[-0.7, -5.42, 0.65]",525.128
"[-93.38, -3.78, -0.75]","[-0.7, -5.42, 0.65]",535.269
"[-93.39, -3.78, -0.76]","[-0.7, -5.42, 0.65]",546.183
"[-93.38, -3.79, -0.74]","[-0.69, -5.42, 0.65]",555.2669999999999
"[-93.46, -3.82, -0.72]","[-0.69, -5.42, 0.65]",573.124
"[-93.47, -3.78, -0.72]","[-0.69, -5.42, 0.65]",576.1619999999999
"[-93.46, -3.81, -0.72]","[-0.69, -5.42, 0.65]",589.118
"[-93.41, -3.79, -0.72]","[-0.69, -5.42, 0.65]",595.273
"[-93.42, -3.8, -0.72]","[-0.69, -5.42, 0.65]",607.1220000000001
"[-93.44, -3.77, -0.71]","[-0.69, -5.42, 0.65]",616.263
"[-93.39, -3.8, -0.71]","[-0.69, -5.42, 0.65]",625.1179999999999
"[-93.38, -3.79, -0.73]","[-0.69, -5.42, 0.65]",635.1179999999999
"[-93.39, -3.78, -0.74]","[-0.69, -5.42, 0.65]",645.263
"[-93.39, -3.79, -0.74]","[-0.69, -5.42, 0.65]",655.277
"[-93.42, -3.8, -0.73]","[-0.69, -5.42, 0.65]",666.166
"[-93.42, -3.78, -0.71]","[-0.69, -5.42, 0.65]",675.129
"[-93.43, -3.79, -0.71]","[-0.69, -5.42, 0.65]",685.272
"[-93.43, -3.8, -0.7]","[-0.69, -5.42, 0.65]",695.264
"[-93.42, -3.8, -0.7]","[-0.69, -5.42, 0.65]",705.264
"[-93.39, -3.79, -0.72]","[-0.69, -5.42, 0.65]",715.264
"[-93.38, -3.78, -0.71]","[-0.69, -5.42, 0.65]",726.146
"[-93.4, -3.76, -0.71]","[-0.69, -5.42, 0.65]",736.1999999999999
"[-93.4, -3.74, -0.69]","[-0.69, -5.42, 0.65]",745.259
