time,depth,torque,angle,angle_velocity,angle_acceleration
0.009965,47.11111068725586,-1.1756426095962524,-3967.446044921875,0.0,-171.661376953125
0.023025,47.13888931274414,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.035025,47.10416793823242,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,-257.4920654296875
0.047024,47.125,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.05998,47.125,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.079968,47.10416793823242,-1.1756426095962524,-3967.446044921875,0.0858306884765625,171.661376953125
0.111999,47.13888931274414,-1.1756426095962524,-3967.446044921875,0.0,85.8306884765625
0.124001,47.11111068725586,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.135963,47.14583206176758,-1.1756426095962524,-3967.446044921875,0.0858306884765625,257.4920654296875
0.148002,47.09027862548828,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.159965,47.14583206176758,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,0.0
0.171999,47.13888931274414,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.184003,47.06944274902344,-1.1756426095962524,-3967.446044921875,-0.171661376953125,85.8306884765625
0.196002,47.09027862548828,-1.1756426095962524,-3967.446044921875,0.0858306884765625,0.0
0.208,47.04861068725586,-1.1756426095962524,-3967.446044921875,-0.171661376953125,-85.8306884765625
0.219966,47.05555725097656,-1.1756426095962524,-3967.446044921875,0.0858306884765625,-85.8306884765625
0.232002,47.13888931274414,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.244002,47.125,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.255998,47.125,-1.1756426095962524,-3967.446044921875,0.0,-171.661376953125
0.267983,47.10416793823242,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.280023,47.11111068725586,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.292034,47.07638931274414,-1.1756426095962524,-3967.446044921875,0.0858306884765625,-85.8306884765625
0.30403,47.07638931274414,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.316014,47.11805725097656,-1.1756426095962524,-3967.446044921875,0.0,257.4920654296875
0.327968,47.10416793823242,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,0.0
0.340012,47.125,-1.1756426095962524,-3967.446044921875,0.0,85.8306884765625
0.352016,47.125,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,171.661376953125
0.364018,47.09027862548828,-1.1756426095962524,-3967.446044921875,0.171661376953125,257.4920654296875
0.375972,47.13888931274414,-1.1756426095962524,-3967.446044921875,0.0,-257.4920654296875
0.388006,47.06944274902344,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,-85.8306884765625
0.400081,47.05555725097656,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,0.0
0.412083,47.13888931274414,-1.1756426095962524,-3967.446044921875,0.0,85.8306884765625
0.424081,47.05555725097656,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,0.0
0.436081,47.11805725097656,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,85.8306884765625
0.448081,47.10416793823242,-1.1756426095962524,-3967.446044921875,0.0858306884765625,85.8306884765625
0.460083,47.10416793823242,-1.1756426095962524,-3967.446044921875,0.0858306884765625,171.661376953125
0.472081,47.14583206176758,-1.1756426095962524,-3967.446044921875,0.0,171.661376953125
0.484081,47.11111068725586,-1.1756426095962524,-3967.446044921875,0.0,-171.661376953125
0.496085,47.11805725097656,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.508078,47.11805725097656,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,0.0
0.520257,47.05555725097656,-1.1756426095962524,-3967.446044921875,0.0,85.8306884765625
0.532258,47.06944274902344,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.544093,47.05555725097656,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,-171.661376953125
0.556247,47.09027862548828,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,0.0
0.56824,47.11111068725586,-1.1756426095962524,-3967.446044921875,0.0858306884765625,85.8306884765625
0.580257,47.08333206176758,-1.1756426095962524,-3967.446044921875,0.0858306884765625,0.0
0.59218,47.15277862548828,-1.1756426095962524,-3967.446044921875,0.0858306884765625,85.8306884765625
0.60426,47.125,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.616239,47.125,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.628112,47.11805725097656,-1.1756426095962524,-3967.446044921875,0.0858306884765625,0.0
0.64025,47.11111068725586,-1.1756426095962524,-3967.446044921875,0.0858306884765625,0.0
0.652256,47.09027862548828,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,0.0
0.66425,47.15277862548828,-1.1756426095962524,-3967.446044921875,0.0,85.8306884765625
0.676131,47.11805725097656,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.688246,47.11805725097656,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,85.8306884765625
0.700244,47.125,-1.1756426095962524,-3967.446044921875,0.0858306884765625,-257.4920654296875
0.712258,47.08333206176758,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.724257,47.10416793823242,-1.1756426095962524,-3967.446044921875,-0.0858306884765625,-85.8306884765625
0.736251,47.11805725097656,-1.1756426095962524,-3967.446044921875,0.0858306884765625,-171.661376953125
0.748244,47.11111068725586,-1.1756426095962524,-3967.446044921875,0.0,171.661376953125
0.760093,47.10416793823242,-1.1756426095962524,-3967.446044921875,0.0,0.0
0.772248,47.06944274902344,-1.1756426095962524,-3967.446044921875,0.0,0.0
