X,Y,Z,A,B,C,time
171.15,600.81,419.75,-1.92,-1.55,0.29,8.002
171.15,600.81,419.75,-1.92,-1.55,0.29,13.037
171.15,600.81,419.75,-1.92,-1.55,0.29,23.012999999999998
171.15,600.81,419.75,-1.92,-1.55,0.29,32.036
171.15,600.81,419.75,-1.92,-1.55,0.29,42.039
171.15,600.81,419.75,-1.92,-1.55,0.29,52.03
171.15,600.81,419.75,-1.92,-1.55,0.29,61.992
171.15,600.81,419.75,-1.92,-1.55,0.29,72.02699999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,82.026
171.15,600.81,419.75,-1.92,-1.55,0.29,91.97800000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,102.025
171.15,600.81,419.75,-1.92,-1.55,0.29,111.99199999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,121.979
171.15,600.81,419.75,-1.92,-1.55,0.29,134.026
171.15,600.81,419.75,-1.92,-1.55,0.29,151.006
171.15,600.81,419.75,-1.92,-1.55,0.29,155.005
171.15,600.81,419.75,-1.92,-1.55,0.29,164.009
171.15,600.81,419.75,-1.92,-1.55,0.29,173.00199999999998
171.15,600.81,419.75,-1.92,-1.55,0.29,181.993
171.15,600.81,419.75,-1.92,-1.55,0.29,192.967
171.15,600.81,419.75,-1.92,-1.55,0.29,202.96900000000002
171.15,600.81,419.75,-1.92,-1.55,0.29,214.994
171.15,600.81,419.75,-1.92,-1.55,0.29,222.023
171.15,600.81,419.75,-1.92,-1.55,0.29,231.973
171.15,600.81,419.75,-1.92,-1.55,0.29,249.98999999999998
171.15,600.81,419.75,-1.92,-1.55,0.29,252.008
171.15,600.81,419.75,-1.92,-1.55,0.29,271.97700000000003
171.15,600.81,419.75,-1.92,-1.55,0.29,273.96999999999997
171.15,600.81,419.75,-1.92,-1.55,0.29,281.99
171.15,600.81,419.75,-1.92,-1.55,0.29,292.115
171.15,600.81,419.75,-1.92,-1.55,0.29,302.121
171.15,600.81,419.75,-1.92,-1.55,0.29,312.131
171.15,600.81,419.75,-1.92,-1.55,0.29,322.115
171.15,600.81,419.75,-1.92,-1.55,0.29,332.975
171.15,600.81,419.75,-1.92,-1.55,0.29,342.125
171.15,600.81,419.75,-1.92,-1.55,0.29,352.11199999999997
171.15,600.81,419.75,-1.92,-1.55,0.29,362.06100000000004
171.15,600.81,419.75,-1.92,-1.55,0.29,372.121
171.15,600.81,419.75,-1.92,-1.55,0.29,382.122
171.15,600.81,419.75,-1.92,-1.55,0.29,392.118
171.15,600.81,419.75,-1.92,-1.55,0.29,401.968
171.15,600.81,419.75,-1.92,-1.55,0.29,411.978
171.15,600.81,419.75,-1.92,-1.55,0.29,422.968
171.15,600.81,419.75,-1.92,-1.55,0.29,432.967
171.15,600.81,419.75,-1.92,-1.55,0.29,442.003
171.15,600.81,419.75,-1.92,-1.55,0.29,451.96599999999995
171.15,600.81,419.75,-1.92,-1.55,0.29,462.001
171.15,600.81,419.75,-1.92,-1.55,0.29,472.001
171.15,600.81,419.75,-1.92,-1.55,0.29,482.007
171.15,600.81,419.75,-1.92,-1.55,0.29,495.0
171.15,600.81,419.75,-1.92,-1.55,0.29,502.96799999999996
171.15,600.81,419.75,-1.92,-1.55,0.29,511.97099999999995
171.15,600.81,419.75,-1.92,-1.55,0.29,522.0
171.15,600.81,419.75,-1.92,-1.55,0.29,532.003
171.15,600.81,419.75,-1.92,-1.55,0.29,542.001
171.15,600.81,419.75,-1.92,-1.55,0.29,562.002
171.15,600.81,419.75,-1.92,-1.55,0.29,562.981
171.15,600.81,419.75,-1.92,-1.55,0.29,571.964
171.15,600.81,419.75,-1.92,-1.55,0.29,581.966
171.15,600.81,419.75,-1.92,-1.55,0.29,591.9649999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,601.964
171.15,600.81,419.75,-1.92,-1.55,0.29,611.9639999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,622.0
171.15,600.81,419.75,-1.92,-1.55,0.29,632.092
171.15,600.81,419.75,-1.92,-1.55,0.29,642.083
171.15,600.81,419.75,-1.92,-1.55,0.29,652.969
171.15,600.81,419.75,-1.92,-1.55,0.29,661.966
171.15,600.81,419.75,-1.92,-1.55,0.29,672.091
171.15,600.81,419.75,-1.92,-1.55,0.29,682.1469999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,691.988
171.15,600.81,419.75,-1.92,-1.55,0.29,702.153
171.15,600.81,419.75,-1.92,-1.55,0.29,711.9799999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,722.1379999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,733.024
171.15,600.81,419.75,-1.92,-1.55,0.29,742.134
171.15,600.81,419.75,-1.92,-1.55,0.29,752.1320000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,762.018
171.15,600.81,419.75,-1.92,-1.55,0.29,775.089
171.15,600.81,419.75,-1.92,-1.55,0.29,781.9730000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,792.132
171.15,600.81,419.75,-1.92,-1.55,0.29,802.003
171.15,600.81,419.75,-1.92,-1.55,0.29,813.0110000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,822.131
171.15,600.81,419.75,-1.92,-1.55,0.29,832.1370000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,842.121
171.15,600.81,419.75,-1.92,-1.55,0.29,852.144
171.15,600.81,419.75,-1.92,-1.55,0.29,863.009
171.15,600.81,419.75,-1.92,-1.55,0.29,872.1320000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,881.976
171.15,600.81,419.75,-1.92,-1.55,0.29,891.971
171.15,600.81,419.75,-1.92,-1.55,0.29,902.126
171.15,600.81,419.75,-1.92,-1.55,0.29,911.9789999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,922.129
171.15,600.81,419.75,-1.92,-1.55,0.29,931.971
171.15,600.81,419.75,-1.92,-1.55,0.29,941.967
171.15,600.81,419.75,-1.92,-1.55,0.29,951.978
171.15,600.81,419.75,-1.92,-1.55,0.29,962.018
171.15,600.81,419.75,-1.92,-1.55,0.29,973.029
171.15,600.81,419.75,-1.92,-1.55,0.29,981.9639999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,991.965
171.15,600.81,419.75,-1.92,-1.55,0.29,1002.0219999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,1011.975
171.15,600.81,419.75,-1.92,-1.55,0.29,1021.9789999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,1032.1419999999998
171.15,600.81,419.75,-1.92,-1.55,0.29,1042.141
171.15,600.81,419.75,-1.92,-1.55,0.29,1053.982
171.15,600.81,419.75,-1.92,-1.55,0.29,1062.027
171.15,600.81,419.75,-1.92,-1.55,0.29,1072.146
171.15,600.81,419.75,-1.92,-1.55,0.29,1082.145
171.15,600.81,419.75,-1.92,-1.55,0.29,1093.966
171.15,600.81,419.75,-1.92,-1.55,0.29,1103.0249999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,1111.968
171.15,600.81,419.75,-1.92,-1.55,0.29,1122.97
171.15,600.81,419.75,-1.92,-1.55,0.29,1133.027
171.15,600.81,419.75,-1.92,-1.55,0.29,1142.136
171.15,600.81,419.75,-1.92,-1.55,0.29,1151.983
171.15,600.81,419.75,-1.92,-1.55,0.29,1163.014
171.15,600.81,419.75,-1.92,-1.55,0.29,1171.97
171.15,600.81,419.75,-1.92,-1.55,0.29,1181.9850000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,1192.127
171.15,600.81,419.75,-1.92,-1.55,0.29,1202.123
171.15,600.81,419.75,-1.92,-1.55,0.29,1212.983
171.15,600.81,419.75,-1.92,-1.55,0.29,1222.0279999999998
171.15,600.81,419.75,-1.92,-1.55,0.29,1231.971
171.15,600.81,419.75,-1.92,-1.55,0.29,1242.0059999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,1251.969
171.15,600.81,419.75,-1.92,-1.55,0.29,1262.0059999999999
171.15,600.81,419.75,-1.92,-1.55,0.29,1271.9689999999998
171.15,600.81,419.75,-1.92,-1.55,0.29,1282.01
171.15,600.81,419.75,-1.92,-1.55,0.29,1291.97
171.15,600.81,419.75,-1.92,-1.55,0.29,1302.004
171.15,600.81,419.75,-1.92,-1.55,0.29,1311.966
171.15,600.81,419.75,-1.92,-1.55,0.29,1322.009
171.15,600.81,419.75,-1.92,-1.55,0.29,1335.0040000000001
171.15,600.81,419.75,-1.92,-1.55,0.29,1341.969
171.15,600.81,419.75,-1.92,-1.55,0.29,1351.9699999999998
171.15,600.81,419.75,-1.92,-1.55,0.29,1362.009
171.15,600.81,419.75,-1.92,-1.55,0.29,1372.967
171.15,600.81,419.75,-1.92,-1.55,0.29,1382.009
171.15,600.81,419.75,-1.92,-1.55,0.29,1392.967
171.15,600.81,419.75,-1.92,-1.55,0.29,1402.0079999999998
