F,G,time
"[-91.73, -2.23, -0.57]","[-0.34, -5.73, 1.09]",6.002999999999999
"[-91.58, -2.29, -0.57]","[-0.32, -5.72, 1.09]",6.002999999999999
"[-91.39, -2.36, -0.53]","[-0.31, -5.72, 1.09]",13.998999999999999
"[-91.18, -2.4, -0.52]","[-0.29, -5.72, 1.09]",23.999
"[-91.04, -2.42, -0.58]","[-0.28, -5.72, 1.09]",34.999
"[-90.98, -2.34, -0.67]","[-0.27, -5.72, 1.09]",43.999
"[-91.0, -2.21, -0.72]","[-0.27, -5.71, 1.09]",53.998999999999995
"[-91.09, -2.15, -0.71]","[-0.27, -5.71, 1.09]",63.999
"[-91.22, -2.12, -0.59]","[-0.27, -5.7, 1.09]",73.999
"[-91.35, -2.15, -0.43]","[-0.28, -5.69, 1.09]",84.001
"[-91.53, -2.13, -0.28]","[-0.28, -5.68, 1.1]",95.058
"[-91.65, -2.11, -0.25]","[-0.29, -5.68, 1.1]",104.03999999999999
"[-91.68, -2.12, -0.29]","[-0.29, -5.68, 1.1]",115.01599999999999
"[-91.41, -2.09, -0.57]","[-0.27, -5.69, 1.1]",140.058
"[-91.41, -2.12, -0.58]","[-0.27, -5.69, 1.1]",143.057
"[-91.35, -2.13, -0.58]","[-0.27, -5.7, 1.1]",145.01600000000002
"[-91.11, -2.27, -0.57]","[-0.26, -5.7, 1.1]",184.046
"[-91.13, -2.24, -0.59]","[-0.26, -5.7, 1.09]",187.04100000000003
"[-91.12, -2.27, -0.6]","[-0.25, -5.7, 1.09]",189.008
"[-91.15, -2.24, -0.59]","[-0.25, -5.7, 1.09]",191.00400000000002
"[-91.2, -2.22, -0.6]","[-0.25, -5.69, 1.09]",194.047
"[-91.31, -2.16, -0.58]","[-0.26, -5.69, 1.09]",205.041
"[-91.46, -2.14, -0.51]","[-0.26, -5.68, 1.09]",218.04399999999998
"[-91.56, -2.17, -0.44]","[-0.27, -5.67, 1.09]",225.008
"[-91.6, -2.16, -0.38]","[-0.27, -5.67, 1.1]",235.046
"[-91.63, -2.12, -0.34]","[-0.26, -5.67, 1.09]",244.037
"[-91.6, -2.1, -0.38]","[-0.26, -5.67, 1.09]",254.05100000000002
"[-91.51, -2.07, -0.5]","[-0.25, -5.68, 1.09]",264.049
"[-91.4, -2.07, -0.57]","[-0.25, -5.69, 1.09]",275.037
"[-91.27, -2.12, -0.59]","[-0.24, -5.69, 1.09]",284.043
