F,G,time
"[-93.27, -0.9, 0.51]","[0.09, -5.8, 1.07]",5.001
"[-93.34, -0.96, 0.58]","[0.1, -5.8, 1.08]",10.021
"[-93.32, -0.99, 0.62]","[0.09, -5.81, 1.07]",15.024
"[-93.24, -1.02, 0.53]","[0.09, -5.81, 1.07]",25.963
"[-93.05, -1.05, 0.41]","[0.07, -5.8, 1.07]",35.022
"[-92.84, -0.99, 0.33]","[0.07, -5.79, 1.06]",44.973
"[-92.63, -0.95, 0.27]","[0.05, -5.79, 1.05]",55.973
"[-92.41, -0.94, 0.1]","[0.05, -5.79, 1.05]",71.994
"[-92.65, -0.9, 0.14]","[0.05, -5.77, 1.05]",105.01299999999999
"[-92.69, -0.9, 0.15]","[0.05, -5.77, 1.05]",107.011
"[-92.72, -0.9, 0.17]","[0.05, -5.77, 1.05]",108.966
"[-92.73, -0.9, 0.18]","[0.05, -5.77, 1.05]",111.004
"[-92.81, -0.88, 0.21]","[0.06, -5.77, 1.05]",115.00399999999999
"[-93.02, -0.92, 0.35]","[0.07, -5.77, 1.05]",125.02099999999999
"[-93.18, -0.95, 0.44]","[0.08, -5.77, 1.06]",135.02
"[-93.31, -0.96, 0.5]","[0.08, -5.77, 1.06]",152.004
"[-93.32, -0.96, 0.51]","[0.08, -5.77, 1.06]",155.00300000000001
"[-93.26, -0.96, 0.52]","[0.08, -5.78, 1.06]",165.023
"[-93.17, -0.97, 0.45]","[0.07, -5.78, 1.06]",175.02200000000002
"[-92.99, -0.97, 0.35]","[0.06, -5.78, 1.06]",184.969
"[-92.79, -0.98, 0.3]","[0.06, -5.78, 1.05]",194.963
"[-92.59, -0.95, 0.17]","[0.04, -5.77, 1.05]",210.018
"[-92.58, -0.97, 0.15]","[0.04, -5.78, 1.05]",215.01999999999998
"[-92.55, -0.95, 0.09]","[0.04, -5.78, 1.05]",228.02100000000002
"[-92.53, -0.96, 0.1]","[0.04, -5.78, 1.05]",235.02
"[-92.59, -0.94, 0.18]","[0.05, -5.77, 1.05]",245.004
"[-92.72, -0.9, 0.23]","[0.05, -5.77, 1.05]",255.01000000000002
"[-92.88, -0.92, 0.29]","[0.06, -5.77, 1.05]",265.01599999999996
"[-93.05, -0.97, 0.38]","[0.07, -5.77, 1.06]",275.01399999999995
"[-93.17, -0.95, 0.43]","[0.07, -5.77, 1.06]",285.009
"[-93.26, -0.96, 0.47]","[0.08, -5.77, 1.06]",295.011
"[-93.24, -0.92, 0.48]","[0.07, -5.77, 1.06]",305.01
"[-93.16, -0.93, 0.46]","[0.07, -5.77, 1.06]",315.00899999999996
"[-93.09, -0.96, 0.42]","[0.06, -5.77, 1.06]",324.985
"[-92.92, -0.94, 0.32]","[0.05, -5.77, 1.05]",335.012
"[-92.76, -0.92, 0.26]","[0.05, -5.77, 1.05]",345.009
"[-92.67, -0.93, 0.22]","[0.04, -5.77, 1.05]",355.968
"[-92.61, -0.93, 0.18]","[0.04, -5.77, 1.05]",365.01
"[-92.56, -0.98, 0.17]","[0.04, -5.77, 1.05]",374.968
"[-92.62, -0.96, 0.18]","[0.04, -5.77, 1.05]",385.009
